tu_id	speaker	start	end	duration	text
     1	SP1	0.744	1.116	0.372	bene
     2	SP1	1.844	2.216	0.372	allora
     3	SP1	2.788	3.505	0.717	intanto,
     4	SP1	4.311	5.661	1.350	ero curiosa di sapere
     5	SP1	5.877	7.711	1.834	da quanto tempo c'è questo negozio perchè
     6	SP1	7.811	8.666	0.855	io sono di qui
     7	SP1	9.194	11.616	2.422	e frequento un po' questa zona ma non l'avevo mai visto
     8	SP2	11.824	13.099	1.275	no (.) [eh non è così]
     9	SP1	12.344	13.294	0.950	[stranamen]t[e]
    10	SP2	13.205	15.966	2.761	[que]sto negozio (.) è già (.) da ventidue anni
    11	SP1	16.216	16.783	0.567	oka[y]
    12	SP2	16.683	21.911	5.228	[s]on[o qui da sei an]ni no no n- questo qua non è nuovo è di: prima era una casa editrice vaesi
    13	SP1	16.861	17.949	1.088	[quin(di) non è nuovo]
    14	SP2	22.672	28.217	5.545	poi hanno:: <chiuso> allora: già comprato un'altra persona e ha fatta copisteria
    15	SP1	28.261	28.688	0.427	okay
    16	SP2	29.188	33.511	4.323	poi io sono da terza mano che:: i:: andando avanti
    17	SP1	33.638	33.949	0.311	mhmh
    18	SP1	34.094	34.475	0.381	okay
    19	SP1	34.927	35.505	0.578	m:h
    20	SP1	36.122	39.255	3.133	noi siam venute qui a chiedere a te la disponibilità perchè
    21	SP1	39.677	43.199	3.522	il la il la verità è che siamo andati alla copisteria di via del guasto
    22	SP2	43.222	43.411	0.189	sì
    23	SP1	43.438	44.099	0.661	a chiedere,
    24	SP2	44.261	44.444	0.183	mh[mh]
    25	SP1	44.355	46.983	2.628	[e i] ragazzi ci hanno detto (.) che dovevamo assolutamente venire da te
    26	SP2	47.422	54.611	7.189	beh e:h sì perchè loro non è: non è un abbasta- cioè loro non:: loro sono bravi ma: non sono: bravi per
    27	SP2	54.972	60.305	5.333	rispondere a un sacco di [domand]e che: anche (.) non sono bravi (.) in italiano pro- [poco paro]le [sì]
    28	SP1	56.188	56.522	0.334	[mh]
    29	SP1	59.166	59.833	0.667	[okay (.) quindi]
    30	SP1	60.061	64.599	4.538	[fors]e (.) forse il problema era quello [non a-] non abbiamo capito se: erano preoccupati perchè:
    31	SP2	61.735	61.925	0.190	[sì]
    32	SP2	64.666	73.905	9.239	no non son- non è preoccupati però e::h lo sai che quando qualcuno che: mh non capisce cosa: è la: dom[anda] e quale che è ras- risposta che sta
    33	SP1	71.288	71.599	0.311	[mhmh]
    34	SP2	74.211	80.011	5.800	facendo in un'altra lingua che lui no[n è] abbastanza BRAVA allora è una probl[ema pe]r
    35	SP1	76.911	77.221	0.310	[°mhmh°]
    36	SP1	79.394	79.705	0.311	[mhmh]
    37	SP2	80.311	82.099	1.788	[per c](io)è una persona no cio[è:]
    38	SP1	80.325	80.605	0.280	[mhmh]
    39	SP1	81.716	82.022	0.306	[mhmh]
    40	SP1	82.094	82.749	0.655	sì [forse]
    41	SP2	82.305	85.016	2.711	[ecco perc]iò ch[e:: (più)]
    42	SP1	84.394	85.611	1.217	[forse è stato p]er quel[lo]
    43	SP2	85.388	85.605	0.217	[sì]
    44	SP1	85.949	88.488	2.539	e[:h] stamattina noi siamo andate in e:h
    45	SP2	86.061	86.268	0.207	[°sì°]
    46	SP2	89.427	89.800	0.373	zo[na]
    47	SP1	89.599	92.199	2.600	[prati]camente <tutti> i negozi di via san vitale
    48	SP2	92.277	96.716	4.439	sì (.) [nessuno che] non ti ha detto che c'è sì perchè hanno paura per e::h perchè
    49	SP1	92.494	93.149	0.655	[a chiedere]
    50	SP2	97.216	99.549	2.333	non lo s- non si SA (.) cosa succederà (.) [dopo]
    51	SP1	99.177	99.749	0.572	[mhmh] mh
    52	SP1	99.983	103.288	3.305	infatti sì quindi (.) vabbè ma [noi a]bbiamo provato [ovviamente]
    53	SP2	101.627	101.915	0.288	[sì]
    54	SP2	102.366	103.323	0.957	[assolutamente]
    55	SP1	103.427	104.799	1.372	[e:hm ma i]nvece
    56	SP2	103.466	104.283	0.817	[assolutamente]
    57	SP1	105.699	109.999	4.300	tu vivi in italia da: da sempre da: da alcuni anni [m::h]
    58	SP2	109.405	110.905	1.500	[no non è che] da sempre
    59	SP2	111.216	113.605	2.389	s:ì da circa quindici anni già pass[ati]
    60	SP1	113.316	113.887	0.571	[oka]y
    61	SP2	114.090	114.949	0.859	((ride)) (sono mi)
    62	SP1	114.110	114.405	0.295	okay
    63	SP1	114.977	115.805	0.828	beh (.) comunque
    64	SP1	116.016	116.999	0.983	[e:h] parli ben-
    65	SP2	116.038	116.361	0.323	[sì]
    66	SP1	117.105	118.311	1.206	°m:h parli [benissimo]°
    67	SP2	117.655	119.166	1.511	[BEH È QUINDI]CI ANNI EH
