tu_id	speaker	start	end	duration	text
     1	SP1	0.000	1.430	1.430	vabbé era leggera però
     2	SP2	1.770	2.290	0.520	alla fi-
     3	SP3	2.330	3.080	0.750	nonono è vero
     4	SP2	3.140	6.071	2.931	sì (.) non era pesantissima
     5	SP1	6.340	7.520	1.180	per niente [(ha-)]
     6	SP2	7.220	10.090	2.870	[uni]ca cosa, ho esagerato un pò con l'olio forse però
     7	SP1	10.850	12.280	1.430	ma nell'impasto? no fuori,
     8	SP2	12.460	15.760	3.300	°fuori° (.) nell'im[pasto ce ne ho messo il] giusto però in padella
     9	SP3	13.390	14.360	0.970	[nella padella]
    10	SP2	16.970	28.628	11.658	xxxx ha detto metti: quello là: l'olio da friggere così vengono meglio ho detto ok (.) e ho fatto però praticamente ho f (pure) °ho messo:° tutto il fondo della padella era pieno di olio
    11	SP2	29.390	41.759	12.369	o volevo metterne un filo sai per farle venire: mezzi tra: (.) cioè cotti nella padella unta invece (.) i primi sono venuti un po' deep [fried] quasi ((ride))
    12	SP1	40.070	40.850	0.780	fritti
    13	SP1	43.713	47.270	3.557	beh oggi abbiamo fatto colazione co pa- pancake con nutella
    14	SP2	47.490	49.150	1.660	è rimasto un altro (pancake) se vuoi
    15	SP3	49.295	50.800	1.505	u: [ma xxxx]
    16	SP2	49.820	51.930	2.110	[mangiati tu il pancake] che io mangio il gelato che ne dici,
    17	SP1	52.140	53.390	1.250	((ride))
    18	SP2	53.070	55.270	2.200	°[xxx] sto pancake°
    19	SP3	53.400	54.130	0.730	[stronzo]
    20	SP1	55.320	59.929	4.609	poi è rimas- poi abbiamo mangiato (.) [xxx dalla non]na
    21	SP2	58.050	59.760	1.710	io a pranzo ho esagerato
    22	SP1	60.187	62.480	2.293	quattro gelati s'è mangiato #sto puorc#
    23	SP2	62.480	67.100	4.620	quattro gelati dai (.) non è ve- >a me a pa- a parte il fatto che< abbiamo mangiato LA STESSA QUANTITA di gelato
    24	SP1	67.230	68.380	1.150	tu ne hai mangiati di più
    25	SP2	68.440	69.150	0.710	no roberto
    26	SP1	69.276	72.930	3.654	hai mangiato il pan di stelle hai mangiato quello al caramello e ne hai mangiato un al[°tro°]
    27	SP2	72.930	78.570	5.640	no non ho mangiato un  altro (.) ho ma- spe- >perché non aveva comprato< quello ai pan [di stelle che erano buoni]
    28	SP1	77.380	78.800	1.420	[vabbé sei un maiAle] (hai mangiato)
    29	SP2	78.850	80.610	1.760	sì e pure tu sei un maiale però [>ti sto dicendo<]
    30	SP1	79.980	83.030	3.050	[hai mangiato du]e salsicce [e un sacco di friarielli]
    31	SP2	81.380	90.220	8.840	perché: perché praticamente la nonna ha [comprato] questi gelati: pan di stelle che erano qualità tipo a biscotto che ce n'erano due. in una bustina
    32	SP3	83.830	84.340	0.510	[xxxx]
    33	SP3	89.300	90.380	1.080	[ne avete fatto] xxx
    34	SP2	90.380	100.110	9.730	o ho detto voglio questo però voglio anche quello al caramello (.) quindi ho mangiato <uno> di quelli e ho dato l'altro a lui e ho mangiato quello al caramello la stessa quantità cche ha mangiato lui uguAle identico
