speaker	start	end	duration	text
SP1	0.360	1.670	1.310	ci sono delle università?:
SP2	2.680	3.130	0.450	sì no
SP1	3.100	4.370	1.270	[o più nella capitale?]
SP2	3.150	4.980	1.830	[l'università è un po'] più in città
SP1	5.000	5.420	0.420	okay
SP2	5.040	6.020	0.980	xxxx
SP1	5.560	6.680	1.120	okay >okay okay<
SP1	6.800	7.490	0.690	e: [s-]
SP2	6.950	7.880	0.930	[i:n] capitale
SP1	7.890	8.770	0.880	in capitale okay
SP1	8.830	10.080	1.250	e se devi:
SP1	10.840	11.780	0.940	xx
SP2	13.670	15.610	1.940	°(vabbè adesso faccio finire)°
SP1	16.030	16.490	0.460	sì
SP2	17.430	19.380	1.950	xxxxxx
SP1	19.640	21.300	1.660	°sta andando abbastanza bene no?°
SP3	21.320	21.720	0.400	°sì°
SP1	21.940	23.700	1.760	°proviamo a vedere se:°
SP1	25.900	26.450	0.550	allora dimmi
SP1	26.460	27.481	1.021	la capitale è molto gran[de]
SP2	27.340	28.344	1.004	[la capit]ale è molto grande
SP2	28.362	28.593	0.231	e:h
SP2	28.643	29.769	1.126	trecentosei virgola
SP2	29.861	30.499	0.638	quattro
SP2	30.574	31.425	0.851	e:h
SP2	31.699	33.262	1.563	chilometri quadra[ti]
SP1	32.893	33.462	0.569	[o]kay e
SP1	33.569	34.334	0.765	popolazione?
SP2	34.774	35.406	0.632	e:h
SP2	35.599	37.216	1.617	quattordici: milioni
SP1	37.268	37.452	0.184	[eh]
SP2	37.268	38.944	1.676	[qu]attordici punto quattro milio[ni]
SP1	38.744	39.644	0.900	[cioè] bologna è
SP1	39.726	41.596	1.870	trecentocinquantamila persone
SP2	41.496	42.844	1.348	da trecen[toci]nquantamila
SP1	41.848	42.152	0.304	[eh]
SP1	42.318	43.230	0.912	((ride))
SP2	42.848	43.440	0.592	ma devo essere
SP2	43.544	45.000	1.456	quanto grande bologna
SP1	45.572	46.944	1.372	non so di chilometri quadrati
SP1	47.038	47.324	0.286	però
SP1	47.960	49.316	1.356	decisamente più grande ((ride))
SP1	49.326	49.772	0.446	ma infatti
SP1	49.816	49.948	0.132	mi
SP1	50.048	50.228	0.180	eh
SP1	50.376	51.424	1.048	mi sembrava impossibile
SP1	51.456	52.364	0.908	ma il ragazzo ieri
SP1	52.368	53.072	0.704	in[sisteva]
SP2	52.384	53.336	0.952	[guarda che bolo][gna]
SP1	53.236	53.652	0.416	[(infatti)]
SP2	53.348	54.248	0.900	è centoqua-
SP2	54.284	55.120	0.836	centoquaran[ta]
SP1	54.844	54.996	0.152	[eh]
SP1	55.500	55.812	0.312	sì
SP2	55.548	57.040	1.492	centoquaranta virgola nove
SP2	57.100	57.948	0.848	chilometri quadrati
SP2	58.004	58.896	0.892	che se parliamo
SP2	59.096	59.488	0.392	fino a
SP2	60.016	61.008	0.992	da: m:h
SP2	61.628	62.524	0.896	dove di:
SP2	62.672	63.276	0.604	pilastro
SP1	63.396	63.848	0.452	mh mh
SP2	63.848	64.500	0.652	fino a:
SP2	64.548	65.012	0.464	di:
SP2	65.032	65.900	0.868	m:h
SP1	65.996	66.700	0.704	tipo casalecchio
SP1	66.704	67.360	0.656	la bar[ca]
SP2	67.004	67.296	0.292	[sì]
SP2	67.448	68.216	0.768	sì proprio
SP2	68.228	69.216	0.988	sì casalecchio
SP1	69.304	70.104	0.800	sì sì sì sì
SP2	69.900	71.388	1.488	proprio il quadrato di:
SP2	71.480	73.112	1.632	dentro: c'ha proprio quelle che l-
SP2	73.768	73.964	0.196	mh
SP2	74.044	75.496	1.452	quelle che comune di bologna
SP2	75.500	76.144	0.644	esempio
SP1	76.300	76.596	0.296	mh mh
SP2	76.600	77.496	0.896	però e:h
SP2	77.500	79.396	1.896	non è il fuori che hanno contato
SP1	79.396	80.248	0.852	sì [sì certo]
SP2	79.440	80.500	1.060	xxxxxx
SP2	80.504	82.052	1.548	capitale che è entrato già proprio:
SP1	82.548	83.448	0.900	sì sì certo
SP1	83.544	85.496	1.952	no ma io a me mi sembrava impossibile
SP1	85.500	86.820	1.320	che una città italiana
SP1	86.988	87.896	0.908	neanche la capitale
SP1	87.948	88.344	0.396	fosse
SP1	88.480	89.100	0.620	grande co[me]
SP2	89.004	90.208	1.204	[beh] no è come (più)
SP2	90.348	90.578	0.230	(c(io)è)
SP2	90.634	91.862	1.228	come grande dallla venezia
SP2	92.016	92.744	0.728	che venezia è
SP2	92.788	93.944	1.156	una città bella grande
SP2	94.006	95.620	1.614	quattrocentoquatto- e:h
SP2	95.992	98.644	2.652	<quattrocento>quattordici metri quadrati
SP1	98.744	99.544	0.800	xx mh
SP1	99.660	100.448	0.788	perchè conteranno
SP1	100.484	101.252	0.768	tutta la provincia
SP1	101.304	102.500	1.196	perchè venezia città
SP1	102.508	103.864	1.356	è un'isoletta grande co[sì]
SP2	103.644	103.904	0.260	[eh]
SP1	103.904	105.748	1.844	[pra]ticamen[te] ((ride))
SP2	103.928	104.136	0.208	[eh]
SP2	104.344	105.752	1.408	[asso]lutamente ((ride))
SP1	105.884	106.288	0.404	sì ((ride))
SP2	106.048	106.280	0.232	poi
SP2	106.488	107.704	1.216	se andiamo ancora un po' avanti
SP2	107.752	108.500	0.748	ci sono colli
SP2	108.530	108.996	0.466	che non con-
SP1	109.100	109.504	0.404	n[o]
SP2	109.344	110.544	1.200	[no]n contano nean[che]
SP1	110.000	111.308	1.308	[no inf]atti infatti
SP1	111.348	112.548	1.200	no ma mi sembrava strano
SP1	112.748	113.404	0.656	infa[tti m]a:
SP2	112.840	113.048	0.208	[sì]
SP1	113.668	114.636	0.968	no e quindi mi dicevi
SP1	114.700	115.024	0.324	che nella
SP1	115.204	116.500	1.296	nella zona della tua famiglia
SP1	116.552	117.400	0.848	ci sono delle ini-
SP1	117.700	119.096	1.396	delle iniziative culturali
SP2	119.252	119.644	0.392	sì
SP1	120.408	120.860	0.452	xx
SP2	120.984	122.244	1.260	xxxx[xxxxx]
SP1	121.444	122.672	1.228	[dei siti sto]rici?
SP1	122.704	123.632	0.928	o che cosa:?
SP2	123.632	124.440	0.808	no [sì xx]
SP1	123.904	124.792	0.888	[o archeo]logici?
SP2	125.328	126.540	1.212	no guarda che là:
SP2	126.616	127.348	0.732	e:h
SP2	127.496	128.064	0.568	sì:
SP2	128.256	129.116	0.860	proprio:
SP2	129.128	129.900	0.772	m:h
SP2	129.944	131.396	1.452	ci sono la città un po':
SP2	131.436	132.652	1.216	un po' più culturale
SP1	132.660	133.060	0.400	ok[ay
SP2	132.744	133.648	0.904	[adesso:]
SP1	133.076	134.352	1.276	°un po' più cult]urali okay°
SP2	133.696	134.888	1.192	°(guarda che) un po'°
