tu_id	speaker	start	end	duration	text
     1	SP1	0.180	3.200	3.020	persone che magari puoi aver incontrato, un po':
     2	SP2	3.700	9.200	5.500	bah e::h (.) >sì c(io)è< è sempre pieno di persone che fanno emosina, sotto i porti[ci]
     3	SP1	8.830	9.550	0.720	[°mh]mh°
     4	SP2	9.760	12.660	2.900	soprattutto se vieni indipendenza: ce ne sono d[iversi]
     5	SP1	12.120	13.190	1.070	[sì è ve]ro
     6	SP2	13.540	19.300	5.760	anche sotto i portici di via:: (.) di viale:: (.) m::h masini
     7	SP2	19.740	21.200	1.460	perché io passo spesso di lì
     8	SP2	22.100	23.540	1.440	e::hm
     9	SP2	24.340	28.330	3.990	però a parte >insomma< persone: che [fanno l'elemo]sina:, si
    10	SP1	26.530	27.140	0.610	[°mhmh°]
    11	SP2	28.640	32.380	3.740	m:h a:h (.) incontri anche molte persone che ti fermano per:
    12	SP1	32.290	34.210	1.920	sì ((ride)) [esatto]
    13	SP2	32.560	37.480	4.920	chiederti di f[are beneficen]za ((ride)) le classiche persone che sono sotto i portici,
    14	SP2	38.630	39.450	0.820	e::hm
    15	SP2	39.640	43.590	3.950	a volte (.) persone famose ogni tanto una volta incontrato piff ad esem[pio::]
    16	SP1	43.140	44.580	1.440	[a:h sì] sì sì
    17	SP2	44.530	47.440	2.910	°e:h so (che era)° in un hotel che è lì su via indipende[nza]
    18	SP1	47.260	49.360	2.100	[anch]e  cremonini dicono che si [(aspettano)]
    19	SP2	49.260	52.600	3.340	[eh n]on ho ancora incon[trato i cremonini] ((ride))
    20	SP1	50.160	52.470	2.310	[°xx neanche io° xx]
    21	SP2	52.720	58.660	5.940	 però xx sì (tre anni) perché io sono dal: duemiladiciotto diciannove sì tre anni che sono °lì, non ho ancora incrociato cremonini°
    22	SP1	59.290	61.800	2.510	beh [magari dai quest'anno sarà ((ride)) l'anno buono]
    23	SP2	59.500	62.730	3.230	((ride))  °ma sì xx infatti°
    24	SP1	63.000	68.730	5.730	e: anche ehm (.) per il fatto che hanno messo: le luci con le scritte delle canzoni co[sa ne pensi?]
    25	SP2	67.730	71.700	3.970	[ah bello: quello] m:h mi è piaciuto molto sì sì  quello::
    26	SP2	72.340	78.490	6.150	ci stava secondo m[e °x ch]e:° dai cremonini comunque è il cantante di bologn- c(io)[è a par]te lucio dalla ovviamente, però
    27	SP1	73.050	73.940	0.890	[bello]
    28	SP1	76.480	77.130	0.650	[sì]
    29	SP1	78.660	80.340	1.680	che poi hanno messo anche le su:e?
    30	SP2	79.840	81.540	1.700	[il fatto che poi] (han [messo han messo) anche le s]ue
    31	SP1	80.510	81.200	0.690	[sì sì]
    32	SP2	82.350	83.150	0.800	e::h
    33	SP2	83.380	87.820	4.440	però ci sta è: il cantante moderno [diciamo più::] (.) più bolognese
    34	SP1	85.380	87.010	1.630	[mhmh anche secondo me]
    35	SP1	88.600	91.320	2.720	e [invece,] il tuo posto del cuore di bologna?
    36	SP2	88.700	89.230	0.530	[°carino°]
    37	SP1	91.860	95.780	3.920	non so anche solo un ba:r (.) [a cui sei par]ticolarmente affezionata?
    38	SP2	93.500	94.320	0.820	[°mh°]
    39	SP2	96.500	97.110	0.610	mh
    40	SP2	99.000	106.980	7.980	e::h forse:: m:h (.) mangiare un gelato seduti sul gradino di piazza santo stefano, ((ride))
    41	SP1	105.760	107.480	1.720	ah (.) lì è bellissim[o]
    42	SP2	107.340	111.520	4.180	[(perché)]  lì: >in piazza santo stefano< mi piace molto, poi c'è di fianco la mia gelateria preferita,
    43	SP2	111.680	118.260	6.580	e quindi spesso d'estate col mio ragazzo andiamo, andiamo lì prendiamo un gelato e ci sediamo: in pia[zza santo stefa]no (e) forse quello sì
    44	SP1	116.580	117.290	0.710	[bello]
    45	SP1	118.220	119.130	0.910	bellissimo
