speaker	start	end	duration	text
SP1	0.733	7.620	6.887	bene (.) allora (.) intanto (.) ero curiosa di sapere da quanto tempo c'è questo negozio perché
SP1	7.800	11.540	3.740	io sono di qui (.) e frequento un po' questa zona ma non l'avevo mai visto
SP2	11.820	12.960	1.140	no non [è così]
SP1	12.530	13.250	0.720	[strana]mente
SP2	13.300	15.920	2.620	questo negozio è già da ventidue anni
SP1	16.220	17.920	1.700	okay [quindi non è nuovo]
SP2	16.870	21.820	4.950	[sono qui da sei an]ni no no no questo qua non è nuovo di prima era una casa editrice vaesi
SP2	22.650	28.140	5.490	poi hanno:: <chiuso> allora:: già comprato un'altra persona e è fatta copisteria
SP1	28.300	28.600	0.300	okay
SP2	29.167	33.360	4.193	poi io sono da terza mano che: andando avanti
SP1	33.680	34.480	0.800	mhmh okay
SP1	34.860	43.050	8.190	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di via del guasto
SP2	43.190	43.550	0.360	sì
SP1	43.540	44.040	0.500	a chiedere
SP2	44.200	44.470	0.270	mh[mh]
SP1	44.340	47.090	2.750	[e] i ragazzi ci hanno detto che dovevamo assolutamente venire da te
SP2	47.360	54.787	7.427	beh e:h sì perché loro non è: non è m:h abbas- cioè loro non:: m:h loro sono bravi' ma non sono: bravi per
SP2	54.986	60.459	5.473	rispondere a un sacco di [doma]nde che: anche non sono bravi in italiano pro- in poche [parole sì]
SP1	56.110	56.520	0.410	[mh]
SP1	59.310	64.513	5.203	[okay quindi forse] forse il problema era quello [non] non abbiamo capito se erano preoccupati perché
SP2	61.570	61.920	0.350	[sì]
SP2	64.640	71.640	7.000	no non so- non è preoccupati però e:h lo sai che quando qualcuno che m:h non capisce cosa è la do[manda]
SP1	71.130	71.620	0.490	[mhmh]
SP2	71.840	78.410	6.570	e quale che è la ri- risposta che sta facendo in un'altra lingua che lui [non è a]bbastanza BRAVA
SP1	76.845	77.205	0.360	[°mhmh°]
SP2	78.520	81.500	2.980	allora è una [problema per-] (.) [per (cioè)] una persona no
SP1	79.270	79.730	0.460	[mhmh]
SP1	80.280	80.700	0.420	[mhmh]
SP1	81.600	82.730	1.130	[mhmh sì forse]
SP2	81.610	84.833	3.223	[°cioè° ecco per]ciò che: [x]
SP1	84.430	85.640	1.210	[for]se è stato per que[llo]
SP2	85.407	85.640	0.233	[sì]
SP1	85.970	88.150	2.180	e: stamattina noi siamo andate in
SP2	89.473	89.840	0.367	zo[na]
SP1	89.633	93.200	3.567	[prati]camente tutti i negozi di via san vitale [a chiedere]
SP2	92.420	99.720	7.300	[sì nessuno] che non ti ha detto che c'è sì perché hanno paura per: perché (.) non lo non si sa cosa succederà [°dopo°]
SP1	99.230	99.720	0.490	[mhmh mh]
SP1	99.960	103.180	3.220	infatti sì quindi vabbè ma noi [abbiamo provato ovviamente]
SP2	101.650	103.170	1.520	[sì assolutamente]
SP1	103.430	109.673	6.243	[e:hm invece] (.) tu vivi in italia da sempre? da alcuni anni: m:h?
SP2	103.440	104.300	0.860	[assolutamente]
SP2	109.420	110.933	1.513	[no] non è che da sempre
SP2	111.320	113.487	2.167	sì da circa quindici anni già passato
SP1	113.630	117.980	4.350	okay o[kay (.)] beh comun[que] eh parli beni- parli be[nissimo]
SP2	114.153	115.200	1.047	((ride)) [(che sono qui)]
SP2	116.090	116.540	0.450	[sì]
SP2	117.640	119.180	1.540	[BEH] quindici anni eh
SP2	119.340	123.500	4.160	non sono: sì è già passata proprio un se- più di un secolo
SP1	123.500	126.230	2.730	mh ma (.) hai studiato da sol[o:]
SP2	126.100	129.760	3.660	[no] cioè no non è che studiato da solo che ho fatto anche superiore qui
SP1	130.620	133.273	2.653	a:h okay quindi sei- sei giovani[ssimo]
SP2	132.833	133.300	0.467	[s:ì]
SP2	133.752	133.992	0.240	[sì] ((ride))
SP1	133.840	135.533	1.693	[sei] giovanissimo perché io
SP1	136.520	138.867	2.347	non voglio chiedere [l'età per]ché no[n:]
SP2	137.700	138.520	0.820	[giusto]
SP2	138.740	140.333	1.593	[no] no assolutamente [puoi chiedere anche]
SP1	139.350	141.520	2.170	[però sei andato] a scuola qui quindi
SP2	141.900	142.120	0.220	sì
SP1	142.200	143.020	0.820	che scuola hai fatto
SP1	143.160	145.730	2.570	perché anch'io sono andata a scuola qui un po' di anni fa ma
SP2	145.730	150.540	4.810	esattamente primo e:h andato il: m::h manfredi tanari
SP1	150.560	150.980	0.420	okay
SP2	151.340	159.400	8.060	che per la lingua che non riuscito: a passare e poi: e:h ci hanno trasferito (.) in fioravanti
SP1	159.540	160.007	0.467	oka[y]
SP2	159.873	161.300	1.427	[a]desso è belluzzi fioravant[i]
SP1	161.167	161.627	0.460	[mh]mh e
SP2	161.487	164.213	2.726	[però] quando ero fatto era era solo il fioravan[ti]
SP1	164.030	166.280	2.250	[mh]mh okay e che indirizzo ha che non lo so
SP2	166.640	171.470	4.830	no era: boh cioè adesso mi sembrava di: casalecchio
SP1	172.090	174.660	2.570	okay okay okay [okay okay]  ho capito
SP2	172.760	173.740	0.980	[il belluzzi fioravanti]
SP1	174.820	177.480	2.660	s- [e che] che cosa si studia al bel[luzzi]
SP2	175.110	175.470	0.360	[sì]
SP2	177.050	177.520	0.470	[te]cnico
SP1	177.520	178.040	0.520	tecni[co]?
SP2	177.880	178.280	0.400	[te]cnico
SP1	178.360	182.260	3.900	e [di] e- elettrico elettroni[ca? informatica]?
SP2	178.850	179.390	0.540	[professionale]
SP2	180.630	189.060	8.430	[no e:h là erava- no] eh sì perché ci sono di informatica e:h meccanica e idraulica [con auto]me[ccanica]
SP1	188.253	188.646	0.393	[mhmh]
SP1	188.887	189.793	0.906	[mh]mh ok[ay]
SP2	189.610	192.380	2.770	[è] fatta ele- cioè  automeccanico con idrauli[ca]
SP1	192.233	195.560	3.327	[mh]mhmh (.) e quando hai finito di studiare sei venuto a lavorare: [subito]
SP2	195.033	203.520	8.487	[no] ero cercato il lavoro che: di varie parti dell'officina: per oficina di auto assolutamente non il moto era officina di auto
SP1	203.073	203.527	0.454	[mhmh]
SP2	204.200	212.580	8.380	però e:h visto che: il settore ci sono un sacco di lavoro però e:h non ho trova[to:] il punto come ero cerca[vo]
SP1	210.740	211.130	0.390	[mhmh]
SP1	212.160	212.580	0.420	[mhmh]
SP2	213.210	218.030	4.820	poi ho ri- cercato d'altra parte dove ho trovato c'è rientrato perché (io) [lavorare]
SP1	216.790	219.770	2.980	[sì sì sì ce]rtamente è im[porta]nte [sì sì] sì
SP2	218.630	218.850	0.220	[°sì°]
SP2	219.240	219.440	0.200	[°sì°]
SP1	220.060	221.960	1.900	e quindi vivere a bologna ti piace?
SP2	222.360	227.260	4.900	assolutamente assolutamente ma il problema è che non tr- trovi a casa in bologna
SP2	228.387	229.533	1.146	[è una fon]damentale
SP1	228.393	228.987	0.594	[ce lo sta-]
SP1	229.587	231.000	1.413	ce lo stanno dicendo [tutti] ((ride))
SP2	230.367	238.080	7.713	[asso- non è] che solo in bologna anche: guarda che settimana scorsa ho visto un intervento da: un proprio giornalista della firenze
SP2	238.640	239.760	1.120	è lo stesso problema
SP1	240.020	240.353	0.333	mhmh
SP2	240.770	245.513	4.743	lo stesso pro[blema] cioè poi bologna non è che è iniziato questo problema da oggi
SP1	241.360	241.670	0.310	[mhmh]
SP1	245.506	245.746	0.240	mhmh
SP2	245.947	249.133	3.186	e se tu parli se tu chiedi una persona da anziana
SP2	249.773	256.810	7.037	che è finito studiare cioè (.) come straniero come me se come straniero significa che sei venuto da un'altra città
SP1	256.987	257.333	0.346	mhmh
SP2	257.470	265.807	8.337	tipo anche napoli eh giù parliamo anche ROMA [gua]rda che se chiedi che quanti anni sei- sei in bologna tra parentesi
SP1	261.053	261.313	0.260	[mhmh]
SP2	265.867	268.410	2.543	dici guarda che io ho- ho laureato qui
SP1	268.600	268.973	0.373	mhmh
SP2	269.090	272.140	3.050	e ti racconta la storia come era prima
SP2	272.493	276.960	4.467	e trattava come: come straniero cioè non te- non dà la c[asa] non c'è proprio
SP1	275.853	276.307	0.454	[xxx]
SP2	277.890	285.220	7.330	era il bologna ha questa storia [da:] da storia [cioè proprio] da cento anni mi sem[brava ancora più ((ride)) sì]
SP1	280.120	280.850	0.730	[è vecchia]
SP1	281.440	282.140	0.700	[sì sì sì]
SP1	283.387	285.227	1.840	[sì sì sì è possibile sì sì]
SP1	285.507	288.410	2.903	non so se tu hai avuto problemi a trovare casa perché anche lei [all'inizio]
SP2	287.940	292.273	4.333	[tutti qu]anti guarda che inutile fai la questa domanda è tutti quanti
SP1	292.493	292.906	0.413	mhmh
SP2	292.890	293.560	0.670	tutti quan[ti]
SP1	293.380	295.027	1.647	[mh]mh e c'è stato qualche[::]
SP2	294.967	301.800	6.833	[chi] hanno soldi (.) e compra aff- cioè appartamento per il figli: per mandare in bologna per studiare
SP1	301.820	302.400	0.580	mhmh
SP1	302.553	303.370	0.817	che è l'unico modo
SP2	303.380	304.110	0.730	è l'unico modo
SP1	304.100	304.510	0.410	sì sì
SP1	304.947	305.173	0.226	[o]
SP2	304.980	310.307	5.327	[pe]rché dove abitavo io prima e:h non è in specifico però in centro bologna
SP2	310.873	317.520	6.647	che ehm: è (il) morto proprietario poi il figli hanno venduto il e:h l'appartamento
SP2	318.033	321.186	3.153	da una persona che: m:h da salerno
SP2	322.266	324.460	2.194	che lui ha comprato per suo figli
SP1	324.346	324.613	0.267	[mh]mh
SP2	325.133	329.973	4.840	che devono venire studiare in bologna in università di bologna allora dopo
SP2	330.547	339.047	8.500	quando: cioè in tempo cioè m:h io devo lasciare casa ho cercato due anni in bologna cioè ancora e sto cercando altri due anni
SP2	339.440	343.720	4.280	come matto che non lo tro[vo: appa]rtamento [in bologna] allora ho trasferito valsamoggi[a]
SP1	340.533	341.106	0.573	[mhmhmh]
SP1	341.400	341.840	0.440	[mhmhmh]
SP1	343.647	344.147	0.500	[o]kay
SP2	344.440	349.667	5.227	beh da venti- venti chilometri lo faccio ogni giorno avanti indietro se vado il treno
SP2	350.026	353.906	3.880	con il tutto traffico [(.) ci] vuole (.) un'ora e mezza
SP1	351.427	351.713	0.286	[mhmh]
SP1	354.280	355.950	1.670	°mamma° così tanto?
SP2	355.960	360.740	4.780	eh così tanto perché la mattina alle nove ci [sono un bel] traffico [dalle otto]
SP1	358.126	358.733	0.607	[c'è casi-]
SP1	359.060	359.930	0.870	[casino] sì
SP2	361.127	364.740	3.613	per: a::- arrivare [qui ci vuole] un'ora proprio
SP1	363.086	363.686	0.600	[mhmh sì]
SP1	364.800	367.860	3.060	°sì sì° quindi come ti sposti per venire (.) comunque in macchina
SP2	368.420	370.080	1.660	beh e:h sì [sì]
SP1	369.840	370.547	0.707	[alla] fi[ne]
SP2	370.340	373.040	2.700	[con] la macchina un'ora un'ora e mezza la mattina
SP2	373.833	379.889	6.056	se vengo il treno devo alzare alle sei sei e mezza per aprire il negozio alle no[ve] allora poi
SP1	378.533	379.040	0.507	[°eh certo°]
SP1	380.440	383.740	3.300	però se prendi la macchina come fai qui par- a parcheggiare in [centro]
SP2	383.600	385.550	1.950	[eh] a parcheggiare devi comprare ((ride))
SP2	385.860	389.540	3.680	abbonamenti così che in [giro ti trovi] non è che non trovi
SP1	387.720	388.506	0.786	[°ah okay°]
SP2	390.040	391.366	1.326	[trovi] però è difficile
SP1	390.040	390.700	0.660	[sì sì sì]
SP1	391.780	396.720	4.940	cioè quindi c'è tipo un abbonamento e puoi sia entrare in centro con la macchina sia parche[ggiare]
SP2	396.413	400.440	4.027	[beh no] perché abbonamento è dato soltanto il parcheggi[o]
SP1	400.280	400.673	0.393	[o]kay
SP2	400.733	404.450	3.717	perché come io ho un nego[zio va]do lo faccio
SP1	402.180	402.810	0.630	[mhmh]
SP1	404.450	406.300	1.850	già (.) [puoi già] entrare
SP2	404.700	405.670	0.970	[(esattamente che)]
SP2	406.366	406.659	0.293	s[ì]
