tu_id	speaker	start	end	duration	text
     1	SP1	0.180	0.920	0.740	(per quattro)
     2	SP2	3.020	5.430	2.410	Non (uno chilo) settecento grammi di pasta
     3	SP1	5.520	8.150	2.630	# e vabbé (ma quello è il padre sai mando sta) so
     4	SP2	5.520	6.320	0.800	[(con quell-)]
     5	SP2	8.340	11.120	2.780	il padre man- mangia: ne mangia una scodella di insalata
     6	SP1	11.110	11.390	0.280	Ah
     7	SP2	14.010	17.650	3.640	Con Due Vasetti del pesto quello là barilla:
     8	SP1	17.980	20.020	2.040	[vabbé tan]to e t-t- tutti e due (programmi) di pasta
     9	SP2	18.000	18.510	0.510	[(e poi)]
    10	SP2	20.720	21.780	1.060	ricotte e noci'
    11	SP2	22.200	23.220	1.020	non contenta
    12	SP2	23.450	24.850	1.400	il fior di latte dentro
    13	SP2	25.280	26.250	0.970	non contenta
    14	SP2	26.650	27.890	1.240	il parmigiano sopra
    15	SP1	28.980	29.830	0.850	(e non stono)?
    16	SP2	30.760	33.930	3.170	# non contenta (per tutta la sessione uagliò) ci metto pure le noci sopra
    17	SP3	34.290	34.620	0.330	[no]?
    18	SP1	34.300	34.830	0.530	[no]:
    19	SP1	35.570	36.320	0.750	(ti prego)
    20	SP4	36.730	39.840	3.110	qua mi piacevano tanto quelle zucchine [le ave]te mangiate tutte?
    21	SP3	38.740	39.040	0.300	[mh]
    22	SP1	40.150	42.560	2.410	sorry: te le rifaccio prima che te ne vai
    23	SP3	42.800	43.170	0.370	eh
    24	SP5	43.530	44.400	0.870	ma che te ne vai?
    25	SP3	44.580	44.920	0.340	[mh]
    26	SP5	44.580	45.430	0.850	[(è lei)] che va via
    27	SP2	45.970	46.820	0.850	sai che possiamo fare?
    28	SP3	47.340	47.630	0.290	no
    29	SP6	47.940	50.390	2.450	comunque le (zucchine raggixxx) che tengo le vogliamo arrostire?
    30	SP6	50.750	51.700	0.950	adesso tipo?
    31	SP6	51.810	53.400	1.590	cioé non ce le mangiamo adesso però
    32	SP6	53.670	54.720	1.050	le facciamo per domani dai
    33	SP1	54.770	55.270	0.500	va bene
    34	SP3	55.540	57.670	2.130	ma perché la zucchina non- l- l'avevi già fatta?
    35	SP6	58.280	59.470	1.190	amore erano due zucchinone
    36	SP2	59.160	59.960	0.800	[°uno z]ucchinone°
    37	SP6	59.970	61.970	2.000	una l'ho fatta l'altra:
    38	SP1	62.290	64.800	2.510	E ma [l'altra è metà] perché [metà] si deve tagliare
    39	SP6	62.610	63.320	0.710	[è nel frigo]
    40	SP6	63.540	63.930	0.390	[eh]
    41	SP6	64.790	67.330	2.540	perché nel frigo: [stava troppo forte: (se] è)
    42	SP1	65.490	66.950	1.460	[il ghiaccio (l'al)xxx]
    43	SP6	67.440	69.190	1.750	il ghiaccio l'ha tipo un po' uhm:
    44	SP6	69.750	71.820	2.070	disturbata diciamo così [non so co]me dire
    45	SP3	71.010	71.390	0.380	[mh]
    46	SP6	72.200	73.950	1.750	cioé si è fatta tipo molla strana
    47	SP2	73.420	74.500	1.080	# [s'é cong]elata
    48	SP6	75.400	77.480	2.080	E ma si è fatta molla strana [(al babbo)]
    49	SP2	76.410	78.110	1.700	[eh si è bruciata] si è:
    50	SP6	78.110	79.880	1.770	bravo tipo fosse una bruciatura dal gelo
    51	SP5	80.690	81.070	0.380	uh
    52	SP4	84.370	86.630	2.260	(mi chiedevo come le ha: fatte emiliana)
    53	SP1	86.990	87.670	0.680	come:
    54	SP4	88.060	89.900	1.840	ci ha messo dentro l'[origa]no (tuttavia)
    55	SP6	88.810	89.200	0.390	[ah]
    56	SP6	90.610	94.760	4.150	davvero do- dovresti essere contenta il primo: complimento da qu- cunivano qualcosa tu
    57	SP1	93.150	95.290	2.140	((applaude))
    58	SP1	95.660	98.980	3.320	# grazie regà me lo ricorderò a vita sappiate che non si replicherà mai più
    59	SP3	99.000	99.730	0.730	((ride))
    60	SP1	100.540	106.570	6.030	no perché poi a me cioé e:h Adoro (.) i- come mangiano in ospedale praticamente fabiano me lo dice sempre
    61	SP1	106.910	108.010	1.100	(adoro) senza sale
    62	SP1	108.660	112.740	4.080	cioè meno sale c'é più mi piace senza olio senza niente meno condimento è
    63	SP3	112.890	114.600	1.710	questo sale l'ho preso [per]ché mi hai visto tu eh però
    64	SP1	113.470	113.750	0.280	[eh]
    65	SP1	114.830	115.980	1.150	no no sì sì questo sì
    66	SP4	116.780	117.340	0.560	più o meno
    67	SP1	118.280	119.650	1.370	ma ci sono cose e cose
    68	SP1	120.220	123.420	3.200	però tipo la pasta eh la sto mangiando quasi completamente senza sale
    69	SP3	123.540	123.760	0.220	mh
    70	SP3	124.740	125.930	1.190	ma fa schifo la pasta senza sale
    71	SP1	126.010	130.920	4.910	lo so mi sono abituata al sapore ormai pure quando ci metti un pizzico di sale la sento salatissima
    72	SP3	131.040	132.510	1.470	cioè non metti proprio il sale nell'acqua
    73	SP1	132.540	133.160	0.620	<no>
    74	SP1	134.560	134.850	0.290	mh
    75	SP2	135.160	135.720	0.560	[cosa?]
    76	SP6	135.160	136.190	1.030	[xxx co]mo:
    77	SP1	136.700	139.700	3.000	eh lo so però non: mi sono abituata non so perché
    78	SP3	141.060	141.530	0.470	vabbé
    79	SP3	141.720	142.440	0.720	che problema hai?
    80	SP1	142.710	145.350	2.640	eh INFAtti che problema ho? ditemelo voi
    81	SP2	145.410	146.800	1.390	eh vabbé meglio così in realtà eh
    82	SP6	146.780	147.190	0.410	tanti
    83	SP1	148.060	149.450	1.390	mado veramente tantissimi ((ride))
    84	SP3	148.820	149.430	0.610	((ride))
    85	SP2	149.820	150.530	0.710	cioé io dir[ei]
    86	SP6	150.290	150.590	0.300	[(ops)]
    87	SP2	150.840	159.270	8.430	cioé che non la vuoi sala- cioé ch-che non vuoi mettere il sale nel condimento nella pasta però non salare l'acqua quando la bolli è [illegale °cazzo°]
    88	SP3	158.250	159.270	1.020	[eh no esatto]
    89	SP1	159.280	160.020	0.740	è illegale eh
    90	SP1	161.040	168.040	7.000	lo so ma t- vi giuro che io sento ormai sempre salato pure se ci metti un pizzico io non ce la faccio a mangiarlo non so quante volte ho litigato con mamma
    91	SP2	168.290	169.420	1.130	vabbé meglio così
    92	SP1	170.270	172.620	2.350	perché la sento oggettivamente salata
    93	SP5	175.640	177.420	1.780	io comunque non so voi ma ho ancora fame voi?
    94	SP6	178.160	180.860	2.700	io: non particolarmente ma [(vi va)] di queste melanzanette
    95	SP1	179.460	179.940	0.480	[io no]
    96	SP4	181.090	184.680	3.590	io voglio quelle zucchine di emiliana (.) non [xxxx]
    97	SP6	184.150	184.680	0.530	[(è onto)]
    98	SP1	184.670	187.970	3.300	Smettila tanto se già le hai assaggiate mamma mia mi fanno schifo ste cose
    99	SP3	189.530	189.920	0.390	vabbé
   100	SP6	192.220	194.260	2.040	non sono quelle della mamma? però sono buone
   101	SP1	194.200	197.180	2.980	 sono buone proprio amo sono: sott'aceto non sott'olio
