tu_id	speaker	start	end	duration	text
     1	SP1	0.520	8.440	7.920	come tavacco no [eh di l]à (.) lavorando più di tre <tremila> pers[one non] sono esattamente o tremila o trenta mila [ma tre]mila che facciamo
     2	SP2	1.399	1.911	0.512	[okay]
     3	SP2	4.692	5.061	0.369	[mhmh]
     4	SP2	7.155	7.463	0.308	[mhmh]
     5	SP1	8.840	11.194	2.354	ma (.) non si trovano adesso neanche là gli appartam[enti]
     6	SP2	11.094	14.055	2.961	[eh] esatto te lo era (.) questo che volevo chiederti
     7	SP2	14.216	14.522	0.306	perché
     8	SP1	14.872	15.299	0.427	eh sì
     9	SP2	15.407	16.788	1.381	se tutti vogliono vivere lì
    10	SP1	17.560	20.005	2.445	sì (.) non si trovano appartament[i] (.) la verit[à]
    11	SP2	19.066	19.294	0.228	[°mhmh°]
    12	SP2	19.813	20.153	0.340	[mh]mh
    13	SP1	20.293	23.933	3.640	piuttosto che: ci sono un sacco di: gente
    14	SP1	24.499	27.177	2.678	come: non vuole dare (.) appartamenti per la famiglia
    15	SP1	27.805	31.900	4.095	un po' che danno un po' di person[e (.) c]he: dopo fanno la storia
    16	SP2	29.677	30.053	0.376	[mhmh]
    17	SP1	31.967	32.477	0.510	[allora]
    18	SP2	31.983	32.305	0.322	[mhmh]
    19	SP1	32.772	34.905	2.133	per pochi che: tutti quanti:
    20	SP2	35.680	41.122	5.442	sì sì sì c[erto] ca[pito] (.) mh e ma se (.) se potessi un giorno vorresti vivere in citt[à o,]
    21	SP1	36.246	36.486	0.240	[mh]
    22	SP1	36.720	36.880	0.160	[mh]
    23	SP1	40.833	47.010	6.177	[assolu]tamente io sto provando tutti i giorni a [trova]re c'è un appartamento per i: trasferire in bolo[gna cioè]
    24	SP2	43.033	43.404	0.371	[°okay°]
    25	SP2	46.416	46.794	0.378	[mhmh]
    26	SP1	47.094	48.094	1.000	io lavoro qui
    27	SP1	48.294	50.044	1.750	è inutile che io vado (.) a
    28	SP1	50.555	55.972	5.417	esempio faccio così una una una ragionamento se (.) lo trovo una casa in bologna
    29	SP1	56.238	60.649	4.411	che (.) mille euro (.) facci[amo pe]rché: una casa deve essere mille euro
    30	SP2	57.905	58.215	0.310	[mhmh]
    31	SP1	60.740	64.794	4.054	e (.) non è che deve essere soltanto una camera un mon- un monolocale che è mille euro no
    32	SP1	65.211	65.672	0.461	è troppo
    33	SP2	65.677	66.420	0.743	è troppo sì
    34	SP1	66.466	71.722	5.256	deve essere almeno tre camera di let[to per per] mille euro mille due mille cento facc[iamo] così
    35	SP2	68.083	68.805	0.722	[sì sì sì]
    36	SP2	71.088	71.461	0.373	[mhmh]
    37	SP1	72.700	74.483	1.783	se vado a: valsamoggia
    38	SP1	74.716	77.822	3.106	ogni mese io spendo c- più di duecento euro di benzina
    39	SP2	77.820	79.144	1.324	sì sì (.) e il parcheggio
    40	SP1	79.266	80.072	0.806	e parcheggio pi[ù]
    41	SP2	80.011	80.261	0.250	[s]ì
    42	SP1	80.327	83.477	3.150	facciamo trecentocin[quanta euro di ogni mes]e
    43	SP2	81.611	83.216	1.605	[sì sì (.) è tantiss-]
    44	SP2	83.740	84.380	0.640	tantissimo
    45	SP1	84.500	85.260	0.760	tantissimo
    46	SP2	84.819	85.459	0.640	((ride))
    47	SP2	85.894	86.416	0.522	°sì sì°
    48	SP2	86.655	90.411	3.756	no io non ho la macchina quindi non mi r[endo conto sento queste cifre] ((ride))
    49	SP1	88.199	93.999	5.800	[no <intendevo intende]vo> che se là pago settecento euro in affitto
    50	SP1	94.344	97.288	2.944	più (.) trecentocinquant[a so]no mille
    51	SP2	96.311	96.515	0.204	[mh]
    52	SP2	97.288	97.722	0.434	mhmh
    53	SP1	98.240	104.980	6.740	già (.) mille: [mil- mille] cento mille due [mille cento] mil- mille duecento dopo [perché non è] che è solo che devo pagare la macchina
    54	SP2	99.533	100.099	0.566	[°sì sì sì°]
    55	SP2	101.305	101.679	0.374	[mhmh]
    56	SP2	103.077	103.405	0.328	[mhmh]
    57	SP1	105.227	107.293	2.066	la benzina e::
    58	SP1	107.866	110.460	2.594	e anch[e: il parche]ggio [no devo] fare as-
    59	SP2	108.399	109.027	0.628	[sì sì sì]
    60	SP2	109.277	109.752	0.475	[°sì sì sì°]
    61	SP1	111.780	117.494	5.714	allora come la città (.) se tu paghi duecento eu- cioè duecento euro in PIÚ (.) [ma ti t]rovi tutto
    62	SP2	116.450	116.928	0.478	[mhmh]
    63	SP2	117.620	119.416	1.796	certo sì (.) certo cer[to]
    64	SP1	119.200	124.560	5.360	[com]e da là per fare una spesa io devo fare cioè dieci chilometri cinque chilometri al[meno]
    65	SP2	124.400	124.816	0.416	[mh]mh
    66	SP2	125.700	129.761	4.061	ma poi ti (.) (in)somma (.) ti svegli pres[to, traffico, stress, sì]
    67	SP1	127.861	130.755	2.894	[<assolutamente> ma (.) guarda] che (.) là
    68	SP1	131.222	133.599	2.377	da vivere la differenza da città e fuori città
    69	SP2	133.599	133.916	0.317	mhmh
    70	SP1	134.080	139.427	5.347	SE LAVORO, fuori città guarda che per me va bene [ma] (.) dentro le cit[tà che devo lavora]re
    71	SP2	137.394	137.778	0.384	[mhmh]
    72	SP2	138.405	139.199	0.794	[venendo qua]
    73	SP2	139.444	140.327	0.883	certo sì [sì]
    74	SP1	140.120	143.916	3.796	[signi]fica che per [me] non è che una giornata di (.) ventiquattro ore
    75	SP2	140.960	141.246	0.286	[mh]
    76	SP2	144.005	144.379	0.374	mhmh
    77	SP1	144.633	145.072	0.439	sono
    78	SP1	145.277	146.399	1.122	ventidue [ore]
    79	SP2	145.980	148.349	2.369	[cert]o (.) perché è [un'ora (no)] (.) mh[mh]
    80	SP1	146.855	147.805	0.950	[ancora meno]
    81	SP1	148.138	150.811	2.673	[sono] venti ore ti[po perché] ogni giorno io lo
    82	SP2	149.222	149.588	0.366	[°sì sì°]
    83	SP1	151.216	159.200	7.984	vado avanti e indietro un'ora un'ora e mezzo cioè per venire un'ora e mezzo un'or[a mi]nimo e ritornare ancora facciamo mezz'ora o un'ora
    84	SP2	155.672	155.969	0.297	[mh]
    85	SP2	159.522	159.890	0.368	[mhmh]
    86	SP1	159.622	161.127	1.505	[allora] due ore è già scalata
    87	SP2	161.138	161.741	0.603	sì sì [eh]
    88	SP1	161.411	162.611	1.200	[per prep]arare cioè se
    89	SP1	162.983	164.599	1.616	tipo che noi abitiamo cioè
