tu_id	speaker	start	end	duration	text
0	SP1	0.000	0.668	0.668	per quATTRO?
1	SP2	2.903	5.147	2.244	no n~ un kilo settecento grammi di pasta
2	SP1	5.355	7.859	2.504	eh [vabbè ma] perché quello il padre se ne mangia assai io so
3	SP2	5.545	5.893	0.348	[con due]
4	SP2	8.036	10.887	2.851	il padre man~ ne mangia:: ne mangia una scodella da insalata
5	SP1	10.903	11.129	0.226	eh
6	SP2	13.767	15.168	1.401	con <DUE VASETTI>
7	SP2	15.561	17.495	1.934	del pesto quello là barilla::
8	SP1	17.716	19.785	2.069	[vabb[è gra]zie con settecento grammi di pasta
9	SP2	17.979	18.284	0.305	[rico~]
10	SP2	20.581	21.500	0.919	ricotta e noCI
11	SP2	22.019	23.004	0.985	non contENTA
12	SP2	23.344	24.627	1.283	il fior di latte dentro
13	SP2	24.972	26.012	1.040	non contenta
14	SP2	26.562	27.668	1.106	il parmigiano sopra
15	SP1	28.844	29.623	0.779	e non stona?
16	SP2	30.530	33.859	3.329	NON contenta >mi ha detto< eh se c'avevo le noci mettevo pure le noci sopra
17	SP1	34.073	34.717	0.644	[no]::
18	SP3	34.155	34.460	0.305	[marò]
19	SP1	35.530	36.040	0.510	esagerata
20	SP2	36.890	39.686	2.796	ua mi piacevano tanto quelle zucchine le ave[te man]giate tutte
21	SP1	38.664	38.923	0.259	[mh]
22	SP1	39.898	40.463	0.565	<sorry>
23	SP1	40.908	42.422	1.514	te le rifaccio prima che te ne vai
24	SP3	42.597	42.970	0.373	e:h
25	SP2	43.420	44.106	0.686	prima che te ne vai
26	SP3	44.392	44.561	0.169	m:h
27	SP2	44.573	45.250	0.677	è lui che va via
28	SP3	45.695	46.752	1.057	>sai che possiamo [fare]<?
29	SP2	46.200	46.573	0.373	[m:hm:h]
30	SP2	47.236	47.484	0.248	°no°
31	SP3	47.836	50.211	2.375	con questa zucchinona gigante che tengo {P} la vogliamo arrostire?
32	SP3	50.371	51.542	1.171	ADESSO tipo
33	SP3	51.711	53.344	1.633	cioè non ce la mangiamo adesso però
34	SP3	53.559	54.562	1.003	lo facciamo per domani magari
35	SP1	54.579	55.045	0.466	va bene
36	SP2	55.344	57.686	2.342	ma perché la zucchinona non l'avevi già fatta?
37	SP3	57.991	59.221	1.230	amo' erano DUE zucchino[ne]
38	SP2	59.063	59.803	0.740	[°xx] zucchinone°
39	SP3	59.827	61.729	1.902	una l'ho fatta {P} l'altra::
40	SP1	61.994	64.632	2.638	eh ma l'altra [è metà] perché metà [si] deve tagliare
41	SP2	62.585	63.134	0.549	[è nel frigo]
42	SP2	63.597	63.803	0.206	[eh]
43	SP3	64.722	68.832	4.110	[p]erché nel frigo:: [stava troppo: forte se:]: ì m: il ghiaccio l'ha tipo un po: m::h
44	SP1	65.400	66.950	1.550	[il ghiaccio là che è eh]
45	SP3	69.623	71.635	2.012	disturbata diciamo così non so [co]me dire m::h
46	SP2	71.029	71.171	0.142	[m:h]
47	SP3	72.064	73.699	1.635	cioè si è [fa]tta tipo molla, [strana]
48	SP2	72.256	72.407	0.151	[no]
49	SP2	73.102	74.189	1.087	[s'è con]gelata
50	SP3	75.207	77.058	1.851	eh ma si è fatta molla [strana da un lato]
51	SP2	76.206	77.972	1.766	[eh si è brucia]ta si è::
52	SP3	77.974	79.664	1.690	bra~ tipo forse una bruciatura da: gelo
53	SP2	80.462	80.819	0.357	m:h
54	SP2	84.102	86.368	2.266	mi è piaciuto come le ha:: fatte rosanna
55	SP1	86.856	87.320	0.464	olè
56	SP2	87.889	89.788	1.899	c'ha messo [dentro l'ori]gano tuttavia
57	SP1	88.401	88.819	0.418	[xx]
58	SP3	90.618	94.728	4.110	davvero do~ dovresti essere contenta è il primo: complimento da qua~ che hai cucinato qualcosa tu
59	SP1	93.599	95.216	1.617	{applaude}
60	SP1	95.463	98.991	3.528	grazie gra~ me lo ricorderò a vita sappiate che non si replicherà mai più
61	SP3	98.783	99.550	0.767	{ride}
62	SP1	100.260	102.741	2.481	no perché poi io invece e:: adoro
63	SP1	103.054	106.364	3.310	i~ come mangiano in ospedale praticamente luciana me lo dice sempre
64	SP1	106.706	107.872	1.166	allora senza sale
65	SP1	108.462	112.530	4.068	cioè meno sale c'è più mi piace, senza olio, senza niente cioè meno condimento è
66	SP3	112.647	114.369	1.722	questo sale l'ho pre so [perché] me l'hai chiesto tu eh però
