tu_id	speaker	start	end	duration	text
0	SP1	0.180	0.920	0.740	(per quattro)
1	SP2	3.020	5.430	2.410	Non (uno chilo) settecento grammi di pasta
2	SP1	5.520	8.150	2.630	e vabbé (ma quello è il padre sai mando sta) so
3	SP2	5.520	6.320	0.800	[(con quell-)]
4	SP2	8.340	11.020	2.680	il padre man- mangia: ne mangia una scodella di insalata
5	SP1	11.110	11.390	0.280	Ah
6	SP2	14.010	17.650	3.640	Con Due Vasetti del pesto quello là barilla:
7	SP1	17.980	20.020	2.040	[vabbé tan]to e t-t- tutti e due (programmi) di pasta
8	SP2	18.000	18.510	0.510	[(e poi)]
9	SP2	20.720	21.780	1.060	ricotte e noci'
10	SP2	22.200	23.220	1.020	non contenta
11	SP2	23.450	24.850	1.400	il fior di latte dentro
12	SP2	25.280	26.250	0.970	non contenta
13	SP2	26.650	27.890	1.240	il parmigiano sopra
14	SP1	28.980	29.830	0.850	(e non stono)?
15	SP2	30.760	33.930	3.170	non contenta (per tutta la sessione uagliò) ci metto pure le noci sopra
16	SP3	34.290	34.620	0.330	[no]?
17	SP1	34.300	34.830	0.530	[no]:
18	SP1	35.570	36.320	0.750	(ti prego)
19	SP4	36.730	39.840	3.110	qua mi piacevano tanto quelle zucchine [le ave]te mangiate tutte?
20	SP3	38.740	39.040	0.300	[mh]
21	SP1	40.150	42.560	2.410	sorry: te le rifaccio prima che te ne vai
22	SP3	42.800	43.170	0.370	eh
23	SP5	43.530	44.400	0.870	ma che te ne vai?
24	SP3	44.580	44.920	0.340	[mh]
25	SP5	44.580	45.430	0.850	[(è lei)] che va via
26	SP2	45.970	46.820	0.850	sai che possiamo fare?
27	SP3	47.340	47.630	0.290	no
28	SP6	47.940	50.390	2.450	comunque le (zucchine raggixxx) che tengo le vogliamo arrostire?
29	SP6	50.750	51.700	0.950	adesso tipo?
30	SP6	51.810	53.400	1.590	cioé non ce le mangiamo adesso però
31	SP6	53.670	54.720	1.050	le facciamo per domani dai
32	SP1	54.770	55.270	0.500	va bene
33	SP3	55.540	57.670	2.130	ma perché la zucchina non- l- l'avevi già fatta?
34	SP6	58.280	59.470	1.190	amore erano due zucchinone
35	SP2	59.160	59.960	0.800	[°uno z]ucchinone°
36	SP6	59.970	61.970	2.000	una l'ho fatta l'altra:
37	SP1	62.290	64.800	2.510	E ma [l'altra è metà] perché [metà] si deve tagliare
38	SP6	62.610	63.320	0.710	[è nel frigo]
39	SP6	63.540	63.930	0.390	[eh]
40	SP6	64.890	67.330	2.440	perché nel frigo: [stava troppo forte: (se] è)
41	SP1	65.489	66.950	1.461	[il ghiaccio (l'al)xxx]
42	SP6	67.440	69.190	1.750	il ghiaccio l'ha tipo un po' uhm:
43	SP6	69.750	71.820	2.070	disturbata diciamo così [non so co]me dire
44	SP3	71.010	71.390	0.380	[mh]
