tu_id	speaker	start	end	duration	include	variation	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	E:unmatched_overlaps	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	original	text	orthographic
0	SP1	0.12	1.86	1.74	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	va be' era leggera però	va be' era leggera però	va be' era leggera però
1	SP2	2.04	3.135	1.1	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	5	no no no è vero	no no no è vero	no no no è vero
2	SP3	3.135	3.38	0.25	True	False	0	0	0	0	0	0	1	0	False	False	False	False	False	_	False	0	0	0	1	sì	sì	sì
3	SP3	4.12	5.4	1.28	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	non era pesantissima	non era pesantissima	non era pesantissima
4	SP1	6.48	7.24	0.76	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	per niente	per niente	per niente
5	SP3	7.5	9.56	2.06	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	11	l'unica cosa ho esagerato un po' con l'olio forse	l'unica cosa ho esagerato un po' con l'olio forse	l' unica cosa ho esagerato un po' con l' olio forse
6	SP1	10.8	12.16	1.36	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	5	ma nell'impasto no fuori	ma nell'impasto no fuori	ma nell' impasto no fuori
7	SP3	12.16	14.36	2.2	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	8	fuori nell'impasto ci ho me[sso il giusto]	fuori nell'impasto ci ho me[sso il giusto]	fuori nell' impasto ci ho messo il giusto
8	SP2	13.362	14.444	1.082	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	2	[nella padella]	[nella padella]	nella padella
9	SP3	14.72	15.66	0.94	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	però in padella	però in padella	però in padella
10	SP3	16.92	19.25	2.33	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	9	xx ha detto metti: quello là l'olio da friggere	xx ha detto metti: quello là l'olio da friggere	x ha detto metti quello là l' olio da friggere
11	SP3	19.56	20.58	1.02	True	False	0	0	0	0	0	0	0	0	False	False	False	False	False	_	False	0	0	0	3	così vengono meglio	così vengono meglio	così vengono meglio
