transcript,spoken time,tot tokens,tot tokens-unk,ERRORS.MISMATCHING_OVERLAPS,ERRORS.UNMATCHED_OVERLAPS,tot tokens-meta,tot tokens-pause,tot tokens-rising,tot tokens-weaklyrising,tot tokens-falling,TUs,WARNINGS.ACCENTS,WARNINGS.NUMBERS,WARNINGS.MOVED_BOUNDARIES,ERRORS.UNBALANCED_DOTS,ERRORS.UNBALANCED_PACE,ERRORS.UNBALANCED_GUESS,ERRORS.UNBALANCED_OVERLAP
02_StraParlaA_A,572.6600000000002,1737,1,,,240,34,0,6,0,240,1,6,4.0,0,0,0,0
03_PastiB,2225.5480000000016,9447,65,41.0,22.0,1549,39,117,34,0,1549,2,0,12.0,0,2,2,4
03_PastiA,2225.5480000000016,9447,65,41.0,22.0,1549,39,117,34,0,1549,2,0,12.0,0,2,2,4
01_ParlaBOA_E,474.92099999999976,1442,8,8.0,3.0,176,1,6,0,0,176,26,0,,0,0,0,1
02_StraParlaC_N,595.6699999999995,1634,2,18.0,11.0,268,15,2,4,0,268,0,3,6.0,0,0,0,1
01_PastiA_R,161.88800000000006,558,2,5.0,2.0,88,0,9,0,0,88,3,0,6.0,0,0,0,0
02_ParlaBOB_S,614.9330000000002,1617,0,35.0,4.0,113,6,5,3,0,112,0,1,2.0,0,0,0,0
02_ParlaBOA_I,547.4779999999997,1538,7,14.0,6.0,207,28,6,30,0,207,0,3,2.0,0,0,0,0
02_StraParlaB_O,586.29,1659,0,9.0,2.0,202,6,7,0,0,202,0,12,12.0,0,0,0,0
01_PastiB_V,195.04400000000004,634,10,9.0,6.0,70,18,8,4,1,69,1,0,,0,0,0,0
01_StraParlaB_A,195.91799999999998,618,0,2.0,2.0,114,16,1,6,0,114,10,0,2.0,0,0,0,0
01_StraParlaA_I,325.618,930,5,34.0,21.0,145,42,10,30,14,145,0,0,8.0,1,0,0,0
03_ParlaBOA,1869.9730000000006,5453,14,39.0,20.0,1095,4,4,28,0,1094,54,0,20.0,0,0,0,2
02_PastiB_U,492.5360000000002,1689,11,11.0,2.0,319,0,6,0,0,319,2,3,4.0,0,0,0,2
02_ParlaBOA_L,518.1199999999998,1535,0,4.0,2.0,241,12,6,46,5,241,0,1,4.0,0,0,0,1
01_StraParlaA_L,167.80300000000005,522,0,3.0,2.0,103,8,3,22,1,103,0,0,2.0,0,0,0,0
03_ParlaBOB,586.9390000000002,1747,5,10.0,4.0,307,1,0,7,0,307,16,0,2.0,0,0,0,0
01_StraParlaC_S,213.59000000000003,537,0,28.0,14.0,64,6,9,0,0,64,0,0,,0,0,0,1
01_StraParlaC_U,136.04299999999998,383,8,22.0,4.0,151,0,7,0,0,150,2,0,,0,0,1,2
01_ParlaBOA_M,202.162,606,3,8.0,5.0,91,6,5,4,0,91,1,0,,0,0,0,0
02_PastiA_E,517.242,1653,11,4.0,3.0,275,4,33,11,0,275,14,0,,0,0,0,0
01_PastiA_O,250.05799999999996,880,6,11.0,2.0,160,3,23,0,0,160,0,0,10.0,0,0,0,0
01_ParlaBOB_N,169.61499999999995,516,3,10.0,3.0,69,8,2,19,0,69,2,0,4.0,0,0,0,0
02_StraParlaA_V,570.46,1694,2,5.0,3.0,211,25,6,3,1,211,0,14,,0,0,0,1
02_PastiA_M,455.08000000000004,1548,8,6.0,2.0,242,7,15,2,0,242,0,2,,0,0,0,0
02_StraParlaB_R,566.533,1589,1,4.0,2.0,190,1,5,0,0,190,0,13,,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
