num_speakers	Phase	Transcript_ID	extract	Annotatore	Tipo	Esperto	Sec30	Sec60	Sec90	Sec120	SecAssegnazione	num_tu::0	num_tu::1	num_tu::2	num_ling_tu::0	num_ling_tu::1	num_ling_tu::2	tus_duration_per_minute::0	tus_duration_per_minute::1	tus_duration_per_minute::2	tokens_per_minute::0	tokens_per_minute::1	tokens_per_minute::2	linguistic_tokens_min::0	linguistic_tokens_min::1	linguistic_tokens_min::2	metalinguistic_tokens_min::0	metalinguistic_tokens_min::1	metalinguistic_tokens_min::2	avg_tokens_per_min::0	avg_tokens_per_min::1	avg_tokens_per_min::2	avg_duration_per_min::0	avg_duration_per_min::1	avg_duration_per_min::2	intonation_patterns_min::0	intonation_patterns_min::1	intonation_patterns_min::2	prolongations::0	prolongations::1	prolongations::2
2	2	02_ParlaBOA_I	Parlabo(1)	I	Whisper-Assisted	sì	69	138	229	254	677	21	45	63	21	45	62	59.86	124.61	181.88	164	359	533	153	338	500	3	6	7	7.80952380952381	7.97777777777778	8.46031746031746	2.85047619047619	2.76911111111111	2.88698412698413	5	15	24	17	33	48
2	2	02_ParlaBOA_L	Parlabo(1)	L	Whisper-Assisted	no	51	118	224	280	611	32	59	82	32	59	82	50.88	109.08	160.2	163	353	518	159	344	505	4	6	6	5.09375	5.98305084745763	6.31707317073171	1.59	1.84881355932203	1.95365853658537	9	26	40	13	22	32
3	2	02_ParlaBOB_S	Parlabo(2)	S	Whisper-Assisted	sì	180	300	410	491	747	14	27	42	14	27	42	52.954	112.921	172.738	147	305	455	144	300	449	1	1	1	10.5	11.2962962962963	10.8333333333333	3.78242857142857	4.18225925925926	4.11280952380952	1	2	6	8	16	23
2	1	01_ParlaBOA_E	Parlabo(1)	E	From-Scratch	sì	117	268	378	503	-	23	48	67	23	48	66	56.495	114.651	169.285	161	342	508	154	333	498	4	5	6	7	7.125	7.58208955223881	2.45630434782609	2.3885625	2.52664179104478	0	4	5	18	33	53
3	1	01_ParlaBOA_M	Parlabo(1)	M	From-Scratch	no	48	90	149	212	-	30	57	81	29	56	80	57.05	117.264	173.928	167	352	526	157	339	509	5	7	7	5.56666666666667	6.17543859649123	6.49382716049383	1.90166666666667	2.05726315789474	2.14725925925926	1	4	7	18	36	56
2	1	01_ParlaBOB_N	Parlabo(2)	N	From-Scratch	no	64	117	180	187	-	24	48	65	24	47	64	55.854	108.996	162.962	169	346	501	164	337	490	1	1	1	7.04166666666667	7.20833333333333	7.70769230769231	2.32725	2.27075	2.50710769230769	3	4	21	12	30	41
6	1	01_PastiA_O	Pasti(1)	O	From-Scratch	sì	90	180	254	304	-	36	67	93	36	65	90	47.2	101.56	149.14	166	359	535	165	355	527	0	2	4	4.61111111111111	5.35820895522388	5.75268817204301	1.31111111111111	1.51582089552239	1.60365591397849	8	8	12	4	13	15
3	1	01_PastiA_R	Pasti(1)	R	From-Scratch	no	40	72	135	185	-	29	56	83	28	53	78	49.618	106.343	154.203	164	356	532	163	352	526	0	2	4	5.6551724137931	6.35714285714286	6.40963855421687	1.71096551724138	1.89898214285714	1.85786746987952	5	5	9	4	6	6
3	2	02_PastiA_E	Pasti(1)	E	Whisper-Assisted	sì	113	257	360	465	1666	35	64	92	34	60	86	47.742	101.336	148.936	170	371	547	168	366	540	1	3	5	4.85714285714286	5.796875	5.94565217391304	1.36405714285714	1.583375	1.61886956521739	9	14	20	8	26	35
5	2	02_PastiA_M	Pasti(1)	M	Whisper-Assisted	no	67	162	239	284	740	30	57	85	30	56	84	50.942	103.958	153.821	171	363	544	165	353	533	1	2	2	5.7	6.36842105263158	6.4	1.69806666666667	1.82382456140351	1.80965882352941	4	7	10	5	26	44
3	1	01_PastiB_V	Pasti(2)	V	From-Scratch	no	53	73	138	185	-	21	42	66	20	40	62	59.519	124.815	189.2	166	421	623	154	399	587	2	4	7	7.90476190476191	10.0238095238095	9.43939393939394	2.8342380952381	2.97178571428571	2.86666666666667	4	7	12	6	13	19
3	2	02_PastiB_U	Pasti(2)	U	Whisper-Assisted	no	82	147	236	265	1237	36	71	107	35	70	105	47.49	105.495	155.978	159	383	563	154	376	553	2	3	3	4.41666666666667	5.3943661971831	5.26168224299065	1.31916666666667	1.48584507042254	1.45773831775701	1	1	6	3	7	12
2	1	01_StraParlaA_I	Straparla(1)	I	From-Scratch	sì	71	133	206	290	-	33	67	93	32	65	91	58.57	128.43	195.079	169	358	555	162	339	522	1	3	3	5.12121212121212	5.34328358208955	5.96774193548387	1.77484848484848	1.91686567164179	2.09762365591398	10	20	31	9	15	19
2	1	01_StraParlaA_L	Straparla(1)	L	From-Scratch	no	41	79	130	175	-	29	70	103	29	69	102	53.555	114.152	167.803	170	349	522	164	340	512	0	2	2	5.86206896551724	4.98571428571429	5.06796116504854	1.84672413793103	1.63074285714286	1.62915533980583	7	18	26	12	17	20
2	2	02_StraParlaA_A	Straparla(1)	A	Whisper-Assisted	sì	60	129	193	232	643	26	58	91	26	58	91	53.911	120.149	182.197	182	395	601	171	372	570	0	1	1	7	6.81034482758621	6.6043956043956	2.0735	2.07153448275862	2.00216483516484	1	1	5	7	12	13
2	2	02_StraParlaA_V	Straparla(1)	V	Whisper-Assisted	no	69	149	217	251	708	18	40	69	18	39	68	51.752	118.239	176.953	163	357	546	155	341	523	1	3	3	9.05555555555556	8.925	7.91304347826087	2.87511111111111	2.955975	2.56453623188406	5	6	7	9	11	11
2	1	01_StraParlaB_A	Straparla(2)	A	From-Scratch	sì	74	110	153	195	-	26	65	106	26	65	106	48.861	117.654	177.577	167	390	572	163	376	555	0	1	1	6.42307692307692	6	5.39622641509434	1.87926923076923	1.81006153846154	1.67525471698113	2	2	4	11	30	49
2	2	02_StraParlaB_O	Straparla(2)	O	Whisper-Assisted	sì	120	220	396	406	592	22	50	80	22	49	79	58.23	124.58	182.96	178	359	528	174	352	519	0	1	1	8.09090909090909	7.18	6.6	2.64681818181818	2.4916	2.287	0	2	3	8	14	23
2	2	02_StraParlaB_R	Straparla(2)	R	Whisper-Assisted	no	64	104	173	191	725	18	48	79	18	47	78	58.853	119.399	177.018	184	358	529	184	357	527	0	0	0	10.2222222222222	7.45833333333333	6.69620253164557	3.26961111111111	2.48747916666667	2.24073417721519	0	1	5	4	7	14
3	1	01_StraParlaC_S	Straparla(3)	S	From-Scratch	sì	49	110	155	197	-	23	42	59	23	42	59	56.291	131.651	189.076	143	343	501	137	335	491	2	3	3	6.21739130434783	8.16666666666667	8.49152542372881	2.4474347826087	3.13454761904762	3.2046779661017	4	5	9	8	23	29
3	1	01_StraParlaC_U	Straparla(3)	U	From-Scratch	no	42	77	110	145	-	58	122	151	54	116	143	53.673	111.575	136.043	136	313	383	131	303	370	2	5	5	2.3448275862069	2.5655737704918	2.5364238410596	0.925396551724138	0.914549180327869	0.900947019867549	4	4	7	9	21	32
3	2	02_StraParlaC_N	Straparla(3)	N	Whisper-Assisted	no	70	144	213	242	947	25	47	75	25	46	74	58.69	120.502	190.662	144	321	520	137	307	503	2	5	5	5.76	6.82978723404255	6.93333333333333	2.3476	2.56387234042553	2.54216	2	3	5	4	10	18
