phase	data	transcriber	expert	wer
asr-assisted	straparla	O	expert	19.62
manual	parlabo	M	novice	20.9
asr-assisted	straparla	V	novice	22.69
asr-assisted	straparla	R	novice	22.87
manual	pasti	R	novice	19.18
asr-assisted	pasti	U	novice	23.17
manual	straparla	I	expert	21.35
asr-assisted	parlabo	S	novice	30.37
manual	pasti	O	expert	31.5
asr-assisted	straparla	A	expert	15.59
asr-assisted	pasti	E	expert	18.39
manual	straparla	L	novice	25.18
manual	parlabo	V	novice	32.67
asr-assisted	pasti	L	novice	22.79
asr-assisted	straparla	M	novice	30.16
manual	parlabo	U	novice	29.3
manual	parlabo	E	expert	15.92
manual	parlabo	N	novice	23.97
asr-assisted	straparla	I	expert	24.52
manual	straparla	A	expert	27.99
asr-assisted	straparla	N	novice	16.37
manual	straparla	S	novice	40.71
