default	231.700	232.318	0.618
Subtitle-Tier	5.100	6.900	1.800	eh può essere e' vero è vero
Subtitle-Tier	15.000	15.684	0.684	m: m:
Subtitle-Tier	20.400	21.390	0.990	e' vero
Subtitle-Tier	27.900	29.820	1.920	eh sì sì sì sì
Subtitle-Tier	30.910	35.480	4.570	e invece per il quanto riguarda il lavoro pensi che sia un buon posto in cui lavorare
Subtitle-Tier	36.140	38.280	2.140	cioè secondo te si trova lavoro:?
Subtitle-Tier	68.600	70.089	1.489	e: sì sì sì
Subtitle-Tier	85.909	87.298	1.389	ah ok m: m:
Subtitle-Tier	93.020	94.120	1.100	magari più posti
Subtitle-Tier	112.770	115.560	2.790	[meglio] e quindi tu di cosa ti occupi?
Subtitle-Tier	133.018	133.397	0.379	m: m:
Subtitle-Tier	151.400	152.300	0.900	ah, m: m:
Subtitle-Tier	153.300	154.086	0.786	[che bello]
Subtitle-Tier	168.509	170.440	1.931	hai sempre fatto questo lavoro oppure?
Subtitle-Tier	196.600	197.381	0.781	m m:
Subtitle-Tier	202.509	203.795	1.286	[non hai abbandonato]
Subtitle-Tier	208.382	210.209	1.827	((ride))
Subtitle-Tier	231.700	232.318	0.618	[m: m:]
Subtitle-Tier	248.289	248.908	0.619	[m: m:]
Subtitle-Tier	272.408	272.890	0.482	m: m:
Subtitle-Tier	273.308	275.302	1.994	anche ((ride))
Subtitle-Tier	282.400	283.084	0.684	m: m:
Subtitle-Tier	289.008	294.300	5.292	[quindi] pensi che questo sia il lavoro: della vita
Subtitle-Tier	328.200	330.909	2.709	[come ambiente comunque:]
Subtitle-Tier	348.000	349.100	1.100	[l'ambiente]
Subtitle-Tier	350.015	350.897	0.882	anche secondo me
Subtitle-Tier	351.792	352.578	0.786	è vero è vero
Subtitle-Tier	368.500	372.992	4.492	che al fine devi vedere tutti i giorni quindi io mi trovo bene quindi è quelli che lavoro
Subtitle-Tier	379.008	380.383	1.375	rimango eh ((ride))
Subtitle-Tier	385.292	386.684	1.392	sì sì sì
Subtitle-Tier	388.000	391.800	3.800	e per quanto riguarda la tua laurea comunque quindi ti è servita
Subtitle-Tier	399.200	400.288	1.088	quali hai studiato tu?
Subtitle-Tier	401.200	402.289	1.089	m: m:
Subtitle-Tier	405.208	406.495	1.287	m: occhei
Subtitle-Tier	409.615	410.600	0.985	((ride))
Subtitle-Tier	415.308	416.803	1.495	eh proviamo ((ride))
Subtitle-Tier	421.992	422.669	0.677	m: m:
Subtitle-Tier	437.508	439.405	1.897	non usi l'accento:?
Subtitle-Tier	442.285	444.900	2.615	((ride)) [è vero è vero]
Subtitle-Tier	461.792	463.379	1.587	[non sono no non no]
Subtitle-Tier	465.100	469.420	4.320	 è comunque una cosa che ti piace quindi:
Subtitle-Tier	490.700	494.298	3.598	è vero è vero non è più così automatico
Subtitle-Tier	495.800	501.890	6.090	sempre quella sicurezza di parlare in inglese in questo momento e quindi poi trasferendoti
Subtitle-Tier	501.890	509.260	7.370	se ti trasferirai dovrai fare da pendolare sì se tornerò fuori lì quando tornerò fuori lì
Subtitle-Tier	554.190	560.100	5.910	mattine dalle otto è un po' più difficile quindi lui fa pendolare adesso fa pendolare sì
Subtitle-Tier	568.760	578.060	9.300	svegliamo no dai però almeno sì sì no si riesce a fare anche modalità sì adesso secondo me molti
Subtitle-Tier	582.420	590.200	7.780	altri lavori dopo il covid anche solo in vista di possibili chiusure tanto sì esatto esatto
Subtitle-Tier-1	0.460	5.100	4.640	e:m: di- infatti il fatto che ha aumentato il turismo ha impattato molto anche il tipo degli affari
Subtitle-Tier-1	7.220	15.040	7.820	perché dicevano che molte persone molti: proprietari hanno messo le case su airbnb(.) per il turismo
Subtitle-Tier-1	16.240	20.400	4.160	e tutte queste case sono state tolte dal mercato della gente che ci deve vivere insomma
Subtitle-Tier-1	21.390	24.860	3.470	quindi sicuramente il turismo ha influito anche su questo: questa cosa qua
Subtitle-Tier-1	26.280	30.500	4.220	però capisco anche che vogliano comunque incentivare il turismo((ride)) però
Subtitle-Tier-1	38.620	39.570	0.950	ah ok come:
Subtitle-Tier-1	39.570	48.790	9.220	sì no bologna sicuramente: secondo me ha molte opportunità lavorative rispetto ad esempio a forlì
Subtitle-Tier-1	48.790	55.160	6.370	adesso prendiamo forlì come riferimento però(.) c'è sicuramente molta più offerta lavorativa su bologna
Subtitle-Tier-1	55.200	64.960	9.760	perché: (.) un po' ci sono molte industrie poi dipende uno che cosa fa però c'è: sia l'industria
Subtitle-Tier-1	65.160	71.140	5.980	e la regione poi del motor valley sai ci sono più delle aziende di motori in quella zona lì
Subtitle-Tier-1	71.140	77.710	6.570	poi anche più verso modena in realtà però e: secondo me c'è un po' di tutto comunque
Subtitle-Tier-1	77.710	81.500	3.790	anche a livello umanistico qualcosa sì si trova a bologna
Subtitle-Tier-1	82.700	89.330	6.630	e: io poi ho trovato lavoro tramite un concorso quindi quello magari è di piacere
Subtitle-Tier-1	89.330	93.020	3.690	però anche nel pubblico probabilmente a bologna c'è molto di più rispetto
Subtitle-Tier-1	94.120	101.720	7.600	sì esatto l'università di bologna diciamo che(.) porta tanto lavoro in tanti modi secondo me
Subtitle-Tier-1	103.591	110.240	6.649	e: quindi sì so sicuramente ci sono buone opportunità secondo me bologna in tutta la regione
Subtitle-Tier-1	110.240	112.770	2.530	penso che sia la città in cui si trova più lavoro
Subtitle-Tier-1	116.100	121.200	5.100	allora io lavoro nell'ufficio relazioni internazionali dell'università di bologna
