Speaker_1	0.370	3.270	2.900	persone che magari puoi avere incontrato [un pò:]
Speaker_1	8.700	9.188	0.488	[mh]mh
Speaker_1	12.072	12.670	0.598	[sì è vero]
Speaker_1	26.430	26.719	0.289	[mhmh]
Speaker_1	32.165	32.454	0.289	sì
Speaker_1	32.500	33.979	1.479	((ride)) [esatto]
Speaker_1	42.850	44.506	1.656	[ah ah ah] sìsìsì
Speaker_1	47.230	51.820	4.590	[anche] cremonini dicono che [(si aspetti) x neanche io mai]
Speaker_1	59.103	61.510	2.407	vabbè magari dai [quest'anno sarà l'anno buono]
Speaker_1	62.845	68.710	5.865	e:h anche per il fatto che hanno messo le luci con le scritte delle canzoni [cosa ne pensi?]
Speaker_1	73.065	73.458	0.393	[bello]
Speaker_1	76.410	76.710	0.300	[sì]
Speaker_1	78.640	80.286	1.646	che poi hanno messo anche [le sue: vero?]
Speaker_1	80.530	80.921	0.391	[sìsì]
Speaker_1	85.339	86.880	1.541	[mhmh anche secondo me]
Speaker_1	88.500	91.394	2.894	[e invece] il tuo posto del cuore di bologna?
Speaker_1	91.852	95.502	3.650	non so anche solo un bar [a cui] sei particolarmente affezionata?
Speaker_1	105.570	107.390	1.820	a:h lì è [bellissimo]
Speaker_1	116.242	116.846	0.604	[bello]
Speaker_1	118.515	119.046	0.531	bellissimo
Speaker_1	119.340	123.573	4.233	e in generale bologna ritieni che sia una bella città in cui vivere:
Speaker_1	133.165	135.371	2.206	[okay quindi più] per giovani [magari]
Speaker_1	149.280	149.547	0.267	mhmh
Speaker_1	151.098	153.677	2.579	e:h secondo te i suoi punti forti secondo te quali sono?
Speaker_1	162.430	162.824	0.394	[mhmh]
Speaker_1	163.840	164.233	0.393	((schiarisce la voce))
Speaker_1	178.270	178.796	0.526	[è vero]
Speaker_1	192.500	194.750	2.250	i mezzi di trasporto anche:
Speaker_1	212.280	212.997	0.717	[mhmh]
Speaker_1	216.873	217.588	0.715	non è [vivibile]
Speaker_1	222.170	222.440	0.270	[mhmh]
Speaker_1	225.250	226.176	0.926	sì ((ride))
Speaker_1	236.965	237.336	0.371	mhmh
Speaker_1	247.525	247.703	0.178	mhmh
Speaker_1	252.840	254.340	1.500	[eh] fanno più [fatica]
Speaker_1	262.525	264.731	2.206	sì e costa anche: [abbastanza]
Speaker_1	272.994	273.650	0.656	[mh]mh
Speaker_1	278.390	281.750	3.360	[eh magari] anche con una famiglia poi [diventa un pò troppo]
Speaker_1	292.639	293.958	1.319	[eh esatto infatti]
Speaker_1	303.285	304.730	1.445	[è meglio eh sì]
Speaker_1	309.623	311.580	1.957	[anche io per ogni] cosa esatto
Speaker_1	322.600	323.100	0.500	[mh]mh
Speaker_1	326.370	327.760	1.390	[nono è vero è vero]
Speaker_1	330.930	331.843	0.913	[sìsì sìsì]
Speaker_1	332.210	335.734	3.524	che se ci pensi da un fattore ambientale [è: proprio:]
Speaker_1	336.657	336.848	0.191	una m-
Speaker_1	342.736	343.335	0.599	[queste cose]
Speaker_1	345.170	347.986	2.816	beh dai è anche una bella cosa che ti ha lasciato [comunque]
Speaker_1	356.684	356.971	0.287	[eh]
Speaker_1	359.394	360.306	0.912	[anche secondo me]
Speaker_1	361.744	362.360	0.616	[è vero]
Speaker_1	368.801	370.710	1.909	[sembra tutto] vicino [sìsìsì]
Speaker_1	374.630	375.450	0.820	[mhmh è vero]
