tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	3.13699999999994	3.137	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	xx infatti il fatto che è aumentato il turismo	xx infatti il fatto che è aumentato il turismo	x infatti il fatto che è aumentato il turismo
2	SP1	3.71000000000004	5.81799999999998	2.108	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	ha impattato molto anche [xx gli affitti]	ha impattato molto anche [xx gli affitti]	ha impattato molto anche x gli affitti
3	SP2	4.80999999999995	5.81799999999998	1.008	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[eh può essere]	[eh può essere]	eh può essere
4	SP2	6.15999999999985	6.95100000000002	0.791	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	è vero è vero	è vero è vero	è vero è vero
5	SP1	6.97599999999989	9.94299999999998	2.967	True	0	0	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	perchè: dicevano che molte persone molti::	perché: dicevano che molte persone molti::	perché dicevano che molte persone molti
6	SP1	10.0699999999999	13.1019999999999	3.032	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	proprietari hanno messo le case su airb&b	proprietari hanno messo le case su airbb	proprietari hanno messo le case su airbb
7	SP1	13.52	14.8229999999999	1.303	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	per per il turis[mo]	per per il turis[mo]	per per il turismo
8	SP2	14.5599999999999	15.242	0.682	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]mh	[mh]mh	mhmh
9	SP1	15.8899999999999	18.316	2.426	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	e tutte queste case sono state tolte dal mercato	e tutte queste case sono state tolte dal mercato	e tutte queste case sono state tolte dal mercato
10	SP1	18.3699999999999	20.1599999999999	1.79	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	della gente che ci deve vivere insom[ma]	della gente che ci deve vivere insom[ma]	della gente che ci deve vivere insomma
11	SP2	19.8799999999999	20.981	1.101	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[mh]mh è vero	[mh]mh è vero	mhmh è vero
12	SP1	21.0999999999999	23.8499999999999	2.75	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	quindi sicuramente il turismo ha influito anche su questo	quindi sicuramente il turismo ha influito anche su questo	quindi sicuramente il turismo ha influito anche su questo
13	SP1	23.8899999999999	24.682	0.792	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	questa cosa qua	questa cosa qua	questa cosa qua
14	SP1	26.0	26.4880000000001	0.488	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	però	però	però
15	SP1	26.5999999999999	27.6799999999998	1.08	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	capisco anche che vogliano	capisco anche che vogliano	capisco anche che vogliano
16	SP2	27.8	29.915	2.115	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	eh sì [xxxx] sì sì sì	eh sì [xxxx] sì sì sì	eh sì x sì sì sì
17	SP1	28.1900000000001	29.46	1.27	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[cercare in primo]	[cercare in primo]	cercare in primo
18	SP2	30.1499999999999	30.6559999999999	0.506	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[e]	[e]	e
19	SP1	30.1499999999999	30.6559999999999	0.506	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[però]	[però]	però
20	SP2	30.72	32.76	2.04	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	e invece per quanto riguarda il lavoro	e invece per quanto riguarda il lavoro	e invece per quanto riguarda il lavoro
21	SP2	32.8099999999999	35.3589999999999	2.549	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	pensi che si un buon posto in cui lavorare	pensi che si un buon posto in cui lavorare	pensi che si un buon posto in cui lavorare
22	SP2	35.78	38.7339999999999	2.954	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[c(io)è sì secon]do te si trova lavoro [o::]	[c(io)è sì secon]do te si trova lavoro [o::]	cioè sì secondo te si trova lavoro o
23	SP1	35.79	36.6879999999999	0.898	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[ehm]	[ehm]	ehm
24	SP1	38.1799999999998	41.71	3.53	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[ah] okay come s[ì no a bolo]gna sicuramente:	[ah] okay come s[ì no a bolo]gna sicuramente:	ah okay come sì no a bologna sicuramente
25	SP2	39.47	40.0799999999999	0.61	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
26	SP1	41.76	42.5509999999999	0.791	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	secondo me	secondo me	secondo me
27	SP1	43.05	45.268	2.218	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ha molte opportunità: lavorative	ha molte opportunità: lavorative	ha molte opportunità lavorative
28	SP1	45.6099999999999	46.29	0.68	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	m:h	m:h	mh
29	SP1	46.6699999999999	48.6399999999999	1.97	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	rispetto a mh ad esempio forlì	rispetto a mh ad esempio forlì	rispetto a mh ad esempio forlì
