tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.52	8.44	7.92	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	24	come tabacco no [eh di l]à (.) lavorando più di tre <tremila> pers[one non] sono esattamente o tremila o trenta mila [ma tre]mila che facciamo	come tabacco no [eh di l]à {P} lavorando più di tre <tremila> pers[one non] sono esattamente o tremila o trenta mila [ma tre]mila che facciamo	come tabacco no eh di là {P} lavorando più di tre tremila persone non sono esattamente o tremila o trenta mila ma tremila che facciamo
2	SP2	1.399	1.911	0.512	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[okay]	[okay]	okay
3	SP2	4.692	5.061	0.369	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
4	SP2	7.155	7.463	0.308	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
5	SP1	8.84	11.194	2.354	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	ma (.) non si trovano adesso neanche là il l'appartam[ento]	ma {P} non si trovano adesso neanche là il l'appartam[ento]	ma {P} non si trovano adesso neanche là il l' appartamento
6	SP2	11.094	14.055	2.961	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	9	[eh] esatto te lo era (.) questo che volevo chiederti	[eh] esatto te lo era {P} questo che volevo chiederti	eh esatto te lo era {P} questo che volevo chiederti
7	SP2	14.216	14.522	0.306	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	perché	perché	perché
8	SP1	14.872	15.299	0.427	True	0	0	0	0	0	0	0	False	False	False	False	True	_	0	0	0	2	eh s[ì]	eh s[ì]	eh sì
9	SP2	15.372	16.788	1.516	True	0	0	0	0	0	0	1	False	False	False	False	True	_	0	0	0	5	[s]e tutti vogliono vivere lì	[s]e tutti vogliono vivere lì	se tutti vogliono vivere lì
10	SP1	17.56	20.005	2.445	True	0	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	7	sì (.) non si trovano appartament[i] (.) la verit[à]	sì {P} non si trovano appartament[i] {P} la verit[à]	sì {P} non si trovano appartamenti {P} la verità
11	SP2	19.066	19.294	0.228	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[°mh mh°]	[°mh mh°]	mh mh
12	SP2	19.844	20.153	0.309	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh] mh	[mh] mh	mh mh
13	SP1	20.244	23.933	3.689	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	piuttosto che: ci sono un sacco di: gente	piuttosto che: ci sono un sacco di: gente	piuttosto che ci sono un sacco di gente
14	SP1	24.499	27.177	2.678	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	come: non vuole dare (.) appartamenti per la famiglia	come: non vuole dare {P} appartamenti per la famiglia	come non vuole dare {P} appartamenti per la famiglia
15	SP1	27.805	31.9	4.095	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	13	un po' che danno un po' di person[e (.) c]he: dopo fanno la storia	un po' che danno un po' di person[e {P} c]he: dopo fanno la storia	un po' che danno un po' di persone {P} che dopo fanno la storia
16	SP2	29.677	30.053	0.376	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[mh mh]	[mh mh]	mh mh
