tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.733	7.62	6.887	True	0	0	0	0	0	0	False	False	False	False	False	_	3	0	1	13	bene (.) allora (.) intanto (.) ero curiosa di sapere da quanto tempo c'è questo negozio perché	bene {P} allora {P} intanto {P} ero curiosa di sapere da quanto tempo c'è questo negozio perché	bene {P} allora {P} intanto {P} ero curiosa di sapere da quanto tempo c'è questo negozio perché
2	SP1	7.8	11.54	3.74	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	1	14	io sono di qui (.) e frequento un po' questa zona ma non l'avevo mai visto	io sono di qui {P} e frequento un po' questa zona ma non l'avevo mai visto	io sono di qui {P} e frequento un po' questa zona ma non l'avevo mai visto
3	SP2	11.82	12.96	1.14	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	no non [è così]	no non [è così]	no non è così
4	SP1	12.53	13.25	0.72	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[strana]mente	[strana]mente	stranamente
5	SP2	13.3	15.92	2.62	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	questo negozio è già da ventidue anni	questo negozio è già da ventidue anni	questo negozio è già da ventidue anni
6	SP1	16.22	17.92	1.7	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	okay [quindi non è nuovo]	okay [quindi non è nuovo]	okay quindi non è nuovo
7	SP2	16.87	21.82	4.95	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	20	[sono qui da sei an]ni no no no questo qua non è nuovo di prima era una casa editrice vaesi	[sono qui da sei an]ni no no no questo qua non è nuovo di prima era una casa editrice vaesi	sono qui da sei anni no no no questo qua non è nuovo di prima era una casa editrice vaesi
8	SP2	22.65	28.14	5.49	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	11	poi hanno:: <chiuso> allora:: già comprato un'altra persona e è fatta copisteria	poi hanno:: <chiuso> allora:: già comprato un'altra persona e è fatta copisteria	poi hanno chiuso allora già comprato un'altra persona e è fatta copisteria
9	SP1	28.3	28.6	0.3	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
10	SP2	29.167	33.36	4.193	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	poi io sono da terza mano che: andando avanti	poi io sono da terza mano che: andando avanti	poi io sono da terza mano che andando avanti
11	SP1	33.68	34.48	0.8	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mhmh okay	mhmh okay	mhmh okay
12	SP1	34.86	43.05	8.19	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	26	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di via del guasto	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di via del guasto	mh noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di via del guasto
13	SP2	43.19	43.55	0.36	True	0	0	0	0	0	0	False	False	False	False	True	14=0.010	0	0	0	1	sì	sì	sì
14	SP1	43.54	44.04	0.5	True	0	0	0	0	0	0	False	False	False	False	True	13=0.010	0	0	0	2	a chiedere	a chiedere	a chiedere
15	SP2	44.2	44.47	0.27	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh[mh]	mh[mh]	mhmh
16	SP1	44.34	47.09	2.75	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	[e] i ragazzi ci hanno detto che dovevamo assolutamente venire da te	[e] i ragazzi ci hanno detto che dovevamo assolutamente venire da te	e i ragazzi ci hanno detto che dovevamo assolutamente venire da te
17	SP2	47.36	54.787	7.427	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	23	beh e:h sì perché loro non è: non è m:h abbas- cioè loro non:: m:h loro sono bravi' ma non sono: bravi per	beh e:h sì perché loro non è: non è m:h abbas- cioè loro non:: m:h loro sono bravi' ma non sono: bravi per	beh eh sì perché loro non è non è mh abbas- cioè loro non mh loro sono bravi' ma non sono bravi per
18	SP2	54.986	60.459	5.473	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	18	rispondere a un sacco di [doma]nde che: anche non sono bravi in italiano pro- in poche [parole sì]	rispondere a un sacco di [doma]nde che: anche non sono bravi in italiano pro- in poche [parole sì]	rispondere a un sacco di domande che anche non sono bravi in italiano pro- in poche parole sì
19	SP1	56.11	56.52	0.41	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]	[mh]	mh
20	SP1	59.31	64.513	5.203	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	[okay quindi forse] forse il problema era quello [non] non abbiamo capito se erano preoccupati perché	[okay quindi forse] forse il problema era quello [non] non abbiamo capito se erano preoccupati perché	okay quindi forse forse il problema era quello non non abbiamo capito se erano preoccupati perché
21	SP2	61.57	61.92	0.35	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
22	SP2	64.64	71.64	7.0	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	21	no non so- non è preoccupati però e:h lo sai che quando qualcuno che m:h non capisce cosa è la do[manda]	no non so- non è preoccupati però e:h lo sai che quando qualcuno che m:h non capisce cosa è la do[manda]	no non so- non è preoccupati però eh lo sai che quando qualcuno che mh non capisce cosa è la domanda
23	SP1	71.13	71.62	0.49	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
24	SP2	71.84	78.41	6.57	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	18	e quale che è la ri- risposta che sta facendo in un'altra lingua che lui [non è a]bbastanza BRAVA	e quale che è la ri- risposta che sta facendo in un'altra lingua che lui [non è a]bbastanza BRAVA	e quale che è la ri- risposta che sta facendo in un'altra lingua che lui non è abbastanza brava
25	SP1	76.845	77.205	0.36	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°mhmh°]	[°mhmh°]	mhmh
26	SP2	78.52	81.5	2.98	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	10	allora è una [problema per-] (.) [per (cioè)] una persona no	allora è una [problema per-] {P} [per (cioè)] una persona no	allora è una problema per- {P} per cioè una persona no
27	SP1	79.27	79.73	0.46	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
28	SP1	80.28	80.7	0.42	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
29	SP1	81.6	82.73	1.13	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[mhmh sì forse]	[mhmh sì forse]	mhmh sì forse
30	SP2	81.61	84.833	3.223	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[°cioè° ecco per]ciò che: [x]	[°cioè° ecco per]ciò che: [x]	cioè ecco perciò che x
31	SP1	84.43	85.64	1.21	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[for]se è stato per que[llo]	[for]se è stato per que[llo]	forse è stato per quello
32	SP2	85.407	85.64	0.233	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
33	SP1	85.97	88.15	2.18	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e: stamattina noi siamo andate in	e: stamattina noi siamo andate in	e stamattina noi siamo andate in
34	SP2	89.473	89.84	0.367	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	zo[na]	zo[na]	zona
35	SP1	89.633	93.2	3.567	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	[prati]camente tutti i negozi di via san vitale [a chiedere]	[prati]camente tutti i negozi di via san vitale [a chiedere]	praticamente tutti i negozi di via san vitale a chiedere
