tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.18	3.2	3.02	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	persone che magari puoi aver incontrato, un po':	persone che magari puoi aver incontrato, un po':	persone che magari puoi aver incontrato un po'
2	SP2	3.7	9.2	5.5	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	15	bah e::h (.) >sì c(io)è< è sempre pieno di persone che fanno emosina, sotto i porti[ci]	bah e::h {P} >sì c(io)è< è sempre pieno di persone che fanno emosina, sotto i porti[ci]	bah eh {P} sì cioè è sempre pieno di persone che fanno emosina sotto i portici
3	SP1	8.83	9.55	0.72	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°mh]mh°	[°mh]mh°	mhmh
4	SP2	9.76	12.66	2.9	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	soprattutto se vieni indipendenza: ce ne sono d[iversi]	soprattutto se vieni indipendenza: ce ne sono d[iversi]	soprattutto se vieni indipendenza ce ne sono diversi
5	SP1	12.12	13.19	1.07	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[sì è ve]ro	[sì è ve]ro	sì è vero
6	SP2	13.54	19.3	5.76	True	0	0	0	0	0	0	False	False	False	False	False	_	2	0	0	10	anche sotto i portici di via:: (.) di viale:: (.) m::h masini	anche sotto i portici di via:: {P} di viale:: {P} m::h masini	anche sotto i portici di via {P} di viale {P} mh masini
7	SP2	19.74	21.2	1.46	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	perché io passo spesso di lì	perché io passo spesso di lì	perché io passo spesso di lì
8	SP2	22.1	23.54	1.44	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e::hm	e::hm	ehm
9	SP2	24.34	28.33	3.99	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	8	però a parte >insomma< persone: che [fanno l'elemo]sina:, si	però a parte >insomma< persone: che [fanno l'elemo]sina:, si	però a parte insomma persone che fanno l'elemosina:, si
10	SP1	26.53	27.14	0.61	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°mhmh°]	[°mhmh°]	mhmh
11	SP2	28.64	32.38	3.74	True	0	0	0	0	0	0	False	False	False	False	True	12=0.090	1	0	0	10	m:h a:h (.) incontri anche molte persone che ti fermano per:	m:h a:h {P} incontri anche molte persone che ti fermano per:	mh ah {P} incontri anche molte persone che ti fermano per
12	SP1	32.29	34.21	1.92	True	0	0	0	0	0	0	False	False	False	False	True	11=0.090,13=1.650	0	1	0	2	sì ((ride)) [esatto]	sì {ride} [esatto]	sì {ride} esatto
13	SP2	32.56	37.48	4.92	True	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	12	chiederti di f[are beneficen]za ((ride)) le classiche persone che sono sotto i portici,	chiederti di f[are beneficen]za {ride} le classiche persone che sono sotto i portici,	chiederti di fare beneficenza {ride} le classiche persone che sono sotto i portici
14	SP2	38.63	39.45	0.82	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e::hm	e::hm	ehm
15	SP2	39.64	43.59	3.95	True	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	12	a volte (.) persone famose ogni tanto una volta incontrato piff ad esem[pio::]	a volte {P} persone famose ogni tanto una volta incontrato piff ad esem[pio::]	a volte {P} persone famose ogni tanto una volta incontrato piff ad esempio
16	SP1	43.14	44.58	1.44	True	0	0	0	0	0	0	False	False	False	False	True	15=0.450,17=0.050	0	0	0	4	[a:h sì] sì sì	[a:h sì] sì sì	ah sì sì sì
17	SP2	44.53	47.44	2.91	True	0	0	0	0	0	0	False	False	False	False	True	16=0.050,18=0.180	0	0	0	13	°e:h so (che era)° in un hotel che è lì su via indipende[nza]	°e:h so (che era)° in un hotel che è lì su via indipende[nza]	eh so che era in un hotel che è lì su via indipendenza
