tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	1.14300000000003	1.143	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	4	vabbè era leggera però	vabbè era leggera pero'	vabbè era leggera pero'
2	SP2	1.94399999999996	2.35799999999995	0.414	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	alla [fine]	alla [fine]	alla fine
3	SP3	2.04300000000012	2.94600000000014	0.903	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[no no] è vero	[no no] è vero	no no è vero
4	SP2	3.05500000000006	3.20800000000008	0.153	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
5	SP2	4.24099999999999	5.17700000000013	0.936	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	non era pesantissima	non era pesantissima	non era pesantissima
6	SP1	6.40300000000002	7.66200000000003	1.259	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	per niente [(anzi)]	per niente [(anzi)]	per niente anzi
7	SP2	7.19000000000005	9.65800000000013	2.468	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	12	[l'unica cosa] ho esagerato un po' con l'olio forse però	[l'unica cosa] ho esagerato un po' con l'olio forse pero'	l' unica cosa ho esagerato un po' con l' olio forse pero'
8	SP1	10.7260000000001	12.212	1.486	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	ma nell'impasto? no fuori	ma nell'impasto? no fuori	ma nell' impasto no fuori
9	SP2	12.337	12.6200000000001	0.283	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	fuori	fuori	fuori
10	SP2	12.8130000000001	14.3300000000002	1.517	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	nell'impasto ce [ne ho messo il giu]sto	nell'impasto ce [ne ho messo il giu]sto	nell' impasto ce ne ho messo il giusto
11	SP3	13.3099999999999	13.9570000000001	0.647	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[nella padella]	[nella padella]	nella padella
12	SP2	14.6490000000001	15.405	0.756	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	3	però in padella	pero' in padella	pero' in padella
13	SP2	16.8530000000001	19.075	2.222	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	rosa ha detto metti: quello là l'olio da friggere	rosa ha detto metti: quello là l'olio da friggere	rosa ha detto metti quello là l' olio da friggere
14	SP2	19.412	20.318	0.906	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	così vengono meglio	così vengono meglio	così vengono meglio
15	SP2	20.7909999999999	21.5509999999999	0.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	ho detto okay	ho detto okay	ho detto okay
16	SP2	22.1280000000002	25.3520000000001	3.224	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	7	e ho fatto però praticamente xxx messo::	e ho fatto pero' praticamente xxx messo::	e ho fatto pero' praticamente xxx messo
17	SP2	25.5450000000001	27.9390000000001	2.394	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	cioè tutt~ tutto il fondo della padella era pieno d'olio	cioè tutt~ tutto il fondo della padella era pieno d'olio	cioè tutt~ tutto il fondo della padella era pieno d' olio
18	SP2	29.2740000000001	32.6400000000001	3.366	True	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	11	io volevo mettere un filo sai per farli venire: (.) mezzi tra	io volevo mettere un filo sai per farli venire: {P} mezzi tra	io volevo mettere un filo sai per farli venire {P} mezzi tra
19	SP2	34.751	37.443	2.692	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	cioè cotti: nella padella unta invece	cioè cotti: nella padella unta invece	cioè cotti nella padella unta invece
20	SP2	38.722	41.0920000000001	2.37	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	9	i primi sono venuti un po' deep [fried qua]si ((ride))	i primi sono venuti un po' deep [fried qua]si {ride}	i primi sono venuti un po' deep fried quasi {ride}
21	SP1	40.0630000000001	40.6130000000001	0.55	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°fritti°]	[°fritti°]	fritti
22	SP1	43.1700000000001	43.471	0.301	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((tossisce))	{tossisce}	{tossisce}
23	SP1	43.7	47.1079999999999	3.408	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	beh oggi abbiamo fatto colazione co~ pa~ pancake con nutella	beh oggi abbiamo fatto colazione co~ pa~ pancake con nutella	beh oggi abbiamo fatto colazione co~ pa~ pancake con nutella
24	SP2	47.6780000000001	49.1770000000001	1.499	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	è rimasto un altro pancake se vuoi	è rimasto un altro pancake se vuoi	è rimasto un altro pancake se vuoi
25	SP3	49.4470000000001	50.7930000000001	1.346	True	1	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	u::h [ma quanti ne avete fa~ ?]	u::h [ma quanti ne avete fa~?]	uh ma quanti ne avete fa~
26	SP2	49.644	51.578	1.934	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	[mangiati tu il pancake e io mi mangio il] gelato che ne dici	[mangiati tu il pancake e io mi mangio il] gelato che ne dici	mangiati tu il pancake e io mi mangio il gelato che ne dici
27	SP2	52.693	53.3140000000001	0.621	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((ride))	{ride}	{ride}
28	SP1	52.7260000000001	54.48	1.754	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	#mo to [chiavo n' faccia] stu pancake	mo to [chiavo n' faccia] stu pancake	mo to chiavo n' faccia stu pancake
