tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	Error Rate	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.24	3.22	2.98	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	8	persone che magari prima (avevi) <incon[trato> un po':]	persone che magari prima (avevi) <incon[trato> un po':]	persone che magari prima avevi incontrato un po'
2	SP2	2.28	3.1	0.82	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[m:h]	[m:h]	mh
3	SP2	3.56	5.077	1.517	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	bah e::h	bah e::h	bah eh
4	SP2	5.375	9.215	3.84	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	13	ci son- è sempre pieno di:: persone che fanno elemosina sotto i porti[ci]	ci son- è sempre pieno di:: persone che fanno elemosina sotto i porti[ci]	ci son- è sempre pieno di persone che fanno elemosina sotto i portici
5	SP1	8.906	9.337	0.431	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[mhmh]	[mhmh]	mhmh
6	SP2	9.795	12.801	3.006	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	8	soprattutto su via indipendenza:: ce ne sono [diversi]	soprattutto su via indipendenza:: ce ne sono [diversi]	soprattutto su via indipendenza ce ne sono diversi
7	SP1	12.204	12.668	0.464	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[(seriamente)]	[(seriamente)]	seriamente
8	SP2	13.515	15.515	2	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	6	anche sotto i portici di via::	anche sotto i portici di via::	anche sotto i portici di via
9	SP2	15.993	17.098	1.105	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	in viale::	in viale::	in viale
10	SP2	18	19.417	1.417	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	m:::h masini	m:::h masini	mh masini
11	SP2	19.785	21.184	1.399	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	6	perché io passo spesso di lì	perché io passo spesso di lì	perché io passo spesso di lì
12	SP2	22.006	23.343	1.337	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	e::h	e::h	eh
13	SP2	24.392	28.453	4.061	True	0	0	0	0	0	0	False	False	False	False	False		_	1	0	1	8	però a parte sono persone:: (.) [che fanno] l'elemosina: sì	però a parte sono persone:: {P} [che fanno] l'elemosina: sì	però a parte sono persone {P} che fanno l'elemosina: sì
14	SP1	26.496	26.932	0.436	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[mhmh]	[mhmh]	mhmh
15	SP2	28.607	29.411	0.804	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	m:h ah	m:h ah	mh ah
16	SP2	29.619	32.282	2.663	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	9	incontri anche a volte persone che ti fermano pe[r:]	incontri anche a volte persone che ti fermano pe[r:]	incontri anche a volte persone che ti fermano per
17	SP1	32.226	33.104	0.878	True	0	0	0	0	0	0	False	False	False	False	True		16=0.056,18=0.393	0	1	0	1	[sì] ((ride))	[sì] {ride}	sì {ride}
18	SP2	32.711	34.601	1.89	True	0	0	0	0	0	0	False	False	False	False	True		17=0.393,19=0.577,20=0.301	0	1	0	4	xx di fare [beneficie]nza ((ride))	xx di fare [beneficie]nza {ride}	xx di fare beneficienza {ride}
19	SP1	33.294	33.871	0.577	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	[esatto]	[esatto]	esatto
20	SP1	34.3	35.067	0.767	True	0	0	0	0	0	0	False	False	False	False	True		18=0.301	0	1	0	0	((ride))	{ride}	{ride}
21	SP2	35.214	37.601	2.387	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	8	le classiche persone che sono sotto i portici	le classiche persone che sono sotto i portici	le classiche persone che sono sotto i portici
22	SP2	38.49	39.319	0.829	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	1	e::h	e::h	eh
23	SP2	39.49	43.411	3.921	True	0	0	0	0	0	0	False	False	False	False	False		_	1	0	0	13	a volte (.) persone famose ogni tanto una volta ho incontrato pif ad esem[pio:]	a volte {P} persone famose ogni tanto una volta ho incontrato pif ad esem[pio:]	a volte {P} persone famose ogni tanto una volta ho incontrato pif ad esempio
24	SP1	43.006	44.453	1.447	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	4	[a:h] si si si	[a:h] si si si	ah si si si
25	SP2	44.503	47.509	3.006	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	12	e:h si che era un hotel che è lì su via indipen[denza]	e:h si che era un hotel che è lì su via indipen[denza]	eh si che era un hotel che è lì su via indipendenza
26	SP1	47.202	49.263	2.061	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	6	[anche] cremonini dicono che sia (spetto)	[anche] cremonini dicono che sia (spetto)	anche cremonini dicono che sia spetto
27	SP2	49.276	51.699	2.423	True	0	0	0	0	0	0	False	False	False	False	False		_	0	1	1	5	e::h non l'ho ancora incontrato [cremonini] ((ride))	e::h non l'ho ancora incontrato [cremonini] {ride}	eh non l'ho ancora incontrato cremonini {ride}
28	SP1	50.496	52.006	1.51	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	3	[neanche io] mai	[neanche io] mai	neanche io mai
29	SP2	52.496	58.754	6.258	True	0	0	0	0	0	0	False	False	False	False	False		_	0	1	0	25	però ho detto sì tre anni perché io ci andavo nel duemila diciotto, diciannove sì tre anni che sono lì °non ho ancora xx quindi° ((ride))	però ho detto sì tre anni perché io ci andavo nel duemila diciotto, diciannove sì tre anni che sono lì °non ho ancora xx quindi° {ride}	però ho detto sì tre anni perché io ci andavo nel duemila diciotto diciannove sì tre anni che sono lì non ho ancora xx quindi {ride}
30	SP1	58.896	61.579	2.683	True	0	0	0	0	0	0	False	False	False	False	False		_	0	1	2	5	vabbé magari dai [quest'anno sarà ((ride)) l'anno] buono	vabbé magari dai [quest'anno sarà {ride} l'anno] buono	vabbé magari dai quest'anno sarà {ride} l'anno buono
31	SP2	60.092	61.404	1.312	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	3	[ah sì chissà]	[ah sì chissà]	ah sì chissà
32	SP2	61.584	62.377	0.793	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	2	allora perfetto	allora perfetto	allora perfetto
33	SP1	62.797	68.819	6.022	True	0	0	0	0	0	0	False	False	False	False	False		_	1	0	0	19	e anche m:h (.) per il fatto che hanno messo le luci con le scritte delle canzo[ni cosa ne pensi?]	e anche m:h {P} per il fatto che hanno messo le luci con le scritte delle canzo[ni cosa ne pensi?]	e anche mh {P} per il fatto che hanno messo le luci con le scritte delle canzoni cosa ne pensi
34	SP2	67.595	71.278	3.683	True	0	0	0	0	0	0	False	False	False	False	False		_	0	0	0	10	[a:h bello] quello m:i è piaciuto molto si si quello:	[a:h bello] quello m:i è piaciuto molto si si quello:	ah bello quello mi è piaciuto molto si si quello
35	SP2	72.202	78.54	6.338	True	0	0	0	0	0	0	False	False	False	False	True	HIGH	36=0.410,37=0.448	0	0	0	21	ci stava secondo [me] perché ghe: dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente però	ci stava secondo [me] perché ghe: dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente però	ci stava secondo me perché ghe dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente però
