tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.36	1.67	1.31	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	3	ci sono delle università?:	ci sono delle università?:	ci sono delle università?:
2	SP2	2.68	3.13	0.45	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	sì no	sì no	sì no
3	SP1	3.2	4.37	1.27	True	0	0	0	0	0	0	1	False	False	False	False	False	_	0	0	0	4	[o più nella capitale?]	[o più nella capitale?]	o più nella capitale
4	SP2	3.15	4.98	1.83	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[l'università è un po'] più in città	[l'università è un po'] più in città	l' università è un po' più in città
5	SP1	5.0	5.42	0.42	True	0	0	0	0	0	0	0	False	False	False	False	True	6=0.380	0	0	0	1	okay	okay	okay
6	SP2	5.04	6.02	0.98	True	0	0	0	0	0	0	0	False	False	False	False	True	5=0.380,7=0.460	0	0	0	1	xxxx	xxxx	xxxx
7	SP1	5.56	6.68	1.12	True	0	0	0	0	0	0	0	False	False	False	False	True	6=0.460	0	0	0	3	okay >okay okay<	okay >okay okay<	okay okay okay
8	SP1	6.8	7.49	0.69	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e: [s-]	e: [s-]	e s-
9	SP2	6.95	7.88	0.93	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[i:n] capitale	[i:n] capitale	in capitale
10	SP1	7.89	8.77	0.88	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	in capitale okay	in capitale okay	in capitale okay
11	SP1	8.83	10.08	1.25	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	e se devi:	e se devi:	e se devi
12	SP1	10.84	11.78	0.94	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	xx	xx	xx
13	SP2	13.67	15.61	1.94	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	°(vabbè adesso faccio finire)°	°(vabbè adesso faccio finire)°	vabbè adesso faccio finire
14	SP1	16.03	16.49	0.46	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
15	SP2	17.43	19.38	1.95	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	xxxxxx	xxxxxx	xxxxxx
16	SP1	19.64	21.3	1.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	°sta andando abbastanza bene no?°	°sta andando abbastanza bene no?°	sta andando abbastanza bene no
17	SP3	21.32	21.72	0.4	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	°sì°	°sì°	sì
18	SP1	21.94	23.7	1.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	°proviamo a vedere se:°	°proviamo a vedere se:°	proviamo a vedere se
19	SP1	25.9	26.45	0.55	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	allora dimmi	allora dimmi	allora dimmi
20	SP1	26.46	27.481	1.021	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	la capitale è molto gran[de]	la capitale è molto gran[de]	la capitale è molto grande
21	SP2	27.34	28.344	1.004	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[la capit]ale è molto grande	[la capit]ale è molto grande	la capitale è molto grande
22	SP2	28.362	28.593	0.231	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:h	e:h	eh
23	SP2	28.643	29.769	1.126	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	trecentosei virgola	trecentosei virgola	trecentosei virgola
24	SP2	29.861	30.499	0.638	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	quattro	quattro	quattro
25	SP2	30.574	31.425	0.851	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:h	e:h	eh
26	SP2	31.699	33.262	1.563	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	chilometri quadra[ti]	chilometri quadra[ti]	chilometri quadrati
27	SP1	32.893	33.462	0.569	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[o]kay e	[o]kay e	okay e
28	SP1	33.569	34.334	0.765	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	popolazione?	popolazione?	popolazione
29	SP2	34.774	35.406	0.632	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:h	e:h	eh
30	SP2	35.599	37.216	1.617	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	quattordici: milioni	quattordici: milioni	quattordici milioni
31	SP1	37.268	37.452	0.184	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[eh]	[eh]	eh
