tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
0	SP1	0.7	1.348	0.648	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	bene	bene	bene
1	SP1	1.77	2.353	0.583	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	allora	allora	allora
2	SP1	2.77	3.528	0.758	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	intanto,	intanto,	intanto
3	SP1	4.3	5.693	1.393	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	ero curiosa di sapere	ero curiosa di sapere	ero curiosa di sapere
4	SP1	5.82	7.72	1.9	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	8	da quanto tempo c'è questo negozio perché	da quanto tempo c'è questo negozio perché	da quanto tempo c' è questo negozio perché
5	SP1	7.8	8.689	0.889	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	io sono di qui	io sono di qui	io sono di qui
6	SP1	9.23	11.614	2.384	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	12	e frequento un po' questa zona ma non l'avevo mai visto	e frequento un po' questa zona ma non l'avevo mai visto	e frequento un po' questa zona ma non l' avevo mai visto
7	SP2	11.82	12.96	1.14	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	no non [è così]	no non [è così]	no non è così
8	SP1	12.53	13.25	0.72	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[strana]mente	[strana]mente	stranamente
9	SP2	13.3	15.92	2.62	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	7	questo negozio è già da ventidue anni	questo negozio è già da ventidue anni	questo negozio è già da ventidue anni
10	SP1	16.22	17.92	1.7	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	5	okay [quindi non è nuovo]	okay [quindi non è nuovo]	okay quindi non è nuovo
11	SP2	16.87	21.82	4.95	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	18	[sono qui da sei an]ni no no no questo qua non è nuovo di prima era una @nomenegozio	[sono qui da sei an]ni no no no questo qua non è nuovo di prima era una nomenegozio	sono qui da sei anni no no no questo qua non è nuovo di prima era una nomenegozio
12	SP2	22.65	28.14	5.49	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	13	poi hanno:: <chiuso> allora:: già comprato un'altra persona e è fatta copisteria	poi hanno:: <chiuso> allora:: già comprato un'altra persona e è fatta copisteria	poi hanno chiuso allora già comprato un' altra persona e è fatta copisteria
13	SP1	28.3	28.6	0.3	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	okay	okay	okay
14	SP2	29.167	33.36	4.193	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	10	poi io sono da terza mano che::: i:- andando avanti	poi io sono da terza mano che::: i:- andando avanti	poi io sono da terza mano che i- andando avanti
15	SP1	33.68	34.48	0.8	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	2	mhmh okay	mhmh okay	mhmh okay
16	SP1	34.86	43.05	8.19	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	24	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di @nomeluogo	m:h noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di nomeluogo	mh noi siamo venuti qui a chiedere a te la disponibilità perché il- l- la verità è che siamo andati alla copisteria di nomeluogo
17	SP2	43.19	43.55	0.36	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	sì	sì	sì
18	SP1	43.64	44.04	0.5	True	0	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0, 	2	a chiedere	a chiedere	a chiedere
19	SP2	44.2	44.47	0.27	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	mh[mh]	mh[mh]	mhmh
20	SP1	44.34	47.09	2.75	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	12	[e] i ragazzi ci hanno detto che dovevamo assolutamente venire da te	[e] i ragazzi ci hanno detto che dovevamo assolutamente venire da te	e i ragazzi ci hanno detto che dovevamo assolutamente venire da te
21	SP2	47.36	54.787	7.427	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	23	beh e:h sì perché loro non è: non è m:h abbas- cioè loro non:: m:h loro sono bravi ma non sono: bravi per	beh e:h sì perché loro non è: non è m:h abbas- cioè loro non:: m:h loro sono bravi ma non sono: bravi per	beh eh sì perché loro non è non è mh abbas- cioè loro non mh loro sono bravi ma non sono bravi per
22	SP2	54.986	60.459	5.473	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	18	rispondere a un sacco di [doma]nde che: anche non sono bravi in italiano pro- in poche [parole sì]	rispondere a un sacco di [doma]nde che: anche non sono bravi in italiano pro- in poche [parole sì]	rispondere a un sacco di domande che anche non sono bravi in italiano pro- in poche parole sì
23	SP1	56.11	56.52	0.41	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[mh]	[mh]	mh
24	SP1	59.31	64.513	5.203	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	16	[okay quindi forse] forse il problema era quello [non] non abbiamo capito se erano preoccupati perché	[okay quindi forse] forse il problema era quello [non] non abbiamo capito se erano preoccupati perché	okay quindi forse forse il problema era quello non non abbiamo capito se erano preoccupati perché
25	SP2	61.57	61.92	0.35	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[sì]	[sì]	sì
