tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	1.42	1.42	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	e:: come xxxx?	e:: come xxxx?	e come xxxx
2	SP2	1.43	1.95	0.52	True	0	0	0	0	0	0	0	0	False	False	False	False	True	3=0.440	0	0	0	1	okay	okay	okay
3	SP1	1.51	4.85	3.34	True	0	0	0	0	0	0	0	0	False	False	False	False	True	2=0.440,4=0.330	1	0	0	8	e:: là (.) lavorando più di tre tremila pers[one]	e:: là {P} lavorando più di tre tremila pers[one]	e là {P} lavorando più di tre tremila persone
4	SP2	4.52	5.06	0.54	True	0	0	0	0	0	0	0	0	True	False	False	False	False	_	0	0	0	1	[°mh]	[°mh]	mh
5	SP1	5.07	8.49	3.42	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	non sono esattamente o tremila o tr[entamila ma tr]emila che facciamo	non sono esattamente o tremila o tr[entamila ma tr]emila che facciamo	non sono esattamente o tremila o trentamila ma tremila che facciamo
6	SP2	7.01	7.59	0.58	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°]mhmh°	[°]mhmh°	mhmh
7	SP1	8.72	11.17	2.45	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	ma non si trovano adesso neanche là gli appartamenti	ma non si trovano adesso neanche là gli appartamenti	ma non si trovano adesso neanche là gli appartamenti
8	SP2	11.2	14.2	3.1	True	0	0	0	0	0	0	1	0	False	False	False	False	True	_	1	0	0	9	[eh] esatto >te lo era< (.) questo che volevo chiederti	[eh] esatto >te lo era< {P} questo che volevo chiederti	eh esatto te lo era {P} questo che volevo chiederti
9	SP2	14.26	14.7	0.44	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	>perché<	>perché<	perché
10	SP1	14.83	15.33	0.5	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	ah sì?	ah sì?	ah sì
11	SP2	15.38	16.85	1.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	se tutti vogliono vivere lì	se tutti vogliono vivere lì	se tutti vogliono vivere lì
12	SP1	17.41	19.11	1.7	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	°sì° non si trovano appartamenti.	°sì° non si trovano appartamenti.	sì non si trovano appartamenti
13	SP1	19.32	20.04	0.72	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	la ver[ità]	la ver[ità]	la verità
14	SP2	19.79	20.23	0.44	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
15	SP1	20.24	24.1	3.86	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	8	piuttosto che:: (.) ci sono un sacco di: a(z)iende,	piuttosto che:: {P} ci sono un sacco di: a(z)iende,	piuttosto che {P} ci sono un sacco di aziende
16	SP1	24.35	27.19	2.84	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	come non vuole dare appartamenti per la fami(gl)ia,	come non vuole dare appartamenti per la fami(gl)ia,	come non vuole dare appartamenti per la famiglia
17	SP1	27.93	29.92	1.99	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	un po' che danno un po' di pers[one]	un po' che danno un po' di pers[one]	un po' che danno un po' di persone
18	SP2	29.58	30.14	0.56	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
19	SP1	30.19	32.03	1.94	True	0	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0	5	che:: dopo fanno la (storia)	che:: dopo fanno la (storia)	che dopo fanno la storia
20	SP1	32.11	32.59	0.48	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ora,	ora,	ora
21	SP1	32.67	34.8	2.13	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	per pochi che: tutti quanti:	per pochi che: tutti quanti:	per pochi che tutti quanti
22	SP1	34.91	35.6	0.69	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	0	((sospira))	{sospira}	{sospira}
23	SP2	35.660000000000004	37.03	1.47	True	0	0	0	0	0	0	1	0	False	False	False	False	False	_	0	0	0	5	sì sì sì certo c[apito]	sì sì sì certo c[apito]	sì sì sì certo capito
24	SP1	36.55	37.0	0.45	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°mh°]	[°mh°]	mh
25	SP2	37.12	41.24	4.12	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	mh e ma se se potessi un giorno vorresti vivere in citt[à: (o)]	mh e ma se se potessi un giorno vorresti vivere in citt[à: (o)]	mh e ma se se potessi un giorno vorresti vivere in città o
26	SP1	40.85	45.1	4.25	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	15	[assolu]tamente io sto provando tutti i giorni a trovare c'è un appartamento per i::	[assolu]tamente io sto provando tutti i giorni a trovare c'è un appartamento per i::	assolutamente io sto provando tutti i giorni a trovare c' è un appartamento per i
27	SP1	45.47	48.19	2.72	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	trasferire in bol[ogna c(io)è] io lavoro qui,	trasferire in bol[ogna c(io)è] io lavoro qui,	trasferire in bologna cioè io lavoro qui
28	SP2	46.37	47.02	0.65	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
29	SP1	48.26	50.33	2.07	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	è (in)utile che io vado a	è (in)utile che io vado a	è inutile che io vado a
30	SP1	50.58	53.31	2.73	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	esempio faccio così una una una ragionamento.	esempio faccio così una una una ragionamento.	esempio faccio così una una una ragionamento
31	SP1	53.38	55.8	2.42	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0	7	se lo trovo (.) una casa, in bologna,	se lo trovo {P} una casa, in bologna,	se lo trovo {P} una casa in bologna
