tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	W:switches	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	1.47000000000003	1.47	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	ci sono delle università?	ci sono delle università?	ci sono delle università
2	SP2	2.24000000000001	5.19299999999998	2.953	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	8	sì [no le università è pro]prio in città [xxx]	sì [no le università è pro]prio in città [xxx]	sì no le università è proprio in città xxx
3	SP1	2.56000000000017	3.80000000000018	1.24	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	4	[o più nella capita-]	[o più nella capita-]	o più nella capita-
4	SP1	4.80000000000018	6.3900000000001	1.59	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	4	[okay] (.) okay okay okay	[okay] {P} okay okay okay	okay {P} okay okay okay
5	SP1	6.51300000000015	9.62000000000012	3.107	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	1	0	0, 	10	[e s-] (.) in capitale in capitale okay [eh se] devi::	[e s-] {P} in capitale in capitale okay [eh se] devi::	e s- {P} in capitale in capitale okay eh se devi
6	SP2	6.64700000000016	7.65000000000009	1.003	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	3	[di:] in capitale	[di:] in capitale	di in capitale
7	SP2	8.51999999999998	9.06000000000017	0.54	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	[però]	[però]	però
8	SP1	10.4350000000002	11.4350000000002	1.0	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	2	°posso anche°	°posso anche°	posso anche
9	SP2	13.74	15.22	1.48	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	5	°vabbè adesso faccio finire qui°	°vabbè adesso faccio finire qui°	vabbè adesso faccio finire qui
10	SP3	15.232	15.7640000000001	0.532	True	0	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0, 	1	°sì°	°sì°	sì
