tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	3.039	3.039	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	persone che magari puoi avere incontr[ato] un po':	persone che magari puoi avere incontr[ato] un po':	persone che magari puoi avere incontrato un po'
2	SP2	1.92	2.302	0.382	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[°ah°]	[°ah°]	ah
3	SP2	3.45	4.851	1.401	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	bah e:::hm	bah e:::hm	bah ehm
4	SP2	5.01	8.982	3.972	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	c- è sempre pieno di: persone che fanno l'elemosina, sotto i porti[ci]	c- è sempre pieno di: persone che fanno l'elemosina, sotto i porti[ci]	c- è sempre pieno di persone che fanno l' elemosina sotto i portici
5	SP1	8.54	8.93	0.39	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
6	SP2	9.45	12.454	3.004	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	>soprattutto< su via indipendenza ce ne sono di[versi]	>soprattutto< su via indipendenza ce ne sono di[versi]	soprattutto su via indipendenza ce ne sono diversi
7	SP1	11.8	12.589	0.789	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	[sì è vero]	[sì è vero]	sì è vero
8	SP2	13.25	15.171	1.921	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	anche sotto i portici di via::	anche sotto i portici di via::	anche sotto i portici di via
9	SP2	15.66	16.951	1.291	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	il viale::	il viale::	il viale
10	SP2	17.74	19.141	1.401	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	m:h masini	m:h masini	mh masini
11	SP2	19.45	20.844	1.394	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	7	perchè io passo s- spesso di lì	perché io passo s- spesso di lì	perché io passo s- spesso di lì
12	SP2	21.76	23.272	1.512	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e:::hm	e:::hm	ehm
13	SP2	24.05	26.075	2.025	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	5	però a parte insomma persone:	pero' a parte insomma persone:	pero' a parte insomma persone
14	SP1	26.101	26.726	0.625	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
15	SP2	26.13	28.251	2.121	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[che fanno l'ele]mosina: sì	[che fanno l'ele]mosina: sì	che fanno l' elemosina sì
16	SP2	28.32	31.875	3.555	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	m:h a:h incontri anche molte persone che ti fermano pe:r	m:h a:h incontri anche molte persone che ti fermano pe:r	mh ah incontri anche molte persone che ti fermano per
17	SP2	31.93	34.883	2.953	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	5	[ti chiedono di fare beneficenza] ((ride))	[ti chiedono di fare beneficenza] {ride}	ti chiedono di fare beneficenza {ride}
18	SP1	31.93	33.85	1.92	True	0	0	0	0	0	0	0	False	False	False	True	True	17=1.920	0	1	0	2	[sì ((ride)) esatto	[sì {ride} esatto	sì {ride} esatto
19	SP2	34.93	37.355	2.425	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	8	((ride)) le classiche persone che sono sotto i portici	{ride} le classiche persone che sono sotto i portici	{ride} le classiche persone che sono sotto i portici
20	SP2	38.35	39.755	1.405	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	e:hm a volte	e:hm a volte	ehm a volte
21	SP2	39.792	43.51	3.718	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	persone famose ogni tanto una volta ho incontrato pif ad esem[pio:]	persone famose ogni tanto una volta ho incontrato pif ad esem[pio:]	persone famose ogni tanto una volta ho incontrato pif ad esempio
22	SP1	42.8	44.311	1.511	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[a:h ah] sì sì sì	[a:h ah] sì sì sì	ah ah sì sì sì
23	SP2	44.43	47.2	2.77	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	e:h (che ha) un hotel che è lì su via indipenden[za]	e:h (che ha) un hotel che è lì su via indipenden[za]	eh che ha un hotel che è lì su via indipendenza
24	SP1	46.94	49.573	2.633	True	0	0	0	0	0	0	0	False	False	False	False	True	25=1.043,23=0.260	0	0	0	6	[an]che cremonini dicono che si aspetta	[an]che cremonini dicono che si aspetta	anche cremonini dicono che si aspetta
25	SP2	48.53	52.31	3.78	True	0	0	0	0	0	0	0	False	False	False	False	True	24=1.043,26=2.236	0	1	0	8	[cremoni- è non l'ho ancora incontrato cremonini] ((ride))	[cremoni- è non l'ho ancora incontrato cremonini] {ride}	cremoni- è non l' ho ancora incontrato cremonini {ride}
26	SP1	49.65	51.886	2.236	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[xx neanche io ohi]	[xx neanche io ohi]	xx neanche io ohi
27	SP2	52.35	54.251	1.901	True	0	0	2	0	0	0	0	False	False	False	False	False	_	0	0	0	9	>però veramente< sì tre anni perchè io sono dal	>pero' veramente< sì tre anni perché io sono dal	pero' veramente sì tre anni perché io sono dal
28	SP2	54.32	58.66	4.34	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	1	0	15	duemiladiciotto diciannove ve- sì tre anni che sono lì e non ho ancora incrociato cremoni- ((ride))	duemiladiciotto diciannove ve- sì tre anni che sono lì e non ho ancora incrociato cremoni- {ride}	duemiladiciotto diciannove ve- sì tre anni che sono lì e non ho ancora incrociato cremoni- {ride}
29	SP1	58.68	61.53	2.85	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	beh magari dai [quest'anno sarà l'anno buono]	beh magari dai [quest'anno sarà l'anno buono]	beh magari dai quest' anno sarà l' anno buono
30	SP2	59.78	62.09	2.31	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[ma sì chissà] infatti infatti	[ma sì chissà] infatti infatti	ma sì chissà infatti infatti
31	SP1	62.45	63.65	1.2	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	3	e anche mh	e anche mh	e anche mh
32	SP1	63.725	68.633	4.908	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	16	per il fatto che hanno messo le luci con le scritte delle canz[oni cosa ne pensi]	per il fatto che hanno messo le luci con le scritte delle canz[oni cosa ne pensi]	per il fatto che hanno messo le luci con le scritte delle canzoni cosa ne pensi
33	SP2	67.24	71.041	3.801	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	[ah bello] quello mi è piaciuto molto sì sì quello:	[ah bello] quello mi è piaciuto molto sì sì quello:	ah bello quello mi è piaciuto molto sì sì quello
34	SP2	71.95	73.32	1.37	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	ci stava secondo [me]	ci stava secondo [me]	ci stava secondo me
35	SP1	72.83	73.313	0.483	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[bello]	[bello]	bello
36	SP2	73.35	77.72	4.37	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	15	°perchè° dai cremonini comunque è il cantante di bolo- [c(io)è] a parte lucio dalla ovviamente	°perché° dai cremonini comunque è il cantante di bolo- [c(io)è] a parte lucio dalla ovviamente	perché dai cremonini comunque è il cantante di bolo- cioè a parte lucio dalla ovviamente
37	SP1	76.05	76.433	0.383	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
38	SP2	77.76	78.308	0.548	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	1	però	pero'	pero'
39	SP1	78.33	80.11	1.78	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	che poi hanno messo anche le su:e [>vero<]	che poi hanno messo anche le su:e [>vero<]	che poi hanno messo anche le sue vero
40	SP2	79.53	81.347	1.817	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	7	[infatti] poi ha[nno messo] anche le sue	[infatti] poi ha[nno messo] anche le sue	infatti poi hanno messo anche le sue
41	SP1	80.23	80.715	0.485	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[sì sì]	[sì sì]	sì sì
42	SP2	81.93	83.1	1.17	True	0	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	e::h	e::h	eh
43	SP2	83.14	86.3	3.16	True	0	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	10	però ci sta è: cantante moderno [c'ha un più:]	pero' ci sta è: cantante moderno [c'ha un più:]	pero' ci sta è cantante moderno c' ha un più
