tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0.0	11.54	11.54	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	2	27	bene allora intanto ero curiosa di sapere da quanto tempo c'è questo negozio perché io sono di qui e frequento un po' questa zona ma non l'avevo mai visto	bene allora intanto ero curiosa di sapere da quanto tempo c'è questo negozio perché io sono di qui e frequento un po' questa zona ma non l'avevo mai visto	bene allora intanto ero curiosa di sapere da quanto tempo c'è questo negozio perché io sono di qui e frequento un po' questa zona ma non l'avevo mai visto
2	SP2	11.82	12.96	1.14	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	no eh non [è così]	no eh non [è così]	no eh non è così
3	SP1	12.502	13.167	0.665	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[straname]nte	[straname]nte	stranamente
4	SP2	13.3	15.92	2.62	True	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	7	questo negozio è già da 22 anni	questo negozio è già da ventidue anni	questo negozio è già da ventidue anni
5	SP1	16.22	17.804	1.584	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	ok [quindi non è nuovo]	ok [quindi non è nuovo]	ok quindi non è nuovo
6	SP2	16.599	18.003	1.404	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[sono qui da sei an]ni	[sono qui da sei an]ni	sono qui da sei anni
7	SP2	18.04	28.14	10.1	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	2	24	no no no questo qua non è nuovo di prima era una casa d'autrice vaesi poi hanno chiuso allora già comprato un'altra persona e fatta copisteria	no no no questo qua non è nuovo di prima era una casa d'autrice vaesi poi hanno chiuso allora già comprato un'altra persona e fatta copisteria	no no no questo qua non è nuovo di prima era una casa d'autrice vaesi poi hanno chiuso allora già comprato un'altra persona e fatta copisteria
8	SP1	28.3	28.731	0.431	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	ok	ok	ok
9	SP2	29.082	33.36	4.278	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	10	poi io sono da terza mano che: i: andando avanti	poi io sono da terza mano che: i: andando avanti	poi io sono da terza mano che i andando avanti
10	SP1	33.68	34.408	0.728	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	mhmh ok	mhmh ok	mhmh ok
11	SP1	34.863	35.582	0.719	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhm:h	mhm:h	mhmh
12	SP1	36.066	43.139	7.073	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	35	noi siamo venuti qui a chiedere a te la disponibilità perché il la verità è che siamo andati alla copisteria di via del guasto a chiedere e i ragazzi ci hanno detto che dovremmo assolutamente	noi siamo venuti qui a chiedere a te la disponibilità perché il la verità è che siamo andati alla copisteria di via del guasto a chiedere e i ragazzi ci hanno detto che dovremmo assolutamente	noi siamo venuti qui a chiedere a te la disponibilità perché il la verità è che siamo andati alla copisteria di via del guasto a chiedere e i ragazzi ci hanno detto che dovremmo assolutamente
13	SP2	43.149	43.468	0.319	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	sì	sì	sì
14	SP1	43.508	44.127	0.619	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	a chiedere	a chiedere	a chiedere
15	SP2	44.198	44.506	0.308	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh[mh]	mh[mh]	mhmh
16	SP1	44.312	47.06	2.748	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	12	[e i ra]gazzi ci hanno detto che dovevamo assolutamente venire da te	[e i ra]gazzi ci hanno detto che dovevamo assolutamente venire da te	e i ragazzi ci hanno detto che dovevamo assolutamente venire da te
17	SP2	47.36	51.751	4.391	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	beh eh sì perché loro non è non è abbasta- >cioè< loro non:	beh eh sì perché loro non è non è abbasta- >cioè< loro non:	beh eh sì perché loro non è non è abbasta- cioè loro non
18	SP2	51.76	59.946	8.186	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	24	loro sono bravi ma non sono bravi per rispondere a un sacco di domande che anche non sono bravi in italiano proprio [poco parole]	loro sono bravi ma non sono bravi per rispondere a un sacco di domande che anche non sono bravi in italiano proprio [poco parole]	loro sono bravi ma non sono bravi per rispondere a un sacco di domande che anche non sono bravi in italiano proprio poco parole
19	SP1	59.335	61.64	2.305	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[ok quindi] forse forse il problema era quello	[ok quindi] forse forse il problema era quello	ok quindi forse forse il problema era quello
20	SP2	61.705	61.934	0.229	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
21	SP1	61.706	64.615	2.909	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	[non] non abbiamo capito se erano preoccupati perché	[non] non abbiamo capito se erano preoccupati perché	non non abbiamo capito se erano preoccupati perché
22	SP2	64.64	71.64	7.0	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	20	no non sono non è preoccupati però e:h lo sai che quando qualcuno che non capisce cosa è la doma[nda]	no non sono non è preoccupati però e:h lo sai che quando qualcuno che non capisce cosa è la doma[nda]	no non sono non è preoccupati però eh lo sai che quando qualcuno che non capisce cosa è la domanda
23	SP1	71.31	71.638	0.328	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mhmh]	[mhmh]	mhmh
24	SP2	71.757	81.5	9.743	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	27	e quale che è la sp- risposta che sta facendo in un'altra lingua che lui non è abbastanza brava allora è una problema perciò è una persona no	e quale che è la sp- risposta che sta facendo in un'altra lingua che lui non è abbastanza brava allora è una problema perciò è una persona no	e quale che è la sp- risposta che sta facendo in un'altra lingua che lui non è abbastanza brava allora è una problema perciò è una persona no
25	SP1	81.792	82.062	0.27	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mhmh	mhmh	mhmh
26	SP1	82.135	82.749	0.614	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	sì forse	sì forse	sì forse
27	SP2	82.75	84.739	1.989	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	perciò che: [ha diffi-]	perciò che: [ha diffi-]	perciò che ha diffi-
28	SP1	84.406	85.502	1.096	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	5	[forse] è stato per quell[o]	[forse] è stato per quell[o]	forse è stato per quello
29	SP2	85.466	85.64	0.174	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[s]ì	[s]ì	sì
30	SP1	85.947	88.171	2.224	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	6	e stamattina noi siamo andate in	e stamattina noi siamo andate in	e stamattina noi siamo andate in
31	SP2	89.484	89.642	0.158	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	zona	zona	zona
32	SP1	89.645	92.166	2.521	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	8	praticamente tutti i negozi di via san vitale	praticamente tutti i negozi di via san vitale	praticamente tutti i negozi di via san vitale
33	SP2	92.325	94.04	1.715	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	1	8	sì [nessuno che non] ti ha detto che c'è	sì [nessuno che non] ti ha detto che c'è	sì nessuno che non ti ha detto che c'è
34	SP1	92.515	93.279	0.764	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[a chiedere]	[a chiedere]	a chiedere
35	SP2	94.1	99.513	5.413	True	0	0	0	0	0	0	False	False	False	False	True	36=0.288	0	0	0	15	sì perché hanno paura per: perché non lo s- non si sa cosa succederà dopo	sì perché hanno paura per: perché non lo s- non si sa cosa succederà dopo	sì perché hanno paura per perché non lo s- non si sa cosa succederà dopo
36	SP1	99.225	99.514	0.289	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[mh]mh	[mh]mh	mhmh
37	SP1	99.634	99.78	0.146	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	mh	mh	mh
38	SP1	100.053	103.18	3.127	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	9	infatti sì quindi >vabbè< ma noi abbiamo provato [ovviamente]	infatti sì quindi >vabbè< ma noi abbiamo provato [ovviamente]	infatti sì quindi vabbè ma noi abbiamo provato ovviamente
39	SP2	102.38	104.153	1.773	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	2	[assolutamente] [as]solutamente	[assolutamente] [as]solutamente	assolutamente assolutamente
40	SP1	103.324	103.657	0.333	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[eh]	[eh]	eh
41	SP1	104.251	109.18	4.929	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	11	ma invece tu vivi in italia da sempre da alcuni anni?	ma invece tu vivi in italia da sempre da alcuni anni?	ma invece tu vivi in italia da sempre da alcuni anni
42	SP2	109.42	113.819	4.399	True	0	1	0	0	0	0	False	False	False	False	False	_	0	0	0	13	no non è che da sempre sì da circa 15 anni già passa[to]	no non è che da sempre sì da circa quindici anni già passa[to]	no non è che da sempre sì da circa quindici anni già passato
43	SP1	113.502	113.818	0.316	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[okay]	[okay]	okay
44	SP1	114.139	114.278	0.139	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	okay	okay	okay
45	SP2	114.279	114.832	0.553	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	xxx	xxx	xxx
46	SP1	115.008	118.159	3.151	True	0	0	0	0	0	0	False	False	False	False	True	48=0.719,47=0.199	0	0	0	6	beh comunqu[e] parli ben- parli benissimo	beh comunqu[e] parli ben- parli benissimo	beh comunque parli ben- parli benissimo
47	SP2	116.124	116.323	0.199	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	1	[sì]	[sì]	sì
48	SP2	117.44	119.18	1.74	True	0	0	0	0	0	0	False	False	False	False	False	_	0	0	0	4	[beh qui]ndici anni eh	[beh qui]ndici anni eh	beh quindici anni eh
49	SP2	119.34	123.4	4.06	True	1	0	0	0	0	0	False	False	False	False	False	_	0	0	0	13	non sono: sì è già passata proprio un se-  più di un secolo	non sono: sì è già passata proprio un se- più di un secolo	non sono sì è già passata proprio un se- più di un secolo
