tu_id	speaker	start	end	duration	include	W:normalized_spaces	W:numbers	W:accents	W:non_jefferson	W:pauses_trim	W:prosodic_trim	W:moved_boundaries	E:volume	E:pace	E:guess	E:overlap	E:overlap_mismatch	E:overlap_duration	Error rate	T:shortpauses	T:metalinguistic	T:errors	T:linguistic	annotation	correct	text
1	SP1	0	1.43	1.43	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	vabbé era leggera però	vabbé era leggera però	vabbé era leggera però
2	SP2	1.77	2.29	0.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	alla fi-	alla fi-	alla fi-
3	SP3	2.33	3.08	0.75	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	nonono è vero	nonono è vero	nonono è vero
4	SP2	3.14	6.071	2.931	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	4	sì (.) non era pesantissima	sì {P} non era pesantissima	sì {P} non era pesantissima
5	SP1	6.34	7.52	1.18	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	per niente [(ha-)]	per niente [(ha-)]	per niente ha-
6	SP2	7.22	10.09	2.87	True	0	0	1	0	0	0	0	False	False	False	False	False	_		0	0	0	11	[uni]ca cosa, ho esagerato un pò con l'olio forse però	[uni]ca cosa, ho esagerato un pò con l'olio forse però	unica cosa ho esagerato un po' con l' olio forse però
7	SP1	10.85	12.28	1.43	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	5	ma nell'impasto? no fuori,	ma nell'impasto? no fuori,	ma nell' impasto no fuori
8	SP2	12.46	15.76	3.3	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	12	°fuori° (.) nell'im[pasto ce ne ho messo il] giusto però in padella	°fuori° {P} nell'im[pasto ce ne ho messo il] giusto però in padella	fuori {P} nell' impasto ce ne ho messo il giusto però in padella
9	SP3	13.39	14.36	0.97	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	[nella padella]	[nella padella]	nella padella
10	SP2	16.97	28.628	11.658	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	35	xxxx ha detto metti: quello là: l'olio da friggere così vengono meglio ho detto ok (.) e ho fatto però praticamente ho f (pure) °ho messo:° tutto il fondo della padella era pieno di olio	xxxx ha detto metti: quello là: l'olio da friggere così vengono meglio ho detto ok {P} e ho fatto però praticamente ho f (pure) °ho messo:° tutto il fondo della padella era pieno di olio	xxxx ha detto metti quello là l' olio da friggere così vengono meglio ho detto ok {P} e ho fatto però praticamente ho f pure ho messo tutto il fondo della padella era pieno di olio
11	SP2	29.39	41.759	12.369	True	0	0	0	0	0	0	0	False	False	False	False	False	_		2	1	0	26	o volevo metterne un filo sai per farle venire: mezzi tra: (.) cioè cotti nella padella unta invece (.) i primi sono venuti un po' deep [fried] quasi ((ride))	o volevo metterne un filo sai per farle venire: mezzi tra: {P} cioè cotti nella padella unta invece {P} i primi sono venuti un po' deep [fried] quasi {ride}	o volevo metterne un filo sai per farle venire mezzi tra {P} cioè cotti nella padella unta invece {P} i primi sono venuti un po' deep fried quasi {ride}
12	SP1	40.07	40.85	0.78	True	0	0	0	0	0	0	0	False	False	False	False	True	11=0.780	HIGH	0	0	0	1	fritti	fritti	fritti
13	SP1	43.713	47.27	3.557	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	10	beh oggi abbiamo fatto colazione co pa- pancake con nutella	beh oggi abbiamo fatto colazione co pa- pancake con nutella	beh oggi abbiamo fatto colazione co pa- pancake con nutella
14	SP2	47.49	49.15	1.66	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	7	è rimasto un altro (pancake) se vuoi	è rimasto un altro (pancake) se vuoi	è rimasto un altro pancake se vuoi
15	SP3	49.295	50.8	1.505	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	u: [ma xxxx]	u: [ma xxxx]	u ma xxxx
16	SP2	49.82	51.93	2.11	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	12	[mangiati tu il pancake] che io mangio il gelato che ne dici,	[mangiati tu il pancake] che io mangio il gelato che ne dici,	mangiati tu il pancake che io mangio il gelato che ne dici
17	SP1	52.14	53.39	1.25	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	0	((ride))	{ride}	{ride}
18	SP2	53.07	55.27	2.2	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	3	°[xxx] sto pancake°	°[xxx] sto pancake°	xxx sto pancake
19	SP3	53.4	54.13	0.73	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	[stronzo]	[stronzo]	stronzo
20	SP1	55.32	59.929	4.609	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	9	poi è rimas- poi abbiamo mangiato (.) [xxx dalla non]na	poi è rimas- poi abbiamo mangiato {P} [xxx dalla non]na	poi è rimas- poi abbiamo mangiato {P} xxx dalla nonna
21	SP2	58.05	59.76	1.71	True	0	0	0	0	0	0	0	False	False	False	False	True	20=1.710	HIGH	0	0	0	5	io a pranzo ho esagerato	io a pranzo ho esagerato	io a pranzo ho esagerato
22	SP1	60.187	62.48	2.293	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	2	5	quattro gelati s'è mangiato #sto puorc#	quattro gelati s'è mangiato #sto puorc#	quattro gelati s' è mangiato #sto puorc#
23	SP2	62.48	67.1	4.62	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	22	quattro gelati dai (.) non è ve- >a me a pa- a parte il fatto che< abbiamo mangiato LA STESSA QUANTITA di gelato	quattro gelati dai {P} non è ve- >a me a pa- a parte il fatto che< abbiamo mangiato LA STESSA QUANTITA di gelato	quattro gelati dai {P} non è ve- a me a pa- a parte il fatto che abbiamo mangiato la stessa quantita di gelato
24	SP1	67.23	68.38	1.15	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	tu ne hai mangiati di più	tu ne hai mangiati di più	tu ne hai mangiati di più
25	SP2	68.44	69.15	0.71	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	2	no roberto	no roberto	no roberto
26	SP1	69.276	72.93	3.654	True	0	0	0	0	0	0	0	False	False	False	False	True	_		0	0	0	17	hai mangiato il pan di stelle hai mangiato quello al caramello e ne hai mangiato un al[°tro°]	hai mangiato il pan di stelle hai mangiato quello al caramello e ne hai mangiato un al[°tro°]	hai mangiato il pan di stelle hai mangiato quello al caramello e ne hai mangiato un altro
27	SP2	72.93	78.57	5.64	True	1	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	21	no non ho mangiato un  altro (.) ho ma- spe- >perché non aveva comprato< quello ai pan [di stelle che erano buoni]	no non ho mangiato un altro {P} ho ma- spe- >perché non aveva comprato< quello ai pan [di stelle che erano buoni]	no non ho mangiato un altro {P} ho ma- spe- perché non aveva comprato quello ai pan di stelle che erano buoni
28	SP1	77.38	78.8	1.42	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	6	[vabbé sei un maiAle] (hai mangiato)	[vabbé sei un maiAle] (hai mangiato)	vabbé sei un maiale hai mangiato
29	SP2	78.85	80.61	1.76	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	11	sì e pure tu sei un maiale però [>ti sto dicendo<]	sì e pure tu sei un maiale però [>ti sto dicendo<]	sì e pure tu sei un maiale però ti sto dicendo
30	SP1	79.98	83.03	3.05	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	9	[hai mangiato du]e salsicce [e un sacco di friarielli]	[hai mangiato du]e salsicce [e un sacco di friarielli]	hai mangiato due salsicce e un sacco di friarielli
31	SP2	81.38	90.22	8.84	True	0	0	0	0	0	0	0	False	False	False	False	True	30=1.650,32=0.510,33=0.920	30 HIGH, 32 NOT SIGNIFICANT, 33 HIGH	0	0	0	26	perché: perché praticamente la nonna ha [comprato] questi gelati: pan di stelle che erano qualità tipo a biscotto che ce n'erano due. in una bustina	perché: perché praticamente la nonna ha [comprato] questi gelati: pan di stelle che erano qualità tipo a biscotto che ce n'erano due. in una bustina	perché perché praticamente la nonna ha comprato questi gelati pan di stelle che erano qualità tipo a biscotto che ce n' erano due in una bustina
32	SP3	83.83	84.34	0.51	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	1	[xxxx]	[xxxx]	xxxx
33	SP3	89.3	90.38	1.08	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[ne avete fatto] xxx	[ne avete fatto] xxx	ne avete fatto xxx
34	SP2	90.38	100.11	9.73	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	39	o ho detto voglio questo però voglio anche quello al caramello (.) quindi ho mangiato <uno> di quelli e ho dato l'altro a lui e ho mangiato quello al caramello la stessa quantità cche ha mangiato lui uguAle identico	o ho detto voglio questo però voglio anche quello al caramello {P} quindi ho mangiato <uno> di quelli e ho dato l'altro a lui e ho mangiato quello al caramello la stessa quantità cche ha mangiato lui uguAle identico	o ho detto voglio questo però voglio anche quello al caramello {P} quindi ho mangiato uno di quelli e ho dato l' altro a lui e ho mangiato quello al caramello la stessa quantità cche ha mangiato lui uguale identico
35	SP2	100.19	103.9	3.71	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	14	quindi adesso la cosa che io sono il porco e tu no (.) lasciamo [stare]	quindi adesso la cosa che io sono il porco e tu no {P} lasciamo [stare]	quindi adesso la cosa che io sono il porco e tu no {P} lasciamo stare
36	SP3	103.39	107.91	4.52	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	16	[vabbuò] poi in generale: per una giornata: eh ch'è stato tanto cibo un po' chiatto	[vabbuò] poi in generale: per una giornata: eh ch'è stato tanto cibo un po' chiatto	vabbuò poi in generale per una giornata eh ch' è stato tanto cibo un po' chiatto
37	SP2	107.91	110.27	2.36	True	0	0	0	0	0	0	0	False	False	False	False	False	_		1	0	0	8	ma è domenica è festa (.) [lo sanno tutti]	ma è domenica è festa {P} [lo sanno tutti]	ma è domenica è festa {P} lo sanno tutti
38	SP3	109.57	110.43	0.86	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	4	[e:h lo so:] però:	[e:h lo so:] però:	eh lo so però
39	SP1	110.47	115.62	5.15	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	14	mh chiediamolo al diabete di terzo tipo che avremo tra un paio di anni ((sgranocchia qualcosa))	mh chiediamolo al diabete di terzo tipo che avremo tra un paio di anni {sgranocchia_qualcosa}	mh chiediamolo al diabete di terzo tipo che avremo tra un paio di anni {sgranocchia_qualcosa}
40	SP3	115.7	117.29	1.59	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	5	((ride)) tra un [paio di anni]	{ride} tra un [paio di anni]	{ride} tra un paio di anni
41	SP2	116.3	118.91	2.61	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	0	0	8	[si perché tutti i giorni] mangio così ovviamente?	[si perché tutti i giorni] mangio così ovviamente?	si perché tutti i giorni mangio così ovviamente
42	SP2	118.91	118.949	0.039	True	0	0	0	0	0	0	0	False	False	False	False	True	_		0	0	0	8	[si perché tutti i giorni] mangio così ovviamente?	[si perché tutti i giorni] mangio così ovviamente?	si perché tutti i giorni mangio così ovviamente
43	SP3	120.147	121.17	1.023	True	0	0	0	0	0	0	0	False	False	False	False	False	_		0	1	0	1	((sospira)) [xx]	{sospira} [xx]	{sospira} xx
