match	id_A	token_A	id_B	token_B
0	1-0	persone	1-0	persone
0	1-1	che	1-1	che
0	1-2	magari	1-2	magari
0	1-3	puoi	1-3	puoi
2	1-4	avere	1-4	aver
0	1-5	incontrato	1-5	incontrato
0	1-6	un	1-6	un
0	1-7	po'	1-7	po'
1	2-0	ah	_	_
0	3-0	bah	2-0	bah
1	_	_	2-1	eh
1	_	_	2-2	{P}
2	3-1	ehm	2-3	sì
2	4-0	c-	2-4	cioè
0	4-1	è	2-5	è
0	4-2	sempre	2-6	sempre
0	4-3	pieno	2-7	pieno
0	4-4	di	2-8	di
0	4-5	persone	2-9	persone
0	4-6	che	2-10	che
0	4-7	fanno	2-11	fanno
1	4-8	l'	_	_
2	4-9	elemosina	2-12	emosina
0	4-10	sotto	2-13	sotto
0	4-11	i	2-14	i
0	4-12	portici	2-15	portici
0	5-0	mhmh	3-0	mhmh
0	6-0	soprattutto	4-0	soprattutto
2	6-1	su	4-1	se
2	6-2	via	4-2	vieni
0	6-3	indipendenza	4-3	indipendenza
0	6-4	ce	4-4	ce
0	6-5	ne	4-5	ne
0	6-6	sono	4-6	sono
0	6-7	diversi	4-7	diversi
0	7-0	sì	5-0	sì
0	7-1	è	5-1	è
0	7-2	vero	5-2	vero
0	8-0	anche	6-0	anche
0	8-1	sotto	6-1	sotto
0	8-2	i	6-2	i
0	8-3	portici	6-3	portici
0	8-4	di	6-4	di
0	8-5	via	6-5	via
1	_	_	6-6	{P}
2	9-0	il	6-7	di
0	9-1	viale	6-8	viale
1	_	_	6-9	{P}
0	10-0	mh	6-10	mh
0	10-1	masini	6-11	masini
0	11-0	perché	7-0	perché
0	11-1	io	7-1	io
0	11-2	passo	7-2	passo
1	11-3	s-	_	_
0	11-4	spesso	7-3	spesso
0	11-5	di	7-4	di
0	11-6	lì	7-5	lì
0	12-0	ehm	8-0	ehm
0	13-0	però	9-0	però
0	13-1	a	9-1	a
0	13-2	parte	9-2	parte
0	13-3	insomma	9-3	insomma
0	13-4	persone	9-4	persone
1	14-0	mhmh	_	_
0	15-0	che	9-5	che
0	15-1	fanno	9-6	fanno
0	15-2	l'	9-7	l'
0	15-3	elemosina	9-8	elemosina
1	_	_	9-9	si
2	15-4	sì	10-0	mhmh
0	16-0	mh	11-0	mh
0	16-1	ah	11-1	ah
1	_	_	11-2	{P}
0	16-2	incontri	11-3	incontri
0	16-3	anche	11-4	anche
0	16-4	molte	11-5	molte
0	16-5	persone	11-6	persone
0	16-6	che	11-7	che
0	16-7	ti	11-8	ti
0	16-8	fermano	11-9	fermano
0	16-9	per	11-10	per
1	_	_	12-0	sì
1	_	_	12-1	{ride}
2	17-0	ti	12-2	esatto
2	17-1	chiedono	13-0	chiederti
0	17-2	di	13-1	di
0	17-3	fare	13-2	fare
0	17-4	beneficenza	13-3	beneficenza
1	17-5	{ride}	_	_
1	18-0	sì	_	_
1	18-1	{ride}	_	_
1	18-2	esatto	_	_
0	19-0	{ride}	13-4	{ride}
0	19-1	le	13-5	le
0	19-2	classiche	13-6	classiche
0	19-3	persone	13-7	persone
0	19-4	che	13-8	che
0	19-5	sono	13-9	sono
0	19-6	sotto	13-10	sotto
0	19-7	i	13-11	i
0	19-8	portici	13-12	portici
0	20-0	ehm	14-0	ehm
0	20-1	a	15-0	a
0	20-2	volte	15-1	volte
1	_	_	15-2	{P}
0	21-0	persone	15-3	persone
0	21-1	famose	15-4	famose
0	21-2	ogni	15-5	ogni
0	21-3	tanto	15-6	tanto
0	21-4	una	15-7	una
0	21-5	volta	15-8	volta
1	21-6	ho	_	_
0	21-7	incontrato	15-9	incontrato
2	21-8	pif	15-10	piff
0	21-9	ad	15-11	ad
0	21-10	esempio	15-12	esempio
1	22-0	ah	_	_
0	22-1	ah	16-0	ah
0	22-2	sì	16-1	sì
0	22-3	sì	16-2	sì
0	22-4	sì	16-3	sì
0	23-0	eh	17-0	eh
1	_	_	17-1	so
0	23-1	che	17-2	che
1	_	_	17-3	era
2	23-2	ha	17-4	in
0	23-3	un	17-5	un
0	23-4	hotel	17-6	hotel
0	23-5	che	17-7	che
0	23-6	è	17-8	è
0	23-7	lì	17-9	lì
0	23-8	su	17-10	su
0	23-9	via	17-11	via
0	23-10	indipendenza	17-12	indipendenza
0	24-0	anche	18-0	anche
0	24-1	cremonini	18-1	cremonini
0	24-2	dicono	18-2	dicono
0	24-3	che	18-3	che
0	24-4	si	18-4	si
1	24-5	aspetta	_	_
2	25-0	cremoni-	18-5	aspettano
2	25-1	è	19-0	eh
0	25-2	non	19-1	non
1	25-3	l'	_	_
0	25-4	ho	19-2	ho
0	25-5	ancora	19-3	ancora
0	25-6	incontrato	19-4	incontrato
1	_	_	19-5	i
0	25-7	cremonini	19-6	cremonini
0	25-8	{ride}	19-7	{ride}
0	26-0	x	20-0	x
0	26-1	neanche	20-1	neanche
0	26-2	io	20-2	io
2	26-3	ohi	20-3	x
0	27-0	però	21-0	però
2	27-1	veramente	21-1	x
0	27-2	sì	21-2	sì
0	27-3	tre	21-3	tre
0	27-4	anni	21-4	anni
0	27-5	perché	21-5	perché
0	27-6	io	21-6	io
0	27-7	sono	21-7	sono
0	27-8	dal	21-8	dal
0	28-0	duemiladiciotto	21-9	duemiladiciotto
0	28-1	diciannove	21-10	diciannove
1	28-2	ve-	_	_
0	28-3	sì	21-11	sì
0	28-4	tre	21-12	tre
0	28-5	anni	21-13	anni
0	28-6	che	21-14	che
0	28-7	sono	21-15	sono
0	28-8	lì	21-16	lì
1	28-9	e	_	_
0	28-10	non	21-17	non
0	28-11	ho	21-18	ho
0	28-12	ancora	21-19	ancora
0	28-13	incrociato	21-20	incrociato
1	28-14	cremoni-	_	_
2	28-15	{ride}	21-21	cremonini
0	29-0	beh	22-0	beh
0	29-1	magari	22-1	magari
0	29-2	dai	22-2	dai
0	29-3	quest'	22-3	quest'
0	29-4	anno	22-4	anno
0	29-5	sarà	22-5	sarà
1	_	_	22-6	{ride}
0	29-6	l'	22-7	l'
0	29-7	anno	22-8	anno
0	29-8	buono	22-9	buono
1	_	_	23-0	{ride}
0	30-0	ma	23-1	ma
0	30-1	sì	23-2	sì
1	30-2	chissà	_	_
2	30-3	infatti	23-3	x
0	30-4	infatti	23-4	infatti
0	31-0	e	24-0	e
0	31-1	anche	24-1	anche
1	_	_	24-2	ehm
2	31-2	mh	24-3	{P}
0	32-0	per	24-4	per
0	32-1	il	24-5	il
0	32-2	fatto	24-6	fatto
0	32-3	che	24-7	che
0	32-4	hanno	24-8	hanno
0	32-5	messo	24-9	messo
0	32-6	le	24-10	le
0	32-7	luci	24-11	luci
0	32-8	con	24-12	con
0	32-9	le	24-13	le
0	32-10	scritte	24-14	scritte
