match	id_A	token_A	id_B	token_B
0	0-0	bene	1-0	bene
0	1-0	allora	2-0	allora
0	2-0	intanto	3-0	intanto
0	3-0	ero	4-0	ero
0	3-1	curiosa	4-1	curiosa
0	3-2	di	4-2	di
0	3-3	sapere	4-3	sapere
0	4-0	da	5-0	da
0	4-1	quanto	5-1	quanto
0	4-2	tempo	5-2	tempo
0	4-3	c'	5-3	c'
0	4-4	è	5-4	è
0	4-5	questo	5-5	questo
0	4-6	negozio	5-6	negozio
0	4-7	perché	5-7	perché
0	5-0	io	6-0	io
0	5-1	sono	6-1	sono
0	5-2	di	6-2	di
0	5-3	qui	6-3	qui
0	6-0	e	7-0	e
0	6-1	frequento	7-1	frequento
0	6-2	un	7-2	un
0	6-3	po'	7-3	po'
0	6-4	questa	7-4	questa
0	6-5	zona	7-5	zona
0	6-6	ma	7-6	ma
0	6-7	non	7-7	non
0	6-8	l'	7-8	l'
0	6-9	avevo	7-9	avevo
0	6-10	mai	7-10	mai
0	6-11	visto	7-11	visto
0	7-0	no	8-0	no
1	_	_	8-1	{P}
1	_	_	8-2	eh
0	7-1	non	8-3	non
0	7-2	è	8-4	è
0	7-3	così	8-5	così
0	8-0	stranamente	9-0	stranamente
0	9-0	questo	10-0	questo
0	9-1	negozio	10-1	negozio
1	_	_	10-2	{P}
0	9-2	è	10-3	è
0	9-3	già	10-4	già
1	_	_	10-5	{P}
0	9-4	da	10-6	da
0	9-5	ventidue	10-7	ventidue
0	9-6	anni	10-8	anni
0	10-0	okay	11-0	okay
1	10-1	quindi	_	_
1	10-2	non	_	_
1	10-3	è	_	_
1	10-4	nuovo	_	_
0	11-0	sono	12-0	sono
0	11-1	qui	12-1	qui
0	11-2	da	12-2	da
0	11-3	sei	12-3	sei
0	11-4	anni	12-4	anni
0	11-5	no	12-5	no
0	11-6	no	12-6	no
2	11-7	no	12-7	n-
0	11-8	questo	12-8	questo
0	11-9	qua	12-9	qua
0	11-10	non	12-10	non
0	11-11	è	12-11	è
0	11-12	nuovo	12-12	nuovo
1	_	_	12-13	è
0	11-13	di	12-14	di
0	11-14	prima	12-15	prima
0	11-15	era	12-16	era
0	11-16	una	12-17	una
1	_	_	12-18	casa
1	_	_	12-19	editrice
1	_	_	12-20	vaesi
1	_	_	13-0	quindi
1	_	_	13-1	non
1	_	_	13-2	è
2	11-17	@nomenegozio	13-3	nuovo
0	12-0	poi	14-0	poi
0	12-1	hanno	14-1	hanno
0	12-2	chiuso	14-2	chiuso
0	12-3	allora	14-3	allora
0	12-4	già	14-4	già
0	12-5	comprato	14-5	comprato
0	12-6	un'	14-6	un'
0	12-7	altra	14-7	altra
0	12-8	persona	14-8	persona
0	12-9	e	14-9	e
2	12-10	è	14-10	ha
0	12-11	fatta	14-11	fatta
0	12-12	copisteria	14-12	copisteria
0	13-0	okay	15-0	okay
0	14-0	poi	16-0	poi
0	14-1	io	16-1	io
0	14-2	sono	16-2	sono
0	14-3	da	16-3	da
0	14-4	terza	16-4	terza
0	14-5	mano	16-5	mano
0	14-6	che	16-6	che
2	14-7	i-	16-7	i
0	14-8	andando	16-8	andando
0	14-9	avanti	16-9	avanti
0	15-0	mhmh	17-0	mhmh
0	15-1	okay	18-0	okay
0	16-0	mh	19-0	mh
0	16-1	noi	20-0	noi
2	16-2	siamo	20-1	siam
2	16-3	venuti	20-2	venute
0	16-4	qui	20-3	qui
0	16-5	a	20-4	a
0	16-6	chiedere	20-5	chiedere
0	16-7	a	20-6	a
0	16-8	te	20-7	te
0	16-9	la	20-8	la
0	16-10	disponibilità	20-9	disponibilità
0	16-11	perché	20-10	perché
1	_	_	21-0	il
2	16-12	il-	21-1	la
2	16-13	l-	21-2	il
0	16-14	la	21-3	la
0	16-15	verità	21-4	verità
0	16-16	è	21-5	è
0	16-17	che	21-6	che
0	16-18	siamo	21-7	siamo
0	16-19	andati	21-8	andati
0	16-20	alla	21-9	alla
0	16-21	copisteria	21-10	copisteria
0	16-22	di	21-11	di
1	_	_	21-12	via
1	_	_	21-13	del
2	16-23	@nomeluogo	21-14	guasto
0	17-0	sì	22-0	sì
0	18-0	a	23-0	a
0	18-1	chiedere	23-1	chiedere
0	19-0	mhmh	24-0	mhmh
