match	id_A	token_A	id_B	token_B
2	1-0	eh	1-0	e
0	1-1	come	1-1	come
0	1-2	tabacco	1-2	tabacco
0	1-3	no	1-3	no
1	_	_	2-0	okay
0	1-4	eh	3-0	eh
0	1-5	di	3-1	di
0	1-6	là	3-2	là
1	_	_	3-3	{P}
0	1-7	lavorando	3-4	lavorando
0	1-8	più	3-5	più
0	1-9	di	3-6	di
1	_	_	3-7	tre:-
2	1-10	tre-tremi:la	3-8	tremila
0	1-11	persone	3-9	persone
1	_	_	4-0	mhmh
0	1-12	non	5-0	non
0	1-13	sono	5-1	sono
0	1-14	esattamente	5-2	esattamente
0	1-15	o	5-3	o
0	1-16	tremila	5-4	tremila
0	1-17	o	5-5	o
0	1-18	trentamila	5-6	trentamila
0	1-19	ma	5-7	ma
0	1-20	tremila	5-8	tremila
0	1-21	che	5-9	che
0	1-22	facciamo	5-10	facciamo
1	_	_	6-0	mhmh
0	2-0	ma	7-0	ma
0	2-1	non	7-1	non
0	2-2	si	7-2	si
0	2-3	trovano	7-3	trovano
0	2-4	adesso	7-4	adesso
0	2-5	neanche	7-5	neanche
0	2-6	là	7-6	là
0	2-7	gli	7-7	gli
0	2-8	appartamenti	7-8	appartamenti
0	3-0	eh	8-0	eh
0	3-1	esatto	8-1	esatto
0	3-2	te	8-2	te
0	3-3	lo	8-3	lo
0	3-4	era	8-4	era
0	3-5	{P}	8-5	{P}
0	3-6	questo	8-6	questo
0	3-7	che	8-7	che
0	3-8	volevo	8-8	volevo
0	3-9	chiederti	8-9	chiederti
0	3-10	perché	9-0	perché
2	4-0	eh	10-0	ah
0	4-1	sì	10-1	sì
0	5-0	se	11-0	se
0	5-1	tutti	11-1	tutti
0	5-2	vogliono	11-2	vogliono
0	5-3	vivere	11-3	vivere
0	5-4	lì	11-4	lì
0	6-0	sì	12-0	sì
0	6-1	non	12-1	non
0	6-2	si	12-2	si
0	6-3	trovano	12-3	trovano
0	6-4	appartamenti	12-4	appartamenti
1	_	_	13-0	mhmh
0	6-5	la	14-0	la
0	6-6	verità	14-1	verità
1	6-7	piuttosto	_	_
1	6-8	che	_	_
1	6-9	ci	_	_
1	6-10	sono	_	_
1	6-11	un	_	_
1	6-12	sacco	_	_
1	6-13	di	_	_
1	6-14	gente	_	_
1	7-0	mhmh	_	_
0	8-0	mhmh	15-0	mhmh
