match	id_A	token_A	id_B	token_B
2	0-0	eh	0-0	e
0	0-1	come	0-1	come
0	0-2	tabacco	0-2	tabacco
0	0-3	no	0-3	no
2	0-4	eh	0-4	e
0	0-5	di	0-5	di
0	0-6	là	0-6	là
1	0-7	{P}	_	_
0	0-8	lavorando	0-7	lavorando
0	0-9	più	0-8	più
0	0-10	di	0-9	di
1	_	_	0-10	tre
1	_	_	0-11	{P}
2	0-11	tre-	0-12	tre
2	0-12	tremila	0-13	mila
0	0-13	persone	0-14	persone
0	0-14	non	0-15	non
0	0-15	sono	0-16	sono
0	0-16	esattamente	0-17	esattamente
0	0-17	o	0-18	o
0	0-18	tremila	0-19	tremila
0	0-19	o	0-20	o
0	0-20	trentamila	0-21	trentamila
0	0-21	ma	0-22	ma
0	0-22	tremila	0-23	tremila
1	0-23	che	_	_
1	0-24	facciamo	_	_
0	1-0	okay	1-0	okay
0	2-0	mhmh	2-0	mhmh
0	3-0	mhmh	3-0	mhmh
1	_	_	4-0	che
1	_	_	4-1	facciamo
0	4-0	ma	5-0	ma
1	4-1	{P}	_	_
0	4-2	non	5-1	non
0	4-3	si	5-2	si
0	4-4	trovano	5-3	trovano
0	4-5	adesso	5-4	adesso
0	4-6	neanche	5-5	neanche
2	4-7	là	5-6	online
2	4-8	gli	5-7	li
0	4-9	appartamenti	5-8	appartamenti
0	5-0	eh	6-0	eh
0	5-1	esatto	6-1	esatto
0	5-2	te	6-2	te
0	5-3	lo	6-3	lo
1	5-4	era	_	_
0	5-5	{P}	6-4	{P}
1	_	_	6-5	era
0	5-6	questo	6-6	questo
0	5-7	che	6-7	che
0	5-8	volevo	6-8	volevo
0	5-9	chiederti	6-9	chiederti
0	6-0	perché	7-0	perché
2	7-0	eh	8-0	ah
0	7-1	sì	8-1	sì
0	8-0	se	9-0	se
0	8-1	tutti	9-1	tutti
0	8-2	vogliono	9-2	vogliono
0	8-3	vivere	9-3	vivere
0	8-4	lì	9-4	lì
0	9-0	sì	10-0	sì
0	9-1	{P}	10-1	{P}
0	9-2	non	10-2	non
0	9-3	si	10-3	si
0	9-4	trovano	10-4	trovano
0	9-5	appartamenti	10-5	appartamenti
1	_	_	10-6	a
2	9-6	{P}	10-7	dir
0	9-7	la	10-8	la
0	9-8	verità	10-9	verità
1	10-0	mhmh	_	_
0	11-0	mhmh	11-0	mhmh
0	12-0	piuttosto	12-0	piuttosto
0	12-1	che	12-1	che
0	12-2	ci	12-2	ci
0	12-3	sono	12-3	sono
0	12-4	un	12-4	un
0	12-5	sacco	12-5	sacco
0	12-6	di	12-6	di
0	12-7	gente	12-7	gente
0	13-0	come	13-0	come
0	13-1	non	13-1	non
0	13-2	vuole	13-2	vuole
0	13-3	dare	13-3	dare
1	13-4	{P}	_	_
0	13-5	appartamenti	13-4	appartamenti
0	13-6	per	13-5	per
0	13-7	la	13-6	la
0	13-8	famiglia	13-7	famiglia
1	14-0	un	_	_
