match	id_A	token_A	id_B	token_B
0	0-0	per	0-0	per
0	0-1	quattro	0-1	quattro
1	1-0	no	_	_
2	1-1	n~	1-0	non
0	1-2	un	1-1	un
2	1-3	kilo	1-2	chilo
0	1-4	settecento	1-3	settecento
0	1-5	grammi	1-4	grammi
0	1-6	di	1-5	di
0	1-7	pasta	1-6	pasta
2	2-0	eh	2-0	e
0	2-1	vabbè	2-1	vabbè
0	2-2	ma	2-2	ma
0	2-3	perché	2-3	perché
0	2-4	quello	2-4	quello
0	2-5	il	2-5	il
2	2-6	padre	2-6	pane
0	2-7	se	2-7	se
0	2-8	ne	2-8	ne
0	2-9	mangia	2-9	mangia
0	2-10	assai	2-10	assai
0	2-11	io	2-11	io
0	2-12	so	2-12	so
0	3-0	con	3-0	con
0	3-1	due	3-1	due
0	4-0	il	4-0	il
0	4-1	padre	4-1	padre
1	4-2	man~	_	_
2	4-3	ne	4-2	van-
0	4-4	mangia	4-3	mangia
0	4-5	ne	4-4	ne
0	4-6	mangia	4-5	mangia
0	4-7	una	4-6	una
0	4-8	scodella	4-7	scodella
2	4-9	da	4-8	d'
0	4-10	insalata	4-9	insalata
2	5-0	eh	5-0	ah
0	6-0	con	6-0	con
0	6-1	due	6-1	due
0	6-2	vasetti	6-2	vasetti
0	7-0	del	6-3	del
0	7-1	pesto	6-4	pesto
0	7-2	quello	6-5	quello
0	7-3	là	6-6	là
0	7-4	barilla	6-7	barilla
0	8-0	vabbè	7-0	vabbè
0	8-1	grazie	7-1	grazie
2	8-2	con	7-2	so
0	8-3	settecento	7-3	settecento
0	8-4	grammi	7-4	grammi
0	8-5	di	7-5	di
0	8-6	pasta	7-6	pasta
1	_	_	8-0	un
2	9-0	rico~	8-1	po'
0	10-0	ricotta	9-0	ricotta
0	10-1	e	9-1	e
0	10-2	noci	9-2	noci
0	11-0	non	9-3	non
0	11-1	contenta	9-4	contenta
0	12-0	il	9-5	il
0	12-1	fior	9-6	fior
0	12-2	di	9-7	di
0	12-3	latte	9-8	latte
0	12-4	dentro	9-9	dentro
0	13-0	non	9-10	non
0	13-1	contenta	9-11	contenta
0	14-0	il	9-12	il
0	14-1	parmigiano	9-13	parmigiano
0	14-2	sopra	9-14	sopra
2	15-0	e	10-0	che
0	15-1	non	10-1	non
0	15-2	stona	10-2	stona
0	16-0	non	11-0	non
0	16-1	contenta	11-1	contenta
0	16-2	mi	11-2	mi
2	16-3	ha	11-3	hai
0	16-4	detto	11-4	detto
2	16-5	eh	11-5	ah
0	16-6	se	11-6	se
0	16-7	c'	11-7	c'
0	16-8	avevo	11-8	avevo
0	16-9	le	11-9	le
0	16-10	noci	11-10	noci
0	16-11	mettevo	11-11	mettevo
0	16-12	pure	11-12	pure
0	16-13	le	11-13	le
0	16-14	noci	11-14	noci
0	16-15	sopra	11-15	sopra
0	17-0	no	12-0	no
2	18-0	marò	13-0	no
2	19-0	esagerata	14-0	x
2	20-0	ua	15-0	guà
0	20-1	mi	15-1	mi
0	20-2	piacevano	15-2	piacevano
0	20-3	tanto	15-3	tanto
0	20-4	quelle	15-4	quelle
0	20-5	zucchine	15-5	zucchine
0	20-6	le	15-6	le
0	20-7	avete	15-7	avete
0	20-8	mangiate	15-8	mangiate
0	20-9	tutte	15-9	tutte
1	21-0	mh	_	_
0	22-0	sorry	16-0	sorry
0	23-0	te	17-0	te
0	23-1	le	17-1	le
0	23-2	rifaccio	17-2	rifaccio
0	23-3	prima	17-3	prima
0	23-4	che	17-4	che
0	23-5	te	17-5	te
0	23-6	ne	17-6	ne
0	23-7	vai	17-7	vai
0	24-0	eh	18-0	eh
2	25-0	prima	19-0	ma
0	25-1	che	19-1	che
0	25-2	te	19-2	te
0	25-3	ne	19-3	ne
0	25-4	vai	19-4	vai
0	26-0	mh	20-0	mh
1	_	_	21-0	dov'
0	27-0	è	21-1	è
1	27-1	lui	_	_
0	27-2	che	21-2	che
0	27-3	va	21-3	va
0	27-4	via	21-4	via
0	28-0	sai	22-0	sai
0	28-1	che	22-1	che
0	28-2	possiamo	22-2	possiamo
0	28-3	fare	22-3	fare
1	29-0	mhmh	_	_
0	30-0	no	23-0	no
0	31-0	con	24-0	con
0	31-1	questa	24-1	questa
0	31-2	zucchinona	24-2	zucchinona
0	31-3	gigante	24-3	gigante
0	31-4	che	24-4	che
0	31-5	tengo	24-5	tengo
1	31-6	{P}	_	_
0	31-7	la	24-6	la
0	31-8	vogliamo	24-7	vogliamo
0	31-9	arrostire	24-8	arrostire
0	32-0	adesso	24-9	adesso
0	32-1	tipo	24-10	tipo
2	33-0	cioè	24-11	ceh
0	33-1	non	24-12	non
0	33-2	ce	24-13	ce
0	33-3	la	24-14	la
0	33-4	mangiamo	24-15	mangiamo
0	33-5	adesso	24-16	adesso
0	33-6	però	24-17	però
0	34-0	lo	24-18	lo
0	34-1	facciamo	24-19	facciamo
0	34-2	per	24-20	per
0	34-3	domani	24-21	domani
0	34-4	magari	24-22	magari
0	35-0	va	25-0	va
0	35-1	bene	25-1	bene
0	36-0	ma	26-0	ma
0	36-1	perché	26-1	perché
0	36-2	la	26-2	la
0	36-3	zucchinona	26-3	zucchinona
0	36-4	non	26-4	non
0	36-5	l'	26-5	l'
0	36-6	avevi	26-6	avevi
0	36-7	già	26-7	già
0	36-8	fatta	26-8	fatta
2	37-0	amo'	27-0	amore
0	37-1	erano	27-1	erano
0	37-2	due	27-2	due
0	37-3	zucchinone	27-3	zucchinone
1	38-0	x	_	_
0	38-1	zucchinone	28-0	zucchinone
0	39-0	una	29-0	una
