match	id_A	token_A	id_B	token_B
1	_	_	0-0	mh
1	_	_	0-1	negli
1	_	_	0-2	ultimi
1	_	_	0-3	anni
1	_	_	0-4	secondo
1	_	_	0-5	me
1	_	_	0-6	è
2	0-0	x	0-7	aum-
0	0-1	infatti	0-8	infatti
0	0-2	il	0-9	il
0	0-3	fatto	0-10	fatto
0	0-4	che	0-11	che
0	0-5	è	0-12	è
0	0-6	aumentato	0-13	aumentato
0	0-7	il	0-14	il
0	0-8	turismo	0-15	turismo
0	1-0	ha	1-0	ha
0	1-1	impattato	1-1	impattato
0	1-2	molto	1-2	molto
0	1-3	anche	1-3	anche
1	_	_	1-4	quello
2	1-4	x	1-5	con
0	1-5	gli	1-6	gli
0	1-6	affitti	1-7	affitti
2	2-0	eh	2-0	e
0	2-1	può	2-1	può
0	2-2	essere	2-2	essere
0	3-0	è	3-0	è
0	3-1	vero	3-1	vero
0	3-2	è	3-2	è
0	3-3	vero	3-3	vero
0	4-0	perché	4-0	perché
2	4-1	dicevano	4-1	insomma
2	4-2	che	4-2	qui
0	4-3	molte	4-3	molte
0	4-4	persone	4-4	persone
0	4-5	molti	4-5	molti
2	5-0	proprietari	4-6	prorietari
0	5-1	hanno	4-7	hanno
0	5-2	messo	4-8	messo
0	5-3	le	4-9	le
0	5-4	case	4-10	case
0	5-5	su	4-11	su
2	5-6	airbb	4-12	airbeb
0	6-0	per	5-0	per
0	6-1	per	5-1	per
0	6-2	il	5-2	il
0	6-3	turismo	5-3	turismo
1	_	_	6-0	mh
2	7-0	mhmh	6-1	mh
0	8-0	e	7-0	e
0	8-1	tutte	7-1	tutte
0	8-2	queste	7-2	queste
0	8-3	case	7-3	case
0	8-4	sono	7-4	sono
0	8-5	state	7-5	state
0	8-6	tolte	7-6	tolte
0	8-7	dal	7-7	dal
0	8-8	mercato	7-8	mercato
0	9-0	della	8-0	della
0	9-1	gente	8-1	gente
0	9-2	che	8-2	che
0	9-3	ci	8-3	ci
0	9-4	deve	8-4	deve
0	9-5	vivere	8-5	vivere
0	9-6	insomma	8-6	insomma
1	_	_	9-0	mh
1	_	_	9-1	mh
2	10-0	mhmh	9-2	{P}
0	10-1	è	9-3	è
0	10-2	vero	9-4	vero
0	11-0	quindi	10-0	quindi
0	11-1	sicuramente	10-1	sicuramente
0	11-2	il	10-2	il
0	11-3	turismo	10-3	turismo
0	11-4	ha	10-4	ha
0	11-5	influito	10-5	influito
0	11-6	anche	10-6	anche
0	11-7	su	10-7	su
0	11-8	questo	10-8	questo
1	_	_	10-9	su
0	12-0	questa	10-10	questa
0	12-1	cosa	10-11	cosa
0	12-2	qua	10-12	qua
0	13-0	però	11-0	però
1	_	_	11-1	{P}
0	14-0	capisco	11-2	capisco
0	14-1	anche	11-3	anche
0	14-2	che	11-4	che
0	14-3	vogliano	11-5	vogliano
1	_	_	11-6	x
1	_	_	11-7	incentivare
1	_	_	11-8	il
1	_	_	11-9	turismo
1	_	_	11-10	{ride}
0	15-0	eh	12-0	eh
0	15-1	sì	12-1	sì
1	_	_	12-2	anche
2	15-2	x	12-3	loro
0	15-3	sì	13-0	sì
0	15-4	sì	13-1	sì
0	15-5	sì	13-2	sì
1	16-0	cercare	_	_
1	16-1	in	_	_
2	16-2	primo	14-0	però
0	17-0	e	15-0	e
1	18-0	però	_	_
0	19-0	e	15-1	e
0	19-1	invece	15-2	invece
0	19-2	per	15-3	per
1	_	_	15-4	il
0	19-3	quanto	15-5	quanto
0	19-4	riguarda	15-6	riguarda
0	19-5	il	15-7	il
0	19-6	lavoro	15-8	lavoro
0	20-0	pensi	15-9	pensi
1	20-1	che	_	_
2	20-2	si	15-10	sia
0	20-3	un	15-11	un
0	20-4	buon	15-12	buon
0	20-5	posto	15-13	posto
0	20-6	in	15-14	in
0	20-7	cui	15-15	cui
0	20-8	lavorare	15-16	lavorare
0	21-0	cioè	16-0	cioè
2	21-1	sì	16-1	s-
0	21-2	secondo	16-2	secondo
0	21-3	te	16-3	te
0	21-4	si	16-4	si
0	21-5	trova	16-5	trova
0	21-6	lavoro	16-6	lavoro
1	21-7	o	_	_
1	22-0	ehm	_	_
0	23-0	ah	17-0	ah
0	23-1	okay	17-1	okay
0	23-2	come	17-2	come
0	23-3	sì	17-3	sì
1	23-4	no	_	_
0	23-5	a	17-4	a
0	23-6	bologna	17-5	bologna
0	23-7	sicuramente	17-6	sicuramente
1	24-0	mhmh	_	_
0	25-0	secondo	18-0	secondo
0	25-1	me	18-1	me
0	26-0	ha	18-2	ha
0	26-1	molte	18-3	molte
0	26-2	opportunità	18-4	opportunità
0	26-3	lavorative	18-5	lavorative
1	_	_	18-6	{P}
0	27-0	mh	18-7	mh
0	28-0	rispetto	19-0	rispetto
0	28-1	a	19-1	a
0	28-2	mh	19-2	mh
0	28-3	ad	19-3	ad
0	28-4	esempio	19-4	esempio
0	28-5	forlì	19-5	forlì
2	29-0	adesso	19-6	e
2	29-1	prendiamo	19-7	supponiamo
0	29-2	forlì	19-8	forlì
0	29-3	come	19-9	come
0	29-4	riferimento	19-10	riferimento
0	29-5	però	19-11	però
1	_	_	20-0	mh
2	30-0	mhmh	20-1	mh
0	31-0	c'	21-0	c'
0	31-1	è	21-1	è
0	31-2	sicuramente	21-2	sicuramente
0	31-3	molta	21-3	molta
0	31-4	più	21-4	più
0	31-5	offerta	21-5	offerta
0	31-6	lavorativa	21-6	lavorativa
0	31-7	su	21-7	su
0	31-8	bologna	21-8	bologna
0	31-9	perché	22-0	perché
0	32-0	un	23-0	un
0	32-1	po'	23-1	po'
0	32-2	ehm	23-2	ehm
0	32-3	ci	24-0	ci
0	32-4	sono	24-1	sono
0	32-5	molte	24-2	molte
0	32-6	industrie	24-3	industrie
1	_	_	24-4	{P}
0	32-7	poi	24-5	poi
0	32-8	dipende	24-6	dipende
0	32-9	uno	24-7	uno
0	32-10	che	24-8	che
0	32-11	cosa	24-9	cosa
0	32-12	fa	24-10	fa
0	33-0	però	24-11	però
0	34-0	c'	25-0	c'
0	34-1	è	25-1	è
0	35-0	c'	26-0	c'
0	35-1	è	26-1	è
0	35-2	sia	26-2	sia
0	35-3	l'	26-3	l'
0	35-4	industria	26-4	industria
0	35-5	è	27-0	è
0	35-6	la	27-1	la
0	35-7	regione	27-2	regione
0	35-8	poi	27-3	poi
2	35-9	della	27-4	del
0	35-10	motor	27-5	motor
0	35-11	valley	27-6	valley
2	36-0	si	27-7	sai
0	36-1	ci	27-8	ci
0	36-2	sono	27-9	sono
0	36-3	tutte	27-10	tutte
0	36-4	le	27-11	le
0	36-5	aziende	27-12	aziende
0	36-6	dei	27-13	dei
0	36-7	motori	27-14	motori
0	37-0	mh	28-0	mh
2	37-1	sì	28-1	mh
0	37-2	sì	28-2	sì
0	37-3	sì	28-3	sì
0	37-4	sì	28-4	sì
0	38-0	in	29-0	in
0	38-1	quella	29-1	quella
0	38-2	zona	29-2	zona
0	38-3	lì	29-3	lì
2	38-4	poi	29-4	poia
2	38-5	anche	29-5	nche
0	38-6	più	29-6	più
0	38-7	verso	29-7	verso
0	38-8	modena	29-8	modena
0	38-9	in	29-9	in
0	38-10	realtà	29-10	realtà
0	39-0	però	30-0	però
2	40-0	ehm	31-0	e
0	41-0	secondo	31-1	secondo
0	41-1	me	31-2	me
0	41-2	c'	31-3	c'
0	41-3	è	31-4	è
0	41-4	un	31-5	un
0	41-5	po'	31-6	po'
0	41-6	di	31-7	di
0	41-7	tutto	31-8	tutto
0	41-8	comunque	31-9	comunque
0	41-9	anche	31-10	anche
0	41-10	a	31-11	a
0	41-11	livello	31-12	livello
0	41-12	umanistico	31-13	umanistico
0	41-13	qualcosa	31-14	qualcosa
0	41-14	si	31-15	si
0	41-15	si	31-16	si
0	41-16	trova	31-17	trova
0	41-17	a	31-18	a
0	41-18	bologna	31-19	bologna
1	42-0	mhmh	_	_
2	43-0	eh	32-0	e
0	43-1	io	32-1	io
0	43-2	poi	32-2	poi
0	43-3	ho	32-3	ho
0	43-4	trovato	32-4	trovato
0	43-5	lavoro	32-5	lavoro
0	43-6	tramite	32-6	tramite
0	43-7	un	32-7	un
0	43-8	concorso	32-8	concorso
0	43-9	quindi	32-9	quindi
0	44-0	ah	33-0	ah
0	44-1	okay	33-1	okay
1	_	_	34-0	mh
2	44-2	mhmh	34-1	mh
0	45-0	mh	35-0	mh
0	45-1	quello	35-1	quello
0	45-2	magari	35-2	magari
0	46-0	è	35-3	è
0	46-1	diverso	35-4	diverso
0	46-2	però	35-5	però
0	46-3	anche	35-6	anche
0	46-4	nel	35-7	nel
0	46-5	pubblico	35-8	pubblico
0	47-0	probabilmente	35-9	probabilmente
0	47-1	a	35-10	a
0	47-2	bologna	35-11	bologna
1	_	_	35-12	ce
2	47-3	c'	35-13	ne
2	47-4	è	35-14	sono
2	47-5	molto	35-15	molti
0	47-6	di	35-16	di
0	47-7	più	35-17	più
0	47-8	rispetto	35-18	rispetto
0	48-0	magari	36-0	magari
0	48-1	più	36-1	più
0	48-2	posti	36-2	posti
1	_	_	36-3	x
0	49-0	sì	37-0	sì
0	49-1	esatto	37-1	esatto
0	49-2	poi	37-2	poi
0	49-3	l'	37-3	l'
0	49-4	università	37-4	università
0	49-5	di	37-5	di
0	49-6	bologna	37-6	bologna
0	50-0	mh	38-0	mh
0	50-1	ha	38-1	ha
0	50-2	cioè	39-0	cioè
0	50-3	diciamo	39-1	diciamo
0	50-4	che	39-2	che
0	51-0	porta	39-3	porta
0	51-1	tanto	39-4	tanto
0	51-2	lavoro	39-5	lavoro
0	51-3	in	39-6	in
0	51-4	tanti	39-7	tanti
0	51-5	modi	39-8	modi
2	52-0	mhmh	39-9	{P}
0	53-0	secondo	39-10	secondo
0	53-1	me	39-11	me
1	_	_	40-0	mh
1	_	_	40-1	mh
1	_	_	41-0	e
0	54-0	e	41-1	e
0	54-1	quindi	41-2	quindi
0	54-2	sì	41-3	sì
1	_	_	41-4	cioè
0	54-3	sicuramente	41-5	sicuramente
0	55-0	ci	41-6	ci
0	55-1	sono	41-7	sono
0	55-2	buone	41-8	buone
0	55-3	opportunità	41-9	opportunità
2	55-4	secondo	41-10	secodno
0	55-5	me	41-11	me
0	55-6	a	41-12	a
0	55-7	bologna	41-13	bologna
1	_	_	42-0	e
0	56-0	in	42-1	in
0	56-1	tutta	42-2	tutta
0	56-2	la	42-3	la
0	56-3	regione	42-4	regione
0	56-4	penso	42-5	penso
0	56-5	che	42-6	che
0	56-6	sia	42-7	sia
0	56-7	la	42-8	la
0	56-8	città	42-9	città
0	56-9	in	42-10	in
0	56-10	cui	42-11	cui
1	57-0	mhmh	_	_
0	58-0	in	42-12	in
0	58-1	cui	42-13	cui
0	58-2	si	42-14	si
0	58-3	trova	42-15	trova
0	58-4	più	42-16	più
0	58-5	lavoro	42-17	lavoro
1	_	_	43-0	mh
1	_	_	43-1	mh
1	_	_	44-0	x
1	_	_	45-0	mh
2	59-0	meglio	45-1	mh
0	60-0	sì	46-0	sì
0	61-0	e	47-0	e
0	61-1	quindi	47-1	quindi
0	61-2	tu	47-2	tu
0	61-3	di	47-3	di
0	61-4	cosa	47-4	cosa
0	61-5	ti	47-5	ti
0	61-6	occupi	47-6	occupi
0	61-7	a	47-7	a
0	62-0	allora	48-0	allora
0	62-1	io	48-1	io
2	62-2	eh	48-2	e
0	62-3	lavoro	48-3	lavoro
0	62-4	nell'	48-4	nell'
0	62-5	ufficio	48-5	ufficio
1	_	_	48-6	e
1	_	_	48-7	relazioni
2	63-0	eh	48-8	internazionali
2	63-1	nomeluogo	48-9	{P}
0	63-2	dell'	48-10	dell'
0	63-3	università	48-11	università
0	63-4	di	48-12	di
0	63-5	bologna	48-13	bologna
0	64-0	in	49-0	in
0	64-1	particolare	49-1	particolare
1	65-0	in	_	_
1	65-1	uf~	_	_
0	65-2	in	49-2	in
0	65-3	un	49-3	un
0	65-4	ufficio	49-4	ufficio
0	65-5	che	49-5	che
0	65-6	si	49-6	si
0	65-7	chiama	49-7	chiama
1	_	_	49-8	international
2	65-8	nomeluogo	49-9	desk
0	66-0	che	50-0	che
0	66-1	si	50-1	si
0	66-2	occupa	50-2	occupa
0	66-3	di	50-3	di
0	66-4	dare	50-4	dare
0	66-5	supporto	50-5	supporto
0	67-0	e	50-6	e
0	67-1	orientamento	50-7	orientamento
0	67-2	agli	50-8	agli
0	67-3	studenti	50-9	studenti
0	67-4	internazionali	50-10	internazionali
0	67-5	che	50-11	che
0	67-6	vengono	50-12	vengono
0	67-7	a	50-13	a
0	67-8	iscriversi	50-14	iscriversi
0	67-9	all'	50-15	all'
0	67-10	università	50-16	università
0	67-11	di	50-17	di
0	67-12	bologna	50-18	bologna
1	_	_	51-0	mh
2	68-0	mhmh	51-1	mh
2	69-0	quindi	52-0	e
0	69-1	che	52-1	che
1	_	_	52-2	{P}
2	69-2	fanno	52-3	hanno
2	69-3	l'	52-4	un
0	69-4	intero	52-5	intero
0	69-5	percorso	52-6	percorso
1	_	_	52-7	in
0	69-6	triennale	52-8	triennale
1	_	_	52-9	o
0	69-7	magistrale	52-10	magistrale
0	70-0	e	53-0	e
0	70-1	principalmente	53-1	principalmente
0	70-2	diamo	53-2	diamo
0	70-3	supporto	53-3	supporto
0	70-4	per	53-4	per
2	71-0	ehm	53-5	e
2	72-0	o~	54-0	o
2	72-1	o~	54-1	o
0	72-2	mh	54-2	mh
0	72-3	orientamento	54-3	orientamento
2	72-4	sul	54-4	su-
0	72-5	processo	54-5	processo
0	72-6	proprio	54-6	proprio
1	72-7	d'	_	_
0	72-8	iscrizione	54-7	iscrizione
0	73-0	cosa	55-0	cosa
0	73-1	fare	55-1	fare
0	74-0	da	55-2	da
0	74-1	dove	55-3	dove
0	74-2	partire	55-4	partire
0	74-3	ma	55-5	ma
0	75-0	poi	55-6	poi
0	75-1	nel	55-7	nel
0	75-2	dettaglio	55-8	dettaglio
0	75-3	in	55-9	in
2	75-4	particolare	55-10	particolar
0	75-5	sulle	55-11	sulle
0	75-6	questioni	55-12	questioni
0	75-7	che	55-13	che
0	75-8	riguardano	55-14	riguardano
0	75-9	l'	55-15	l'
0	75-10	immigrazione	55-16	immigrazione
0	76-0	ah	56-0	ah
1	_	_	56-1	mh
2	76-1	mhmh	56-2	mh
0	77-0	quindi	57-0	quindi
0	77-1	su	57-1	su
0	77-2	come	57-2	come
0	77-3	ottenere	57-3	ottenere
0	77-4	un	57-4	un
0	77-5	visto	57-5	visto
1	78-0	che	_	_
2	78-1	bello	57-6	su
0	79-0	come	57-7	come
0	79-1	fare	57-8	fare
0	79-2	il	57-9	il
0	79-3	permesso	57-10	permesso
0	79-4	di	57-11	di
0	79-5	soggiorno	57-12	soggiorno
2	80-0	eh	58-0	e
0	80-1	diamo	58-1	diamo
0	80-2	informazioni	58-2	informazioni
0	80-3	sui	58-3	sui
0	80-4	titoli	58-4	titoli
0	80-5	esteri	58-5	esteri
0	81-0	cosa	58-6	cosa
0	82-0	che	58-7	che
0	82-1	documenti	58-8	documenti
0	82-2	devono	58-9	devono
0	82-3	presentare	58-10	presentare
0	82-4	per	58-11	per
0	82-5	iscriversi	58-12	iscriversi
0	82-6	con	58-13	con
0	82-7	un	58-14	un
0	82-8	titolo	58-15	titolo
0	82-9	di	58-16	di
0	82-10	studio	58-17	studio
0	82-11	estero	58-18	estero
0	83-0	e	59-0	e
0	83-1	insomma	59-1	insomma
0	83-2	queste	59-2	queste
0	83-3	cose	59-3	cose
0	83-4	queste	59-4	queste
0	83-5	cose	59-5	cose
0	83-6	qui	59-6	qui
0	83-7	principalmente	59-7	principalmente
2	84-0	ehm	60-0	emh
0	85-0	hai	61-0	hai
0	85-1	sempre	61-1	sempre
0	85-2	fatto	61-2	fatto
0	85-3	questo	61-3	questo
0	85-4	lavoro	61-4	lavoro
0	85-5	oppure	61-5	oppure
0	86-0	allora	62-0	allora
0	86-1	dopo	62-1	dopo
0	86-2	la	62-2	la
0	86-3	laurea	62-3	laurea
0	87-0	io	63-0	io
0	87-1	mi	63-1	mi
2	87-2	son	63-2	sono
0	87-3	laureata	63-3	laureata
0	87-4	nel	63-4	nel
0	87-5	duemiladiciassette	63-5	duemiladiciassette
0	88-0	ho	64-0	ho
0	88-1	fatto	64-1	fatto
2	88-2	eh	64-2	e
0	88-3	sei	64-3	sei
0	88-4	mesi	64-4	mesi
0	88-5	in	64-5	in
0	88-6	un	64-6	un
0	88-7	azienda	64-7	azienda
2	89-0	ehm	65-0	emh
0	89-1	che	65-1	che
1	89-2	faceva	_	_
2	89-3	mh	65-2	facevamh
0	90-0	tende	66-0	tende
0	90-1	frangisole	66-1	frangisole
1	_	_	66-2	{ride}
1	_	_	67-0	mh
2	91-0	mhmh	67-1	mh
2	92-0	eh	68-0	e
0	92-1	come	68-1	come
1	_	_	68-2	commerci
2	92-2	commerciale	68-3	all'
0	92-3	estero	68-4	estero
1	_	_	68-5	{P}
0	93-0	tipo	68-6	tipo
