match	id_A	token_A	id_B	token_B
1	_	_	1-0	e
0	1-0	come	1-1	come
2	1-1	tavacco	1-2	tabacco
0	1-2	no	1-3	no
1	_	_	2-0	okay
0	1-3	eh	3-0	eh
0	1-4	di	3-1	di
0	1-5	là	3-2	là
0	1-6	{P}	3-3	{P}
0	1-7	lavorando	3-4	lavorando
0	1-8	più	3-5	più
0	1-9	di	3-6	di
2	1-10	tre	3-7	tre-
0	1-11	tremila	3-8	tremila
0	1-12	persone	3-9	persone
1	_	_	4-0	mhmh
0	1-13	non	5-0	non
0	1-14	sono	5-1	sono
0	1-15	esattamente	5-2	esattamente
0	1-16	o	5-3	o
0	1-17	tremila	5-4	tremila
0	1-18	o	5-5	o
1	1-19	trenta	_	_
2	1-20	mila	5-6	trentamila
0	1-21	ma	5-7	ma
0	1-22	tremila	5-8	tremila
0	1-23	che	5-9	che
0	1-24	facciamo	5-10	facciamo
1	2-0	okay	_	_
1	3-0	mhmh	_	_
0	4-0	mhmh	6-0	mhmh
0	5-0	ma	7-0	ma
1	5-1	{P}	_	_
0	5-2	non	7-1	non
0	5-3	si	7-2	si
0	5-4	trovano	7-3	trovano
0	5-5	adesso	7-4	adesso
0	5-6	neanche	7-5	neanche
0	5-7	là	7-6	là
0	5-8	gli	7-7	gli
0	5-9	appartamenti	7-8	appartamenti
0	6-0	eh	8-0	eh
0	6-1	esatto	8-1	esatto
0	6-2	te	8-2	te
0	6-3	lo	8-3	lo
0	6-4	era	8-4	era
0	6-5	{P}	8-5	{P}
0	6-6	questo	8-6	questo
0	6-7	che	8-7	che
0	6-8	volevo	8-8	volevo
0	6-9	chiederti	8-9	chiederti
0	7-0	perché	9-0	perché
2	8-0	eh	10-0	ah
0	8-1	sì	10-1	sì
0	9-0	se	11-0	se
0	9-1	tutti	11-1	tutti
0	9-2	vogliono	11-2	vogliono
0	9-3	vivere	11-3	vivere
0	9-4	lì	11-4	lì
0	10-0	sì	12-0	sì
1	10-1	{P}	_	_
0	10-2	non	12-1	non
0	10-3	si	12-2	si
0	10-4	trovano	12-3	trovano
0	10-5	appartamenti	12-4	appartamenti
2	10-6	{P}	13-0	mhmh
0	10-7	la	14-0	la
0	10-8	verità	14-1	verità
1	11-0	mhmh	_	_
0	12-0	mhmh	15-0	mhmh
0	13-0	piuttosto	16-0	piuttosto
0	13-1	che	16-1	che
1	_	_	16-2	{P}
0	13-2	ci	16-3	ci
0	13-3	sono	16-4	sono
0	13-4	un	16-5	un
0	13-5	sacco	16-6	sacco
0	13-6	di	16-7	di
0	13-7	gente	16-8	gente
0	14-0	come	17-0	come
0	14-1	non	17-1	non
0	14-2	vuole	17-2	vuole
0	14-3	dare	17-3	dare
1	14-4	{P}	_	_
0	14-5	appartamenti	17-4	appartamenti
0	14-6	per	17-5	per
0	14-7	la	17-6	la
0	14-8	famiglia	17-7	famiglia
0	15-0	un	18-0	un
0	15-1	po'	18-1	po'
0	15-2	che	18-2	che
0	15-3	danno	18-3	danno
0	15-4	un	18-4	un
0	15-5	po'	18-5	po'
0	15-6	di	18-6	di
0	15-7	persone	18-7	persone
1	15-8	{P}	_	_
0	15-9	che	18-8	che
0	15-10	dopo	18-9	dopo
0	15-11	fanno	18-10	fanno
0	15-12	la	18-11	la
0	15-13	storia	18-12	storia
0	16-0	mhmh	19-0	mhmh
1	17-0	allora	_	_
0	18-0	mhmh	20-0	mhmh
1	_	_	21-0	ora
0	19-0	per	22-0	per
0	19-1	pochi	22-1	pochi
0	19-2	che	22-2	che
0	19-3	tutti	22-3	tutti
0	19-4	quanti	22-4	quanti
1	_	_	23-0	{sospira}
0	20-0	sì	24-0	sì
0	20-1	sì	24-1	sì
0	20-2	sì	24-2	sì
0	20-3	certo	24-3	certo
0	20-4	capito	24-4	capito
1	_	_	25-0	mh
2	20-5	{P}	25-1	mh
0	20-6	mh	26-0	mh
0	20-7	e	26-1	e
0	20-8	ma	26-2	ma
0	20-9	se	26-3	se
1	20-10	{P}	_	_
0	20-11	se	26-4	se
0	20-12	potessi	26-5	potessi
0	20-13	un	26-6	un
0	20-14	giorno	26-7	giorno
0	20-15	vorresti	26-8	vorresti
0	20-16	vivere	26-9	vivere
0	20-17	in	26-10	in
0	20-18	città	26-11	città
0	20-19	o	26-12	o
1	21-0	mh	_	_
