match	id_A	token_A	id_B	token_B
0	0-0	per	0-0	per
0	0-1	quattro	0-1	quattro
1	1-0	no	_	_
2	1-1	n~	1-0	non
2	1-2	un	1-1	uno
2	1-3	kilo	1-2	chilo
0	1-4	settecento	1-3	settecento
0	1-5	grammi	1-4	grammi
0	1-6	di	1-5	di
0	1-7	pasta	1-6	pasta
2	2-0	eh	2-0	e
2	2-1	vabbè	2-1	vabbé
0	2-2	ma	2-2	ma
1	2-3	perché	_	_
0	2-4	quello	2-3	quello
1	_	_	2-4	è
0	2-5	il	2-5	il
0	2-6	padre	2-6	padre
1	2-7	se	_	_
1	2-8	ne	_	_
2	2-9	mangia	2-7	sai
2	2-10	assai	2-8	mando
2	2-11	io	2-9	sta
0	2-12	so	2-10	so
0	3-0	con	3-0	con
2	3-1	due	3-1	quell-
0	4-0	il	4-0	il
0	4-1	padre	4-1	padre
1	4-2	man~	_	_
2	4-3	ne	4-2	man-
0	4-4	mangia	4-3	mangia
0	4-5	ne	4-4	ne
0	4-6	mangia	4-5	mangia
0	4-7	una	4-6	una
0	4-8	scodella	4-7	scodella
2	4-9	da	4-8	di
0	4-10	insalata	4-9	insalata
2	5-0	eh	5-0	ah
0	6-0	con	6-0	con
0	6-1	due	6-1	due
0	6-2	vasetti	6-2	vasetti
0	7-0	del	6-3	del
0	7-1	pesto	6-4	pesto
0	7-2	quello	6-5	quello
0	7-3	là	6-6	là
0	7-4	barilla	6-7	barilla
1	_	_	7-0	vabbé
1	_	_	7-1	tanto
1	_	_	7-2	e
2	8-0	vabbè	7-3	t-t-
2	8-1	grazie	7-4	tutti
2	8-2	con	7-5	e
2	8-3	settecento	7-6	due
2	8-4	grammi	7-7	programmi
0	8-5	di	7-8	di
0	8-6	pasta	7-9	pasta
1	_	_	8-0	e
2	9-0	rico~	8-1	poi
2	10-0	ricotta	9-0	ricotte
0	10-1	e	9-1	e
2	10-2	noci	9-2	noci'
0	11-0	non	10-0	non
0	11-1	contenta	10-1	contenta
0	12-0	il	11-0	il
0	12-1	fior	11-1	fior
0	12-2	di	11-2	di
0	12-3	latte	11-3	latte
0	12-4	dentro	11-4	dentro
0	13-0	non	12-0	non
0	13-1	contenta	12-1	contenta
0	14-0	il	13-0	il
0	14-1	parmigiano	13-1	parmigiano
0	14-2	sopra	13-2	sopra
0	15-0	e	14-0	e
0	15-1	non	14-1	non
2	15-2	stona	14-2	stono
0	16-0	non	15-0	non
0	16-1	contenta	15-1	contenta
1	16-2	mi	_	_
1	16-3	ha	_	_
1	16-4	detto	_	_
2	16-5	eh	15-2	per
2	16-6	se	15-3	tutta
2	16-7	c'	15-4	la
2	16-8	avevo	15-5	sessione
2	16-9	le	15-6	uagliò
2	16-10	noci	15-7	ci
2	16-11	mettevo	15-8	metto
0	16-12	pure	15-9	pure
0	16-13	le	15-10	le
0	16-14	noci	15-11	noci
0	16-15	sopra	15-12	sopra
1	_	_	16-0	no
0	17-0	no	17-0	no
2	18-0	marò	18-0	ti
2	19-0	esagerata	18-1	prego
2	20-0	ua	19-0	qua
0	20-1	mi	19-1	mi
0	20-2	piacevano	19-2	piacevano
0	20-3	tanto	19-3	tanto
0	20-4	quelle	19-4	quelle
0	20-5	zucchine	19-5	zucchine
0	20-6	le	19-6	le
0	20-7	avete	19-7	avete
0	20-8	mangiate	19-8	mangiate
0	20-9	tutte	19-9	tutte
0	21-0	mh	20-0	mh
0	22-0	sorry	21-0	sorry
0	23-0	te	21-1	te
0	23-1	le	21-2	le
0	23-2	rifaccio	21-3	rifaccio
0	23-3	prima	21-4	prima
0	23-4	che	21-5	che
0	23-5	te	21-6	te
0	23-6	ne	21-7	ne
0	23-7	vai	21-8	vai
0	24-0	eh	22-0	eh
2	25-0	prima	23-0	ma
0	25-1	che	23-1	che
0	25-2	te	23-2	te
0	25-3	ne	23-3	ne
0	25-4	vai	23-4	vai
0	26-0	mh	24-0	mh
0	27-0	è	25-0	è
2	27-1	lui	25-1	lei
0	27-2	che	25-2	che
0	27-3	va	25-3	va
0	27-4	via	25-4	via
0	28-0	sai	26-0	sai
0	28-1	che	26-1	che
0	28-2	possiamo	26-2	possiamo
0	28-3	fare	26-3	fare
1	29-0	mhmh	_	_
0	30-0	no	27-0	no
2	31-0	con	28-0	comunque
2	31-1	questa	28-1	le
2	31-2	zucchinona	28-2	zucchine
2	31-3	gigante	28-3	raggixxx
0	31-4	che	28-4	che
0	31-5	tengo	28-5	tengo
1	31-6	{P}	_	_
2	31-7	la	28-6	le
0	31-8	vogliamo	28-7	vogliamo
0	31-9	arrostire	28-8	arrostire
0	32-0	adesso	29-0	adesso
0	32-1	tipo	29-1	tipo
2	33-0	cioè	30-0	cioé
0	33-1	non	30-1	non
0	33-2	ce	30-2	ce
2	33-3	la	30-3	le
0	33-4	mangiamo	30-4	mangiamo
0	33-5	adesso	30-5	adesso
0	33-6	però	30-6	però
2	34-0	lo	31-0	le
0	34-1	facciamo	31-1	facciamo
0	34-2	per	31-2	per
0	34-3	domani	31-3	domani
2	34-4	magari	31-4	dai
0	35-0	va	32-0	va
0	35-1	bene	32-1	bene
0	36-0	ma	33-0	ma
0	36-1	perché	33-1	perché
0	36-2	la	33-2	la
1	_	_	33-3	zucchina
2	36-3	zucchinona	33-4	non-
2	36-4	non	33-5	l-
0	36-5	l'	33-6	l'
0	36-6	avevi	33-7	avevi
0	36-7	già	33-8	già
0	36-8	fatta	33-9	fatta
2	37-0	amo'	34-0	amore
0	37-1	erano	34-1	erano
0	37-2	due	34-2	due
0	37-3	zucchinone	34-3	zucchinone
