,,id1,id2,rate,type,backchannel
PARLABO A,,,,,,
01_PARLABOA_E,add,34,35,high,34 e 35 dovrebbero sovrapporsi ma non si sovrappongono,
,ignore,43,44,,metalinguistic tag,
,ignore,82,83,,metalinguistic tag,
,,116,117,high,117 errore di bilanciamento,
,,175,176,high,175 manca annotazione,
01_PARLABOA_M,,16,,not significant,dovrebbe sovrapporsi con 17,
,ignore,17,18,,metalinguistic tag,
,,35,37,high,35 manca annotazione,
,,38,39,high,38 manca annotazione,
,ignore,50,51,,metalinguistic tag,
,,55,56,,dovrebbero sovrapporsi,
02_PARLABOA_I,,22,23,high,23 manca annotazione,
,,29,30,high,29 manca annotazione,
,ignore,40,41,,metalinguistic tag,
,,49,50,high,49 manca annotazione,
,ignore,76,77,,metalinguistic tag,
02_PARLABOA_L,,22,23,,22 e 23 dovrebbero sovrapporsi,
,,26,27,high,27 manca annotazione,
,,54,55,,54 dovrebbe durare di più e sovrapporsi a 55,
,,96,97,,97 errore di bilanciamento,
03_PARLABOA,,17,18,,18 errore di bilanciamento,
,,24,25,high,"24 manca annotazione, 25 annotazione deve essere divisa",
,,25,26,medum,25 annotazione deve essere divisa,
,ignore,53,54,,metalinguistic tag,
,,140,141,high,141 manca annotazione,
,,147,148,medium,148 annotazione deve essere divisa,
,,148,149,medium,148 annotazione deve essere divisa,
,,153,154,medium,153 annotazione deve essere divisa,
,,153,155,medium,153 annotazione deve essere divisa,
,,163,164,high,163 manca annotazione,164
,,229,230,,229 errore di bilanciamento,230
,,259,260,high,259 manca annotazione,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
